ML,HSPC,ESM,PEG,AQUEOUS,SIZE,PDI,CHOL,FRR,CHIP,TFR
0,3.0,0.0,1.0,0,117.567,0.327,1.0,3.0,0,0.25
0,11.25,0.0,3.75,0,124.403,0.403,0.0,3.0,0,1.0
0,9.0,0.0,3.0,0,169.247,0.531,3.0,50.0,1,0.25
0,3.0,0.0,1.0,1,73.088,0.238,1.0,3.0,0,1.0
0,11.25,0.0,3.75,0,141.591,0.597,0.0,50.0,0,1.0
0,9.0,0.0,3.0,1,135.642,0.428,3.0,50.0,0,0.25
0,9.0,0.0,3.0,1,242.045,0.591,3.0,3.0,1,1.0
0,3.0,0.0,1.0,0,19.897,0.443,1.0,50.0,1,1.0
0,3.75,0.0,1.25,1,593.99,0.61,0.0,50.0,1,1.0
0,3.75,0.0,1.25,1,138.894,0.49,0.0,50.0,0,0.25
0,11.25,0.0,3.75,1,325.634,0.489,0.0,3.0,1,0.25
0,3.75,0.0,1.25,0,277.332,0.735,0.0,3.0,1,0.25
0,11.25,0.0,3.75,1,52.067,0.26,0.0,50.0,1,1.0
0,3.0,0.0,1.0,1,101.454,0.35,1.0,50.0,1,0.25
0,3.75,0.0,1.25,1,77.448,0.233,0.0,3.0,0,1.0
0,11.25,0.0,3.75,0,177.522,0.431,0.0,50.0,1,0.25
0,3.0,0.0,1.0,1,255.405,0.783,1.0,3.0,1,0.25
0,3.75,0.0,1.25,0,198.619,0.519,0.0,3.0,1,1.0
0,3.75,0.0,1.25,0,131.205,0.38,0.0,50.0,0,0.25
0,11.25,0.0,3.75,1,351.504,0.558,0.0,3.0,0,0.25
0,9.0,0.0,3.0,0,135.609,0.369,3.0,3.0,0,0.25
0,9.0,0.0,3.0,0,146.776,0.44,3.0,3.0,1,1.0
0,3.0,0.0,1.0,0,125.959,0.339,1.0,50.0,0,1.0
0,9.0,0.0,3.0,1,102.376,0.385,3.0,50.0,0,1.0
1,0.0,5.0,0.0,0,116.839,0.082,5.0,3.0,0,0.25
1,0.0,20.0,0.0,0,1929.916,0.842,0.0,3.0,0,1.0
1,0.0,20.0,0.0,0,133.051,0.186,20.0,50.0,1,0.25
1,0.0,5.0,0.0,1,91.433,0.1,5.0,3.0,0,1.0
1,0.0,20.0,0.0,0,700.845,0.681,0.0,50.0,0,1.0
1,0.0,20.0,0.0,1,122.961,0.236,20.0,50.0,0,0.25
1,0.0,20.0,0.0,1,163.558,0.316,20.0,3.0,1,1.0
1,0.0,5.0,0.0,0,69.723,0.067,5.0,50.0,1,1.0
1,0.0,5.0,0.0,1,1794.372,0.936,0.0,50.0,1,1.0
1,0.0,5.0,0.0,1,301.615,0.521,0.0,50.0,0,0.25
1,0.0,20.0,0.0,1,1242.327,0.826,0.0,3.0,1,0.25
1,0.0,5.0,0.0,0,2100.262,0.999,0.0,3.0,1,0.25
1,0.0,20.0,0.0,1,1787.444,0.994,0.0,50.0,1,1.0
1,0.0,5.0,0.0,1,133.599,0.269,5.0,50.0,1,0.25
1,0.0,5.0,0.0,1,2254.269,1.0,0.0,3.0,0,1.0
1,0.0,20.0,0.0,0,731.331,0.991,0.0,50.0,1,0.25
1,0.0,5.0,0.0,1,571.168,0.558,5.0,3.0,1,0.25
1,0.0,5.0,0.0,0,554.177,0.595,0.0,3.0,1,1.0
1,0.0,5.0,0.0,0,109.153,0.284,0.0,50.0,0,0.25
1,0.0,20.0,0.0,1,6478.919,1.0,0.0,3.0,0,0.25
1,0.0,20.0,0.0,0,108.176,0.106,20.0,3.0,0,0.25
1,0.0,20.0,0.0,0,116.98,0.128,20.0,3.0,1,1.0
1,0.0,5.0,0.0,0,70.824,0.118,5.0,50.0,0,1.0
1,0.0,20.0,0.0,1,85.425,0.145,20.0,50.0,0,1.0
0,11.5644,0.0,3.8548,0,111.287,0.294,1.3408000000000002,2.0,0,0.71
0,11.5644,0.0,3.8548,0,104.721,0.372,1.3408000000000002,23.0,0,0.71
0,11.5644,0.0,3.8548,0,77.048,0.221,1.3408000000000002,2.0,0,2.04
0,11.5644,0.0,3.8548,0,79.661,0.268,1.3408000000000002,23.0,0,2.04
0,8.547600000000001,0.0,2.8492,0,92.827,0.188,5.363200000000001,2.0,0,0.71
0,8.547600000000001,0.0,2.8492,0,83.507,0.278,5.363200000000001,23.0,0,0.71
0,8.547600000000001,0.0,2.8492,0,72.548,0.268,5.363200000000001,2.0,0,2.04
0,8.547600000000001,0.0,2.8492,0,74.122,0.309,5.363200000000001,23.0,0,2.04
0,10.056,0.0,3.3520000000000003,0,133.264,0.39,3.3520000000000003,1.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,81.069,0.312,3.3520000000000003,50.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,108.6,0.284,3.3520000000000003,7.0,0,0.25
0,10.056,0.0,3.3520000000000003,0,77.533,0.291,3.3520000000000003,7.0,0,2.5
0,12.570000000000002,0.0,4.19,0,86.352,0.269,0.0,7.0,0,1.37
0,7.542000000000001,0.0,2.514,0,68.453,0.282,6.704000000000001,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,70.038,0.234,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,68.102,0.246,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,69.696,0.243,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,68.133,0.235,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,64.529,0.234,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,68.966,0.232,3.3520000000000003,7.0,0,1.37
0,11.5644,0.0,3.8548,0,87.575,0.327,1.3408000000000002,2.0,0,0.71
0,11.5644,0.0,3.8548,0,109.953,0.476,1.3408000000000002,23.0,0,0.71
0,11.5644,0.0,3.8548,0,86.444,0.343,1.3408000000000002,2.0,0,2.04
0,11.5644,0.0,3.8548,0,94.499,0.355,1.3408000000000002,23.0,0,2.04
0,8.547600000000001,0.0,2.8492,0,93.444,0.183,5.363200000000001,2.0,0,0.71
0,8.547600000000001,0.0,2.8492,0,85.915,0.258,5.363200000000001,23.0,0,0.71
0,8.547600000000001,0.0,2.8492,0,62.883,0.198,5.363200000000001,2.0,0,2.04
0,8.547600000000001,0.0,2.8492,0,71.617,0.292,5.363200000000001,23.0,0,2.04
0,10.056,0.0,3.3520000000000003,0,139.797,0.387,3.3520000000000003,1.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,92.98,0.361,3.3520000000000003,50.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,124.162,0.316,3.3520000000000003,7.0,0,0.25
0,10.056,0.0,3.3520000000000003,0,73.083,0.334,3.3520000000000003,7.0,0,2.5
0,12.570000000000002,0.0,4.19,0,96.016,0.284,0.0,7.0,0,1.37
0,7.542000000000001,0.0,2.514,0,67.366,0.273,6.704000000000001,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,71.926,0.295,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,81.85,0.335,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,78.159,0.326,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,72.999,0.295,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,73.901,0.327,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,76.205,0.354,3.3520000000000003,7.0,0,1.37
0,11.5644,0.0,3.8548,0,130.717,0.402,1.3408000000000002,2.0,0,0.71
0,11.5644,0.0,3.8548,0,102.022,0.354,1.3408000000000002,23.0,0,0.71
0,11.5644,0.0,3.8548,0,93.195,0.262,1.3408000000000002,2.0,0,2.04
0,11.5644,0.0,3.8548,0,93.161,0.376,1.3408000000000002,23.0,0,2.04
0,8.547600000000001,0.0,2.8492,0,96.056,0.164,5.363200000000001,2.0,0,0.71
0,8.547600000000001,0.0,2.8492,0,77.87,0.242,5.363200000000001,23.0,0,0.71
0,8.547600000000001,0.0,2.8492,0,67.582,0.145,5.363200000000001,2.0,0,2.04
0,8.547600000000001,0.0,2.8492,0,73.816,0.265,5.363200000000001,23.0,0,2.04
0,10.056,0.0,3.3520000000000003,0,147.172,0.392,3.3520000000000003,1.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,94.633,0.38,3.3520000000000003,50.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,122.904,0.317,3.3520000000000003,7.0,0,0.25
0,10.056,0.0,3.3520000000000003,0,74.457,0.285,3.3520000000000003,7.0,0,2.5
0,12.570000000000002,0.0,4.19,0,85.58,0.333,0.0,7.0,0,1.37
0,7.542000000000001,0.0,2.514,0,67.136,0.219,6.704000000000001,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,77.267,0.271,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,76.796,0.276,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,76.921,0.273,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,73.733,0.286,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,76.425,0.288,3.3520000000000003,7.0,0,1.37
0,10.056,0.0,3.3520000000000003,0,77.503,0.278,3.3520000000000003,7.0,0,1.37
0,7.542000000000001,0.0,2.514,0,70.04,0.171,6.704000000000001,3.5002575415843395,0,1.375
0,7.542000000000001,0.0,2.514,0,57.7,0.196,6.704000000000001,3.5002575415843395,0,2.5
0,7.542000000000001,0.0,2.514,0,90.63,0.14,6.704000000000001,1.0,0,1.375
0,7.542000000000001,0.0,2.514,0,90.31,0.13,6.704000000000001,1.0,0,2.5
0,8.547600000000001,0.0,2.8492,0,71.77,0.202,5.363200000000001,3.5002575415843395,0,1.375
0,8.547600000000001,0.0,2.8492,0,57.03,0.219,5.363200000000001,3.467368504525317,0,2.5
0,8.547600000000001,0.0,2.8492,0,105.7,0.18,5.363200000000001,1.0,0,1.375
0,8.547600000000001,0.0,2.8492,0,108.9,0.217,5.363200000000001,1.0,0,2.5
0,8.547600000000001,0.0,2.8492,0,103.9,0.126,5.363200000000001,1.0,0,0.25
0,8.547600000000001,0.0,2.8492,0,119.8,0.164,5.363200000000001,3.467368504525317,0,0.25
1,0.0,17.973017787506805,0.0,0,,0.726,2.0269822124931967,1.8107928849972788,0,0.7060709978109694
1,0.0,12.026982212493198,0.0,0,132.463,0.052,7.973017787506802,1.8107928849972788,0,0.7060709978109694
1,0.0,17.973017787506805,0.0,0,4941.821,1.0,2.0269822124931967,1.8107928849972788,0,2.0439290021890306
1,0.0,12.026982212493198,0.0,0,118.758,0.04,7.973017787506802,1.8107928849972788,0,2.0439290021890306
1,0.0,17.973017787506805,0.0,0,570.792,0.595,2.0269822124931967,4.189207115002722,0,0.7060709978109694
1,0.0,12.026982212493198,0.0,0,107.632,0.051,7.973017787506802,4.189207115002722,0,0.7060709978109694
1,0.0,17.973017787506805,0.0,0,194.774,0.204,2.0269822124931967,4.189207115002722,0,2.0439290021890306
1,0.0,12.026982212493198,0.0,0,89.206,0.083,7.973017787506802,4.189207115002722,0,2.0439290021890306
1,0.0,20.0,0.0,0,7297.414,1.0,0.0,3.0,0,1.375
1,0.0,10.0,0.0,0,88.68,0.08,10.0,3.0,0,1.375
1,0.0,15.0,0.0,0,189.471,0.213,5.0,3.0,0,0.25
1,0.0,15.0,0.0,0,157.52,0.064,5.0,3.0,0,2.5
1,0.0,15.0,0.0,0,409.523,0.453,5.0,,0,1.375
1,0.0,15.0,0.0,0,124.934,0.048,5.0,5.0,0,1.375
1,0.0,15.0,0.0,0,162.675,0.119,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,154.375,0.072,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,160.902,0.07,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,165.879,0.074,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,169.422,0.051,5.0,3.0,0,1.375
