path,conditioned_on,cmi,d_separated
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']",,0.9999604195271732,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('ESM',)",0.11545242149535939,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('PDI',)",0.6109390851230945,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('CHOL',)",0.5517428228501324,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('FRR',)",0.9527075392569784,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('ESM', 'PDI')",0.07333507973531894,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('ESM', 'CHOL')",0.10952403449807635,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('ESM', 'FRR')",0.1096582582950325,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('PDI', 'CHOL')",0.3966981093970663,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('PDI', 'FRR')",0.562021872493454,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('CHOL', 'FRR')",0.4802590113738847,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('ESM', 'PDI', 'CHOL')",0.049683778445162474,True
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('ESM', 'PDI', 'FRR')",0.07295323390567532,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('ESM', 'CHOL', 'FRR')",0.10204380019617298,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('PDI', 'CHOL', 'FRR')",0.31702495998853664,False
"['ML', 'ESM', 'PDI', 'CHOL', 'FRR', 'PEG']","('ESM', 'PDI', 'CHOL', 'FRR')",0.049683778445162474,True
"['ML', 'ESM', 'SIZE', 'AQUEOUS', 'PEG']",,0.9999604195271732,False
"['ML', 'ESM', 'SIZE', 'AQUEOUS', 'PEG']","('ESM',)",0.11545242149535939,False
"['ML', 'ESM', 'SIZE', 'AQUEOUS', 'PEG']","('SIZE',)",0.7272841381511663,False
"['ML', 'ESM', 'SIZE', 'AQUEOUS', 'PEG']","('AQUEOUS',)",0.9988327247045145,False
"['ML', 'ESM', 'SIZE', 'AQUEOUS', 'PEG']","('ESM', 'SIZE')",0.11032958319010833,False
"['ML', 'ESM', 'SIZE', 'AQUEOUS', 'PEG']","('ESM', 'AQUEOUS')",0.09498462702343513,False
"['ML', 'ESM', 'SIZE', 'AQUEOUS', 'PEG']","('SIZE', 'AQUEOUS')",0.6934899470319129,False
"['ML', 'ESM', 'SIZE', 'AQUEOUS', 'PEG']","('ESM', 'SIZE', 'AQUEOUS')",0.07614391986384383,False
"['ML', 'ESM', 'AQUEOUS', 'PEG']",,0.9999604195271732,False
"['ML', 'ESM', 'AQUEOUS', 'PEG']","('ESM',)",0.11545242149535939,False
"['ML', 'ESM', 'AQUEOUS', 'PEG']","('AQUEOUS',)",0.9988327247045145,False
"['ML', 'ESM', 'AQUEOUS', 'PEG']","('ESM', 'AQUEOUS')",0.09498462702343513,False
"['ML', 'ESM', 'CHOL', 'FRR', 'PEG']",,0.9999604195271732,False
"['ML', 'ESM', 'CHOL', 'FRR', 'PEG']","('ESM',)",0.11545242149535939,False
"['ML', 'ESM', 'CHOL', 'FRR', 'PEG']","('CHOL',)",0.5517428228501324,False
"['ML', 'ESM', 'CHOL', 'FRR', 'PEG']","('FRR',)",0.9527075392569784,False
"['ML', 'ESM', 'CHOL', 'FRR', 'PEG']","('ESM', 'CHOL')",0.10952403449807635,False
"['ML', 'ESM', 'CHOL', 'FRR', 'PEG']","('ESM', 'FRR')",0.1096582582950325,False
"['ML', 'ESM', 'CHOL', 'FRR', 'PEG']","('CHOL', 'FRR')",0.4802590113738847,False
"['ML', 'ESM', 'CHOL', 'FRR', 'PEG']","('ESM', 'CHOL', 'FRR')",0.10204380019617298,False
"['ML', 'PEG']",,0.9999604195271732,False
