ESM,CHOL,AQUEOUS,PEG,TFR,HSPC,FRR,ML,CHIP,SIZE,PDI
0,0,0,0,0,0,0,0,0,1,3.0
0,0,0,0,1,0,0,1,0,0,3.0
0,0,0,0,1,0,2,0,0,0,2.0
0,0,0,0,2,0,0,0,0,0,2.2857142857142856
0,0,0,0,2,0,0,0,0,1,3.0
0,0,0,0,2,0,0,0,1,1,3.0
0,0,0,0,2,0,0,1,0,0,3.0
0,0,0,0,2,0,0,1,0,1,3.0
0,0,0,0,2,0,0,1,0,2,0.0
0,0,0,0,2,0,2,0,1,3,3.0
0,0,0,0,4,0,0,0,0,0,3.0
0,0,0,0,4,0,0,1,0,1,2.0
0,0,0,0,4,0,0,1,0,2,3.0
0,0,0,1,1,0,2,0,0,0,2.0
0,0,0,1,1,0,2,1,1,1,3.0
0,0,0,1,2,0,0,0,0,1,3.0
0,0,0,1,2,0,0,1,0,2,2.0
0,0,0,1,4,0,0,0,0,0,2.0
0,0,0,4,0,2,0,0,0,0,2.0
0,0,0,4,0,2,0,0,0,2,1.0
0,0,0,4,0,2,2,0,0,0,3.0
0,0,0,4,1,2,0,0,0,0,3.0
0,0,0,4,2,2,0,0,0,0,2.3333333333333335
0,0,0,4,2,2,0,0,0,1,1.0
0,0,0,4,3,2,0,0,0,1,2.0
0,0,0,4,4,2,0,0,0,0,1.0
0,0,0,4,4,2,0,0,0,1,3.0
0,0,1,0,0,0,0,0,0,1,3.0
0,0,1,4,1,2,2,0,0,0,3.0
0,0,1,4,1,2,2,0,1,1,2.0
0,1,0,0,1,0,1,0,0,0,2.0
0,1,0,3,0,2,0,0,0,0,1.5
0,1,0,3,0,2,0,0,0,1,1.5
0,1,0,3,0,2,0,0,0,3,2.0
0,1,0,3,0,2,2,0,1,2,3.0
0,1,0,3,0,2,2,0,1,3,3.0
0,1,0,3,1,2,0,0,0,0,2.1666666666666665
0,1,0,3,1,2,0,0,0,1,2.0
0,1,0,3,1,2,1,0,0,0,2.0
0,1,0,3,1,2,2,0,0,0,2.0
0,1,0,3,1,2,2,0,1,3,3.0
0,1,0,3,2,2,0,0,0,0,1.8666666666666667
0,1,0,3,2,2,0,0,0,1,1.5
0,1,0,3,2,2,0,0,0,3,1.0
0,1,0,3,2,2,2,0,0,1,2.0
0,1,0,3,2,2,2,0,1,0,3.0
