ESM,AQUEOUS,CHOL,TFR,PEG,FRR,HSPC,CHIP,ML,SIZE,PDI
0,0,0,0,0,0,0,0,0,0,2.2
0,0,0,0,0,0,0,0,1,3,0.0
0,0,0,0,0,2,0,0,0,0,1.0
0,0,0,0,0,2,0,1,0,3,3.0
0,0,0,0,1,2,0,1,0,1,3.0
0,0,0,0,4,0,2,0,0,0,1.6666666666666667
0,0,0,0,4,0,2,0,0,1,1.0
0,0,0,0,4,2,2,0,0,1,3.0
0,0,0,1,0,0,0,0,0,0,1.0
0,0,0,1,0,0,0,0,0,1,3.0
0,0,0,1,0,2,0,1,0,0,3.0
0,0,0,1,4,0,2,0,0,0,2.5
0,0,0,1,4,0,2,0,0,1,1.5
0,0,0,1,4,2,2,0,0,0,2.0
0,0,0,2,0,0,0,0,0,0,0.5
0,0,0,2,0,0,0,0,0,1,2.0
0,0,0,2,0,0,0,0,0,2,1.0
0,0,0,2,0,0,0,0,1,0,0.0
0,0,0,2,0,0,0,0,1,2,3.0
0,0,0,2,0,0,0,1,0,0,2.0
0,0,0,2,1,0,0,0,0,0,1.5
0,0,0,2,1,0,0,0,0,1,1.6666666666666667
0,0,0,2,1,2,0,0,1,0,3.0
0,0,0,2,4,0,2,0,0,0,2.1818181818181817
0,0,0,2,4,0,2,0,0,1,2.0
0,0,0,3,0,0,0,0,0,0,2.0
0,0,0,3,0,0,0,0,0,1,1.0
0,0,0,3,0,0,0,0,1,1,0.0
0,0,0,3,0,0,0,0,1,2,1.0
0,0,0,3,1,0,0,0,1,2,0.0
0,0,0,3,4,0,2,0,0,0,2.0
0,0,0,3,4,0,2,0,0,1,2.0
0,0,0,3,4,0,2,1,0,2,3.0
0,0,0,3,4,1,2,0,0,0,2.0
0,0,0,4,0,0,0,0,0,0,3.0
0,0,0,4,0,0,0,0,0,1,1.0
0,0,0,4,0,0,0,0,1,2,0.0
0,0,0,4,1,0,0,0,0,0,2.0
0,0,0,4,1,0,0,0,0,1,1.0
0,0,0,4,1,0,0,0,0,2,1.0
0,0,0,4,1,0,0,0,1,1,0.0
0,0,0,4,4,0,2,0,0,0,1.6666666666666667
0,0,0,4,4,0,2,0,0,1,2.0
0,0,1,0,0,0,0,0,1,1,0.0
0,0,1,0,3,0,2,0,0,0,1.6666666666666667
0,0,1,0,3,0,2,0,0,1,2.0
0,0,1,0,3,2,2,0,0,1,2.0
0,0,1,0,3,2,2,1,0,0,3.0
0,0,1,1,0,1,0,0,1,1,2.0
0,0,1,1,3,0,2,0,0,0,1.25
0,0,1,1,3,0,2,0,0,1,2.0
0,0,1,1,3,2,2,0,0,1,3.0
0,0,1,2,0,0,0,0,1,2,0.0
0,0,1,2,3,0,2,0,0,0,1.8461538461538463
0,0,1,2,3,0,2,0,0,1,1.5
0,0,1,2,3,0,2,0,0,2,2.0
0,0,1,3,3,0,2,0,0,0,2.0
0,0,1,3,3,0,2,0,0,1,2.0
0,0,1,3,3,1,2,0,0,0,1.0
0,0,1,4,0,0,0,0,1,1,3.0
0,0,1,4,3,0,2,0,0,0,2.142857142857143
0,0,1,4,3,0,2,0,0,1,1.3333333333333333
0,0,1,4,3,0,2,0,0,2,3.0
0,0,2,0,3,0,2,0,0,0,1.0
0,0,2,0,3,0,2,1,0,3,3.0
0,0,2,0,3,2,2,1,0,3,3.0
0,0,2,1,3,0,2,0,0,0,2.0
0,0,2,1,3,1,2,0,0,0,1.0
0,0,2,2,3,0,2,0,0,0,1.75
