ESM,CHOL,FRR,AQUEOUS,PEG,TFR,HSPC,CHIP,ML,PDI,SIZE
0,0,0,0,0,0,0,0,0,1,1.0
0,0,0,0,0,0,0,0,0,3,0.5
0,0,0,0,0,1,0,1,0,3,3.0
0,0,0,0,0,2,0,0,0,2,0.6666666666666666
0,0,0,0,0,2,0,0,0,3,0.0
0,0,0,0,0,2,0,0,1,3,1.0
0,0,0,0,0,3,0,0,0,1,1.0
0,0,0,0,0,3,0,0,0,3,1.0
0,0,0,0,0,4,0,0,0,2,0.0
0,0,0,0,0,4,0,0,0,3,1.0
0,0,0,0,1,0,0,0,0,2,0.0
0,0,0,0,1,0,0,0,0,3,0.0
0,0,0,0,1,1,0,1,0,3,3.0
0,0,0,0,1,2,0,0,0,2,0.0
0,0,0,0,1,2,0,0,1,3,2.0
0,0,0,0,1,3,0,0,0,2,1.0
0,0,0,0,4,1,2,0,0,2,0.5
0,0,0,0,4,1,2,1,0,3,1.0
0,0,0,0,4,2,2,0,0,1,0.0
0,0,0,0,4,2,2,0,0,2,0.3333333333333333
0,0,0,0,4,2,2,0,0,3,0.0
0,0,0,0,4,3,2,0,0,2,1.0
0,0,0,0,4,3,2,0,0,3,1.0
0,0,0,0,4,4,2,0,0,2,0.25
0,0,0,0,4,4,2,0,0,3,1.0
0,0,0,1,0,1,0,1,0,3,1.0
0,0,0,1,0,2,0,0,0,2,0.0
0,0,0,1,4,0,2,1,0,3,1.0
0,1,0,0,0,4,0,0,0,2,1.0
0,1,0,0,3,0,2,0,0,1,0.0
0,1,0,0,3,0,2,0,0,2,0.8
0,1,0,0,3,0,2,0,0,3,0.0
0,1,0,0,3,1,2,0,0,1,0.0
0,1,0,0,3,1,2,0,0,3,0.5
0,1,0,0,3,1,2,1,0,3,1.5
0,1,0,0,3,2,2,0,0,1,0.2
0,1,0,0,3,2,2,0,0,2,0.4444444444444444
0,1,0,0,3,2,2,0,0,3,0.6666666666666666
0,1,0,0,3,3,2,0,0,1,0.0
0,1,0,0,3,3,2,0,0,2,0.6666666666666666
0,1,0,0,3,4,2,0,0,1,0.5
0,1,0,0,3,4,2,0,0,2,0.5
0,1,0,0,3,4,2,0,0,3,0.5
0,1,0,1,3,0,2,1,0,3,3.0
0,1,0,1,3,1,2,0,0,1,1.0
0,1,0,1,3,1,2,0,0,2,0.0
0,1,0,1,3,1,2,0,0,3,0.0
0,1,0,1,3,1,2,1,0,3,3.0
0,1,0,1,3,2,2,0,0,2,0.0
0,1,1,0,3,1,2,0,0,2,0.25
0,1,1,0,3,1,2,0,0,3,0.0
0,1,1,0,3,3,2,0,0,1,1.0
0,1,1,0,3,3,2,0,0,2,1.0
0,1,2,0,3,0,2,1,0,3,1.5
0,1,2,0,3,2,2,0,0,1,0.0
0,1,2,1,0,1,0,0,0,2,0.0
0,1,2,1,3,0,2,1,0,3,0.0
0,2,0,0,0,0,0,0,0,1,0.5
0,2,0,0,0,0,0,0,0,2,0.0
0,2,0,0,0,0,0,0,1,0,3.0
0,2,0,0,0,0,0,0,1,1,1.0
0,2,0,0,0,1,0,0,0,1,1.0
0,2,0,0,0,2,0,0,0,1,1.0
0,2,0,0,0,2,0,0,0,2,0.0
0,2,0,0,0,2,0,0,1,0,1.5
0,2,0,0,0,2,0,0,1,1,2.0
0,2,0,0,0,3,0,0,0,2,0.0
0,2,0,0,0,4,0,0,0,1,0.0
0,2,0,0,0,4,0,0,0,2,1.0
0,2,0,0,0,4,0,0,1,0,1.5
0,2,0,0,3,0,2,0,0,1,0.5
0,2,0,0,3,0,2,0,0,2,0.0
0,2,0,0,3,2,2,0,0,1,0.5714285714285714
0,2,0,0,3,2,2,0,0,2,0.6
0,2,0,1,3,0,2,0,0,1,1.0
0,2,0,1,3,1,2,0,0,1,1.0
0,2,1,0,0,1,0,0,0,1,1.0
0,2,1,0,3,3,2,0,0,1,0.0
0,2,2,0,0,2,0,0,1,1,1.0
0,2,2,0,3,2,2,0,0,1,0.0
0,3,0,0,0,1,0,0,0,1,0.0
0,3,0,0,0,2,0,0,0,1,0.5
0,3,0,0,0,2,0,0,0,2,0.0
0,3,0,0,0,2,0,0,1,0,1.25
0,3,0,0,0,2,0,0,1,1,1.75
0,3,0,0,0,3,0,0,1,0,1.0
0,3,0,0,0,3,0,0,1,1,1.0
0,3,0,0,0,4,0,0,0,1,0.3333333333333333
0,3,0,0,2,0,1,0,0,1,0.0
0,3,0,1,0,0,0,0,0,1,0.0
0,3,0,1,0,1,0,0,1,0,0.0
0,3,2,0,0,1,0,1,1,0,2.0
0,3,2,0,0,2,0,0,1,0,2.0
0,4,0,0,0,0,0,0,1,2,1.0
0,4,0,0,0,1,0,0,1,0,3.0
0,4,0,0,0,2,0,0,1,2,2.0
0,4,0,0,0,3,0,0,1,0,2.0
0,4,0,0,0,3,0,0,1,2,1.0
0,4,0,0,0,4,0,0,1,0,2.0
0,4,0,1,0,1,0,0,1,0,3.0
0,4,1,0,0,3,0,0,1,0,1.0
1,0,0,0,0,2,0,0,1,1,2.0
1,0,0,0,0,2,0,0,1,3,2.0
1,0,0,1,0,0,0,0,1,1,2.0
1,0,1,0,0,1,0,0,1,2,2.0
1,2,2,0,0,1,0,0,1,1,3.0
1,3,0,0,0,1,0,0,1,0,2.0
1,4,0,0,0,3,0,0,1,2,2.0
2,0,0,0,0,2,0,0,1,3,2.0
2,0,0,0,1,2,0,0,1,3,3.0
2,0,0,0,1,4,0,0,1,3,1.0
2,1,0,0,0,2,0,0,1,1,2.0
2,2,0,0,0,0,0,0,1,0,1.5
2,2,0,0,0,2,0,0,1,0,3.0
2,2,0,0,0,2,0,0,1,1,3.0
2,2,0,0,0,2,0,0,1,2,0.0
2,2,0,0,0,3,0,0,1,1,1.0
2,2,1,0,0,3,0,0,1,0,3.0
2,3,0,0,0,2,0,0,1,0,1.0
2,3,0,1,0,1,0,1,1,1,1.0
2,4,0,0,0,0,0,0,1,0,0.0
2,4,0,0,0,1,0,0,1,0,2.0
3,0,0,0,0,2,0,0,1,1,2.0
3,0,0,0,1,2,0,0,1,3,2.0
3,0,1,0,1,1,0,0,1,3,2.0
3,1,0,0,0,2,0,0,1,1,2.0
3,2,0,0,0,2,0,0,1,0,1.0
3,2,0,0,0,4,0,0,1,0,2.0
3,2,0,1,0,0,0,0,1,0,1.0
3,2,0,1,0,0,0,1,1,2,1.0
3,2,2,1,0,0,0,0,1,0,0.0
3,3,0,0,0,2,0,0,1,0,2.0
3,4,0,0,0,1,0,0,1,2,3.0
3,4,0,0,0,2,0,0,1,0,1.0
3,4,0,0,0,2,0,0,1,2,1.0
3,4,0,0,0,3,0,0,1,2,2.0
3,4,0,0,0,4,0,0,1,0,1.0
3,4,2,0,0,2,0,0,1,0,3.0
4,0,0,0,0,0,0,0,1,1,2.0
4,0,0,0,0,0,0,0,1,3,3.0
4,0,0,0,0,2,0,0,1,1,2.0
4,0,0,0,0,2,0,0,1,2,1.0
4,0,0,0,0,3,0,0,1,2,0.0
4,0,0,0,0,4,0,0,1,0,2.0
4,0,0,0,0,4,0,0,1,3,3.0
4,0,0,1,0,0,0,0,1,3,2.0
4,0,1,0,0,3,0,0,1,1,1.0
4,0,1,0,1,3,0,0,1,3,1.0
4,1,0,0,0,3,0,0,1,1,1.0
4,2,0,0,0,0,0,0,1,0,1.0
4,2,0,0,0,0,0,0,1,1,1.0
4,2,0,0,0,0,0,0,1,2,2.0
4,2,0,0,0,1,0,0,1,1,1.0
4,2,0,0,0,2,0,0,1,0,0.0
4,2,0,0,0,2,0,0,1,1,2.0
4,2,0,0,0,3,0,0,1,1,2.0
4,2,0,0,0,4,0,0,1,0,2.0
4,2,0,1,0,0,0,0,1,0,3.0
4,2,0,1,0,0,0,1,1,3,3.0
4,2,0,1,0,1,0,0,1,0,2.0
4,2,2,0,0,0,0,1,1,0,3.0
4,3,0,0,0,1,0,0,1,0,3.0
4,3,0,0,0,2,0,0,1,0,2.0
4,3,0,0,0,3,0,0,1,0,3.0
4,3,1,0,0,1,0,0,1,1,0.0
4,4,0,0,0,0,0,0,1,0,1.0
4,4,0,0,0,2,0,0,1,0,1.8571428571428572
4,4,0,0,0,2,0,0,1,1,2.0
4,4,0,0,0,3,0,0,1,2,2.0
4,4,2,0,0,0,0,0,1,0,3.0
