FRR,AQUEOUS,PEG,TFR,CHOL,ESM,HSPC,SIZE,PDI
3.0,MQ,0.0,1.375,5.0,15.0,0.0,160.902,0.074
3.0,MQ,0.0,2.5,10.121,24.779,0.0,158.28,0.05
3.0,MQ,3.192,0.25,3.192,0.0,10.056,129.236,0.356
5.0,PBS,0.9591635424866132,1.0,0.5155406122816367,3.6555516129487713,0.0,4006.80506004553,0.454017231032364
3.0,MQ,0.0,2.5,10.121,24.779,0.0,137.968,0.059
3.0,MQ,3.192,1.375,3.192,0.0,8.547600000000001,76.14,0.251
3.0,MQ,3.192,1.375,3.192,0.0,11.5644,78.537,0.223
3.0,MQ,3.192,1.375,3.192,0.0,9.576,85.223,0.228
3.0,MQ,3.192,1.375,3.192,0.0,8.547600000000001,75.29,0.231
50.0,PBS,3.0,1.0,3.0,0.0,10.056,125.959,0.385
1.0,MQ,3.192,1.375,3.192,0.0,9.576,149.89,0.421
8.0,PBS,12.8,2.5,5.15895461011433,0.0,11.5644,98.3,0.351
3.0,MQ,0.0,1.375,5.0,15.0,0.0,160.902,0.07
3.0,MQ,3.192,0.25,3.192,0.0,10.056,117.567,0.295
8.0,PBS,12.79764984945341,2.5,5.15895461011433,19.509694635740782,0.0,77.0,0.19
3.0,MQ,0.0,1.375,5.0,15.0,0.0,163.213,0.119
3.0,MQ,3.192,1.375,3.192,0.0,8.547600000000001,83.866,0.256
1.6,MQ,0.0,2.17,10.121,24.779,0.0,229.416,0.274
3.0,MQ,0.0,0.25,10.121,24.779,0.0,191.239,0.071
6.0,PBS,12.8,2.5,6.878606146819108,0.0,9.576,92.7,0.223
3.0,MQ,3.192,0.25,3.192,0.0,10.056,117.567,0.356
3.0,MQ,0.0,1.375,10.121,24.779,0.0,139.883,0.062
3.0,MQ,3.192,1.375,3.192,0.0,8.547600000000001,155.532,0.297
3.0,MQ,3.192,1.375,3.192,0.0,11.5644,80.386,0.262
3.0,MQ,0.0,1.375,10.0,10.0,0.0,88.68,0.089
3.0,PBS,0.0,2.5,5.0,15.0,0.0,146.835,0.029
8.0,PBS,12.79764984945341,2.5,8.598257683523885,0.0,8.547600000000001,98.3,0.245
3.0,PBS,0.0,2.5,5.0,15.0,0.0,157.52,0.064
3.0,MQ,0.0,1.375,10.121,24.779,0.0,162.206,0.082
3.0,MQ,0.0,0.25,5.0,15.0,0.0,190.929,0.213
1.0,MQ,3.192,1.375,3.192,0.0,9.576,149.89,0.421
3.0,MQ,3.192,1.375,3.192,0.0,9.576,75.29,0.212
4.4,MQ,0.0,2.17,10.121,24.779,0.0,125.303,0.027
4.4,MQ,3.192,1.375,3.192,0.0,9.576,76.973,0.254
5.0,PBS,0.0,2.5,10.121,24.779,0.0,109.23,0.056
2.5,PBS,0.9591635424866132,2.5,0.5155406122816367,0.0,2.612616887691889,112.4,0.184
3.0,MQ,0.0,1.375,10.121,24.779,0.0,158.593,0.111
3.0,MQ,0.0,1.375,5.0,15.0,0.0,162.675,0.141
3.0,MQ,0.0,1.375,20.0,20.0,0.0,3062.225,1.0
1.0,MQ,0.0,1.375,10.121,24.779,0.0,240.863,0.26
3.0,MQ,0.0,0.25,5.0,5.0,0.0,116.839,0.082
3.0,MQ,0.0,1.375,5.0,15.0,0.0,169.422,0.074
3.0,MQ,3.192,0.25,3.192,0.0,17.429434417810032,148.899,0.356
3.0,MQ,3.192,1.375,3.192,0.0,11.756775994613504,85.223,0.233
1.0,MQ,2.514,2.5,6.704000000000001,0.0,3.0,90.31,0.13
23.0,MQ,3.8548,0.71,1.3408000000000002,0.0,9.576,109.953,0.476
3.0,MQ,0.0,1.375,10.0,10.0,0.0,86.863,0.089
3.0,PBS,0.0,2.5,10.121,24.779,0.0,137.968,0.059
5.0,PBS,1.918327084973226,2.5,0.5155406122816367,3.41184817208552,0.0,7932.67265191194,0.450422523099483
3.0,MQ,0.0,1.375,10.121,24.779,0.0,160.342,0.064
