FRR,PEG,AQUEOUS,CHOL,TFR,ESM,HSPC,SIZE,PDI
3.0,0.0,MQ,10.121,1.375,24.779,0.0,146.755,0.08
4.4,3.192,MQ,3.192,1.375,0.0,7.542000000000001,75.772,0.254
3.0,0.0,PBS,5.0,2.5,15.0,0.0,157.52,0.042
8.0,12.8,PBS,5.15895461011433,2.5,0.0,8.547600000000001,81.3,0.351
2.5,0.9591635424866132,PBS,0.5155406122816367,2.5,0.0,10.056,112.4,0.184
1.6,3.192,MQ,3.192,0.58,0.0,13.943547534248028,136.684,0.307
7.0,3.3520000000000003,MQ,3.3520000000000003,1.37,0.0,10.056,78.159,0.278
3.0,0.0,PBS,10.121,2.5,24.779,0.0,158.28,0.05
4.4,3.192,MQ,3.192,1.375,0.0,9.576,76.973,0.261
4.189207115002722,0.0,MQ,7.973017787506802,2.0439290021890306,12.026982212493198,0.0,89.206,0.083
7.0,3.3520000000000003,MQ,3.3520000000000003,0.25,0.0,9.576,108.6,0.316
4.0,12.8,PBS,5.15895461011433,2.5,0.0,9.576,93.8,0.262
3.0,0.0,MQ,10.121,1.375,24.779,0.0,160.342,0.064
3.5002575415843395,2.514,MQ,6.704000000000001,1.375,0.0,15.77363814811808,70.04,0.171
3.0,0.0,MQ,10.121,1.375,24.779,0.0,146.755,0.119
3.0,3.192,MQ,3.192,0.25,0.0,9.576,351.504,0.295
4.4,3.192,MQ,3.192,1.375,0.0,10.056,76.545,0.261
3.0,0.0,PBS,10.121,2.5,24.779,0.0,137.968,0.054
7.0,3.3520000000000003,MQ,3.3520000000000003,2.5,0.0,9.576,73.083,0.334
6.0,12.8,PBS,8.598257683523885,2.5,0.0,7.542000000000001,108.6,0.244
3.0,0.0,MQ,10.0,1.375,10.0,0.0,85.607,0.08
3.0,0.0,MQ,10.121,1.375,24.779,0.0,158.912,0.085
4.4,3.192,MQ,3.192,0.58,0.0,9.576,102.589,0.262
3.0,0.0,PBS,5.0,2.5,15.0,0.0,157.52,0.042
3.0,3.192,MQ,3.192,1.375,0.0,8.547600000000001,80.386,0.247
7.0,3.3520000000000003,MQ,3.3520000000000003,1.37,0.0,10.056,72.999,0.243
3.0,3.192,MQ,3.192,0.25,0.0,10.056,117.567,0.356
5.0,1.918327084973226,PBS,1.0310812245632734,2.5,0.0,8.547600000000001,147.8,0.375
7.0,3.3520000000000003,MQ,3.3520000000000003,0.25,0.0,10.056,122.904,0.284
8.0,12.79764984945341,PBS,5.15895461011433,2.5,19.509694635740782,0.0,81.0,0.19
50.0,1.0,PBS,1.0,1.0,0.0,9.576,125.959,0.339
4.0,12.8,PBS,8.598257683523885,2.5,0.0,9.576,97.7,0.345
3.0,1.0,MQ,1.0,0.25,0.0,9.576,148.899,0.327
3.0,0.0,MQ,20.0,1.375,20.0,0.0,3062.225,1.0
1.0,0.0,MQ,10.0,2.5,10.0,0.0,105.3,0.063
3.0,3.192,MQ,3.192,0.25,0.0,10.056,129.236,0.356
3.0,0.0,PBS,5.0,2.5,15.0,0.0,157.52,0.042
1.0,0.0,MQ,10.121,1.375,24.779,0.0,232.108,0.26
3.0,3.192,MQ,3.192,0.25,0.0,9.576,131.852,0.334
7.0,3.3520000000000003,MQ,3.3520000000000003,0.25,0.0,7.542000000000001,108.6,0.317
3.0,0.0,MQ,10.121,1.375,24.779,0.0,160.342,0.062
1.0,2.8492,MQ,5.363200000000001,2.5,0.0,10.056,90.31,0.217
5.0,2.877490627459839,PBS,3.093243673689821,2.5,0.0,9.0,118.8,0.206
3.0,0.0,MQ,10.121,0.25,24.779,0.0,191.239,0.071
3.0,0.0,MQ,5.0,1.375,15.0,0.0,176.58,0.087
8.0,12.79764984945341,PBS,5.15895461011433,2.5,19.509694635740782,0.0,85.0,0.175
8.0,12.79764984945341,PBS,8.598257683523885,2.5,0.0,3.0,95.0,0.245
7.0,3.3520000000000003,MQ,3.3520000000000003,1.37,0.0,10.056,68.966,0.273
8.0,12.8,PBS,8.598257683523885,2.5,0.0,8.547600000000001,98.3,0.337
2.0,3.8548,MQ,1.3408000000000002,2.04,0.0,11.5644,72.548,0.343
