TFR,AQUEOUS,FRR,PEG,CHOL,ESM,HSPC,SIZE,PDI
2.5,PBS,8.0,12.79764984945341,5.15895461011433,0.0,3.75,125.2,0.245
2.5,PBS,4.0,12.8,5.15895461011433,0.0,9.576,93.8,0.343
2.5,MQ,3.0,0.0,10.121,24.779,0.0,155.385,0.05
0.25,MQ,3.0,3.192,3.192,0.0,9.576,117.567,0.295
1.375,MQ,3.0,0.0,10.121,24.779,0.0,162.206,0.065
1.375,MQ,3.0,3.192,3.192,0.0,9.576,80.004,0.228
1.0,PBS,2.5,0.9591635424866132,1.0310812245632734,0.0,8.547600000000001,140.5,0.428
1.375,MQ,5.0,0.0,10.121,24.779,0.0,125.924,0.058
0.25,MQ,3.0,3.192,3.192,0.0,10.056,135.609,0.295
2.5,MQ,3.0,3.192,3.192,0.0,10.056,68.868,0.27
2.5,MQ,3.0,3.192,3.192,0.0,7.542000000000001,66.672,0.272
1.375,MQ,4.4,3.192,3.192,0.0,10.056,76.545,0.254
2.5,MQ,3.0,3.192,3.192,0.0,3.75,65.3,0.272
2.5,PBS,6.0,12.79764984945341,6.878606146819108,16.258078863117323,0.0,101.0,0.274
2.5,PBS,5.0,2.877490627459839,3.093243673689821,0.0,20.91532130137204,147.8,0.105
1.375,MQ,1.0,0.0,10.121,24.779,0.0,240.863,0.252
2.5,PBS,4.0,12.8,8.598257683523885,0.0,10.972990928305936,130.2,0.262
2.5,MQ,3.0,0.0,10.121,24.779,0.0,137.968,0.054
1.375,MQ,3.0,3.192,3.192,0.0,8.547600000000001,83.696,0.251
1.375,MQ,3.0,0.0,10.121,24.779,0.0,162.206,0.081
1.375,MQ,3.0,0.0,10.121,24.779,0.0,139.586,0.085
2.5,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,20.91532130137204,73.083,0.334
1.375,MQ,3.0,3.192,3.192,0.0,9.576,80.004,0.229
1.375,MQ,5.0,0.0,10.121,24.779,0.0,115.891,0.058
2.5,PBS,5.0,1.918327084973226,1.0310812245632734,0.0,3.918925331537834,97.6,0.375
1.375,MQ,3.0,0.0,5.0,15.0,0.0,127.517,0.143
2.5,PBS,2.5,0.9591635424866132,1.0310812245632734,2.680737849495766,0.0,451.294972790339,0.242659577162159
2.5,PBS,8.0,12.8,5.15895461011433,0.0,10.056,131.3,0.351
1.375,MQ,3.5002575415843395,0.0,10.0,10.0,0.0,84.04,0.09
1.0,PBS,2.5,5.754981254919678,1.5466218368449105,10.235544516256562,0.0,843.290836894877,0.238162474080819
2.5,PBS,2.5,5.754981254919678,1.5466218368449105,0.0,11.5644,64.4,0.267
2.5,PBS,2.5,1.918327084973226,1.0310812245632734,2.437034408632514,0.0,124.961785350713,0.187131611317078
2.5,PBS,4.0,12.8,8.598257683523885,0.0,10.056,97.7,0.345
1.37,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,9.576,76.205,0.234
1.375,MQ,4.4,3.192,3.192,0.0,8.547600000000001,76.973,0.241
0.25,PBS,3.0,0.0,10.121,24.779,0.0,167.216,0.16
0.25,MQ,3.0,0.0,10.121,24.779,0.0,191.239,0.132
1.375,MQ,3.0,0.0,10.121,24.779,0.0,164.343,0.091
1.375,MQ,3.0,3.192,3.192,0.0,9.0,155.532,0.233
2.5,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,10.056,74.457,0.285
2.5,PBS,4.0,12.8,5.15895461011433,0.0,3.0,126.0,0.296
2.17,MQ,1.6,0.0,10.121,24.779,0.0,298.002,0.244
2.5,PBS,2.5,5.754981254919678,1.5466218368449105,10.235544516256562,0.0,1991.83548152214,0.201333997671457
1.375,MQ,3.0,3.192,3.192,0.0,9.576,78.939,0.231
2.5,PBS,4.0,12.8,5.15895461011433,0.0,20.91532130137204,97.7,0.336
2.5,PBS,2.5,5.754981254919678,1.5466218368449105,0.0,3.918925331537834,64.4,0.267
1.0,PBS,3.0,0.0,5.0,5.0,0.0,2254.269,0.1
0.25,MQ,3.0,0.0,5.0,15.0,0.0,189.471,0.271
2.04,MQ,23.0,2.8492,5.363200000000001,0.0,10.056,94.499,0.265
2.5,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,10.056,73.083,0.291
