ML,HSPC,ESM,PEG,AQUEOUS,CHIP,TFR,CHOL,FRR,SIZE,PDI
0,0,0,1,0,0,0,0,0,1,2.0
0,0,0,1,0,0,0,0,2,1,3.0
0,0,0,1,0,0,1,0,2,1,2.0
0,0,0,1,0,1,0,0,0,3,3.0
0,0,0,1,0,1,1,0,0,2,3.0
0,0,0,1,0,1,1,0,2,0,3.0
0,0,0,1,1,0,0,0,2,1,3.0
0,0,0,1,1,0,1,0,0,0,1.0
0,0,0,1,1,1,0,0,0,3,3.0
0,0,0,1,1,1,0,0,2,1,2.0
0,0,0,1,1,1,1,0,2,3,3.0
0,1,0,2,0,0,2,3,0,0,1.4
0,1,0,2,0,0,4,3,0,0,0.5
0,2,0,3,0,0,0,1,0,0,1.0
0,2,0,3,0,0,0,1,0,1,2.1666666666666665
0,2,0,3,0,0,0,2,0,1,0.5
0,2,0,3,0,0,1,2,0,0,1.0
0,2,0,3,0,0,1,2,1,0,1.6666666666666667
0,2,0,3,0,0,2,1,0,0,1.6571428571428573
0,2,0,3,0,0,2,1,0,1,3.0
0,2,0,3,0,0,2,1,0,2,2.6666666666666665
0,2,0,3,0,0,2,1,2,0,2.6666666666666665
0,2,0,3,0,0,2,2,0,0,1.0
0,2,0,3,0,0,2,2,0,1,1.0
0,2,0,3,0,0,3,2,0,0,1.3333333333333333
0,2,0,3,0,0,3,2,1,0,2.0
0,2,0,3,0,0,4,1,0,0,1.4615384615384615
0,2,0,3,0,0,4,1,0,1,1.0
0,2,0,3,0,0,4,2,0,0,1.0
0,2,0,3,0,0,4,2,0,1,1.0
0,2,0,3,0,1,0,1,2,2,3.0
0,2,0,3,0,1,1,1,0,1,3.0
0,2,0,3,1,0,0,1,2,1,3.0
0,2,0,3,1,0,1,1,2,1,3.0
0,2,0,3,1,1,1,1,0,3,3.0
0,2,0,4,0,0,1,0,0,0,2.0
0,2,0,4,0,0,1,0,0,1,2.6666666666666665
0,2,0,4,0,0,1,0,1,1,3.0
0,2,0,4,0,0,1,0,2,1,3.0
0,2,0,4,0,0,2,0,0,0,2.0
0,2,0,4,0,0,3,0,0,0,1.6666666666666667
0,2,0,4,0,0,3,0,1,0,2.6666666666666665
0,2,0,4,0,1,0,0,2,2,3.0
0,2,0,4,1,0,0,0,0,3,3.0
0,2,0,4,1,1,0,0,0,3,3.0
0,2,0,4,1,1,1,0,2,0,2.0
1,0,0,0,0,0,1,0,0,0,0.0
1,0,0,0,0,0,3,0,0,0,0.0
1,0,0,0,1,0,1,1,0,2,1.0
1,0,0,0,1,0,2,1,0,1,1.0
1,0,0,0,1,0,3,1,0,0,1.0
1,0,1,0,0,0,0,0,2,1,2.0
1,0,1,0,0,0,0,2,0,1,0.0
1,0,1,0,0,0,1,2,2,0,0.0
1,0,1,0,0,1,0,0,0,3,3.0
1,0,1,0,0,1,1,0,0,3,3.0
1,0,1,0,0,1,1,2,2,0,0.0
1,0,1,0,1,0,0,0,2,3,3.0
1,0,1,0,1,0,1,0,0,3,3.0
1,0,1,0,1,0,1,2,0,0,0.0
1,0,1,0,1,1,0,2,0,3,3.0
1,0,1,0,1,1,0,2,2,1,2.0
1,0,1,0,1,1,1,0,2,3,3.0
1,0,2,0,0,0,1,3,0,1,0.0
1,0,2,0,0,0,2,3,0,0,0.0
1,0,2,0,0,0,2,3,0,1,0.0
1,0,2,0,0,0,2,4,0,0,0.0
1,0,2,0,0,0,2,4,0,1,0.0
1,0,2,0,0,0,3,3,0,0,0.0
1,0,2,0,0,0,3,3,0,1,0.0
1,0,2,0,0,0,4,3,0,0,0.0
1,0,2,0,0,0,4,3,0,1,0.0
1,0,2,0,0,0,4,4,0,0,0.0
1,0,2,0,0,0,4,4,0,1,0.0
1,0,3,0,0,0,0,2,0,2,1.0
1,0,3,0,0,0,1,0,0,3,3.0
1,0,3,0,0,0,2,2,0,1,0.0
1,0,3,0,0,0,2,2,0,2,0.29411764705882354
1,0,3,0,0,0,3,0,0,2,1.0
1,0,3,0,0,0,3,0,0,3,3.0
1,0,3,0,0,0,4,2,0,1,0.0
1,0,3,0,0,0,4,2,0,2,0.0
1,0,4,0,0,0,0,3,0,1,0.0
1,0,4,0,0,0,0,4,0,1,0.0
1,0,4,0,0,0,0,4,0,2,0.3333333333333333
1,0,4,0,0,0,0,4,0,3,2.0
1,0,4,0,0,0,1,0,0,3,3.0
1,0,4,0,0,0,1,0,2,3,3.0
1,0,4,0,0,0,2,0,0,3,3.0
1,0,4,0,0,0,2,4,0,1,0.0
1,0,4,0,0,0,2,4,0,2,0.0
1,0,4,0,0,0,2,4,0,3,2.0
1,0,4,0,0,0,4,4,0,1,0.0
1,0,4,0,0,0,4,4,0,2,0.0
1,0,4,0,0,0,4,4,0,3,2.0
1,0,4,0,0,1,0,0,2,3,3.0
1,0,4,0,0,1,0,3,2,1,1.0
1,0,4,0,0,1,1,3,0,1,0.0
1,0,4,0,1,0,0,0,0,3,3.0
1,0,4,0,1,0,0,3,2,1,1.0
1,0,4,0,1,0,1,3,2,0,1.0
1,0,4,0,1,1,0,0,0,3,3.0
1,0,4,0,1,1,1,0,2,3,3.0
1,0,4,0,1,1,1,3,0,2,2.0
