ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,PDI,SIZE
0.0,2.612616887691889,1.0310812245632734,1.918327084973226,1.0,5.0,PBS,0.191,74.3
0.0,2.612616887691889,1.0310812245632734,1.918327084973226,2.5,2.5,PBS,0.166,64.4
0.0,2.873878576461078,1.0310812245632734,0.9591635424866132,2.5,2.5,PBS,0.184,119.4
0.0,3.0,1.0,1.0,0.25,3.0,MQ,0.327,117.567
0.0,3.0,1.0,1.0,1.0,3.0,PBS,0.238,73.088
0.0,3.0,1.0,1.0,1.0,50.0,MQ,0.339,125.959
0.0,3.657663642768645,0.5155406122816367,1.918327084973226,2.5,5.0,PBS,0.375,118.8
0.0,3.75,0.0,1.25,0.25,50.0,MQ,0.38,131.205
0.0,3.75,0.0,1.25,0.25,50.0,PBS,0.49,138.894
0.0,3.75,0.0,1.25,1.0,3.0,PBS,0.233,77.448
0.0,3.918925331537834,0.5155406122816367,0.9591635424866132,1.0,2.5,PBS,0.428,414.4
0.0,3.918925331537834,0.5155406122816367,0.9591635424866132,1.0,5.0,PBS,0.277,189.9
0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,0.219,67.136
0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,0.273,67.366
0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,0.282,68.453
0.0,7.542000000000001,6.704000000000001,2.514,1.375,1.0,MQ,0.14,90.63
0.0,7.542000000000001,6.704000000000001,2.514,1.375,3.5002575415843395,MQ,0.171,70.04
0.0,7.542000000000001,6.704000000000001,2.514,2.5,1.0,MQ,0.13,90.31
0.0,7.542000000000001,6.704000000000001,2.514,2.5,3.5002575415843395,MQ,0.196,57.7
0.0,7.837850663075668,3.093243673689821,5.754981254919678,1.0,5.0,PBS,0.204,91.5
0.0,8.547600000000001,5.363200000000001,2.8492,0.25,1.0,MQ,0.126,103.9
0.0,8.547600000000001,5.363200000000001,2.8492,0.25,3.467368504525317,MQ,0.164,119.8
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,0.164,96.056
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,0.183,93.444
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,0.188,92.827
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,0.242,77.87
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,0.258,85.915
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,0.278,83.507
