TFR,AQUEOUS,FRR,PEG,CHOL,ESM,HSPC,SIZE,PDI
0.25,MQ,3.0,0.0,5.0,15.0,0.0,189.471,0.271
0.25,MQ,3.0,3.192,3.192,0.0,7.837850663075668,117.567,0.356
0.25,MQ,3.0,3.75,0.0,0.0,3.0,131.852,0.558
0.25,PBS,50.0,1.25,0.0,0.0,20.91532130137204,138.894,0.49
1.37,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,11.25,76.796,0.234
1.37,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,12.570000000000002,77.267,0.327
1.375,MQ,1.0,0.0,8.0,12.0,0.0,129.1,0.029
1.375,MQ,1.0,0.0,10.121,24.779,0.0,236.083,0.26
1.375,MQ,1.0,2.514,6.704000000000001,0.0,8.547600000000001,149.89,0.14
1.375,MQ,1.0,3.192,3.192,0.0,17.429434417810032,149.89,0.4
1.375,MQ,3.0,0.0,5.0,15.0,0.0,127.517,0.179
1.375,MQ,3.0,0.0,5.0,15.0,0.0,162.675,0.101
1.375,MQ,3.0,0.0,5.0,15.0,0.0,168.994,0.07
1.375,MQ,3.0,0.0,5.0,15.0,0.0,169.422,0.074
1.375,MQ,3.0,0.0,5.0,15.0,0.0,177.175,0.141
1.375,MQ,3.0,0.0,5.0,15.0,0.0,182.155,0.087
1.375,MQ,3.0,0.0,10.0,10.0,0.0,86.863,0.08
1.375,MQ,3.0,0.0,10.121,24.779,0.0,139.586,0.085
1.375,MQ,3.0,0.0,10.121,24.779,0.0,146.755,0.093
1.375,MQ,3.0,0.0,10.121,24.779,0.0,158.593,0.064
1.375,MQ,3.0,0.0,10.121,24.779,0.0,161.035,0.064
1.375,MQ,3.0,0.0,10.121,24.779,0.0,162.206,0.081
1.375,MQ,3.0,0.0,10.121,24.779,0.0,171.769,0.064
1.375,MQ,3.0,3.192,3.192,0.0,9.576,77.848,0.223
1.375,MQ,3.0,3.192,3.192,0.0,9.576,80.386,0.262
1.375,MQ,3.0,3.192,3.192,0.0,9.576,83.696,0.229
1.375,MQ,3.0,3.192,3.192,0.0,10.056,76.14,0.262
1.375,MQ,3.0,3.192,3.192,0.0,10.056,77.339,0.257
1.375,MQ,3.0,3.192,3.192,0.0,10.056,80.278,0.223
1.375,MQ,3.0,3.192,3.192,0.0,10.056,80.386,0.251
1.375,MQ,3.0,3.192,3.192,0.0,10.056,80.541,0.212
1.375,MQ,3.0,3.192,3.192,0.0,13.943547534248028,76.14,0.247
1.375,MQ,4.4,3.192,3.192,0.0,9.576,75.772,0.261
1.375,MQ,4.4,3.192,3.192,0.0,17.429434417810032,76.973,0.241
2.5,MQ,3.0,0.0,10.121,24.779,0.0,137.968,0.056499999999999995
2.5,MQ,3.0,0.0,10.121,24.779,0.0,158.28,0.05
2.5,MQ,3.0,3.192,3.192,0.0,9.576,65.3,0.23
2.5,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,9.576,74.457,0.334
2.5,PBS,2.5,5.754981254919678,1.5466218368449105,10.235544516256562,0.0,1991.83548152214,0.201333997671457
2.5,PBS,4.0,12.79764984945341,8.598257683523885,13.006463090493858,0.0,94.0,0.179
2.5,PBS,5.0,1.918327084973226,1.0310812245632734,0.0,10.056,118.8,0.375
2.5,PBS,5.0,2.877490627459839,3.093243673689821,0.0,9.576,97.6,0.206
2.5,PBS,5.0,2.877490627459839,3.093243673689821,8.042213548487297,0.0,107.531261018264,0.279000115573349
2.5,PBS,8.0,12.79764984945341,5.15895461011433,0.0,3.75,125.2,0.245
2.5,PBS,8.0,12.79764984945341,5.15895461011433,0.0,7.542000000000001,98.3,0.257
2.5,PBS,8.0,12.79764984945341,6.878606146819108,0.0,9.576,131.3,0.242
2.5,PBS,8.0,12.79764984945341,8.598257683523885,0.0,9.576,81.3,0.245
