CHOL,ESM,PEG,HSPC,AQUEOUS,FRR,TFR,SIZE,PDI
0.5155406122816367,0.0,0.9591635424866132,9.576,PBS,2.5,2.5,119.4,0.184
0.5155406122816367,0.0,1.918327084973226,9.576,PBS,5.0,2.5,97.6,0.375
1.3408000000000002,0.0,3.8548,8.547600000000001,MQ,2.0,0.71,93.444,0.294
1.5466218368449105,0.0,5.754981254919678,7.837850663075668,PBS,5.0,1.0,91.5,0.204
3.0,0.0,3.0,9.576,MQ,3.0,0.25,135.609,0.369
3.192,0.0,3.192,7.542000000000001,MQ,1.0,1.375,149.89,0.4
3.192,0.0,3.192,8.547600000000001,MQ,3.0,1.375,155.532,0.251
3.192,0.0,3.192,8.547600000000001,MQ,3.0,2.5,68.868,0.23
3.192,0.0,3.192,8.547600000000001,MQ,4.4,0.58,95.927,0.262
3.192,0.0,3.192,8.547600000000001,MQ,4.4,1.375,76.973,0.241
3.192,0.0,3.192,8.621635729383234,MQ,3.0,1.375,83.866,0.214
3.192,0.0,3.192,9.0,MQ,1.6,2.17,87.316,0.152
3.192,0.0,3.192,9.576,MQ,3.0,0.25,129.236,0.334
3.192,0.0,3.192,9.576,MQ,3.0,0.25,148.899,0.334
3.192,0.0,3.192,9.576,MQ,3.0,1.375,77.848,0.256
3.192,0.0,3.192,9.576,MQ,3.0,1.375,80.386,0.2425
3.192,0.0,3.192,9.576,MQ,3.0,2.5,68.868,0.272
3.192,0.0,3.192,9.576,MQ,4.4,1.375,76.973,0.241
3.192,0.0,3.192,10.056,MQ,3.0,1.375,78.939,0.212
3.192,0.0,3.192,10.056,MQ,3.0,1.375,80.541,0.212
3.192,0.0,3.192,10.056,MQ,3.0,2.5,65.3,0.27
3.192,0.0,3.192,12.570000000000002,MQ,3.0,1.375,77.339,0.251
3.192,0.0,3.192,20.91532130137204,MQ,3.0,1.375,76.14,0.233
3.192,0.0,3.192,20.91532130137204,MQ,3.0,1.375,80.004,0.223
3.3520000000000003,0.0,3.3520000000000003,7.542000000000001,MQ,7.0,1.37,76.425,0.286
3.3520000000000003,0.0,3.3520000000000003,9.576,MQ,7.0,1.37,85.58,0.278
5.0,15.0,0.0,0.0,MQ,3.0,0.25,180.646,0.213
5.0,15.0,0.0,0.0,MQ,3.0,0.25,189.471,0.2015
5.0,15.0,0.0,0.0,MQ,3.0,1.375,181.41,0.091
5.0,15.0,0.0,0.0,MQ,3.0,2.5,147.238,0.064
5.15895461011433,0.0,12.8,9.0,PBS,8.0,2.5,125.2,0.365
5.15895461011433,19.509694635740782,12.79764984945341,0.0,PBS,4.0,2.5,91.0,0.149
5.15895461011433,19.509694635740782,12.79764984945341,0.0,PBS,8.0,2.5,81.0,0.19
6.704000000000001,0.0,2.514,9.576,MQ,7.0,1.37,68.453,0.219
6.878606146819108,0.0,12.8,9.576,PBS,8.0,2.5,94.2,0.365
7.695440626753877,0.0,12.79764984945341,3.918925331537834,PBS,8.0,2.5,81.3,0.242
8.0,12.0,0.0,0.0,MQ,1.0,1.375,129.1,0.029
8.598257683523885,0.0,12.79764984945341,8.547600000000001,PBS,8.0,2.5,122.1,0.245
8.598257683523885,0.0,12.8,8.547600000000001,PBS,8.0,2.5,95.1,0.365
10.121,24.779,0.0,0.0,MQ,1.0,1.375,240.863,0.322
10.121,24.779,0.0,0.0,MQ,1.6,2.17,229.416,0.244
10.121,24.779,0.0,0.0,MQ,3.0,0.25,167.216,0.16
10.121,24.779,0.0,0.0,MQ,3.0,1.375,139.586,0.087
10.121,24.779,0.0,0.0,MQ,3.0,1.375,146.755,0.064
10.121,24.779,0.0,0.0,MQ,3.0,1.375,162.206,0.062
10.121,24.779,0.0,0.0,MQ,3.0,1.375,169.717,0.103
10.121,24.779,0.0,0.0,MQ,3.0,2.5,158.28,0.059
20.0,20.0,0.0,0.0,MQ,3.0,1.375,3062.225,1.0
