TFR,AQUEOUS,PEG,FRR,CHOL,ESM,HSPC,SIZE,PDI
0.25,MQ,0.0,3.0,10.121,24.779,0.0,191.239,0.132
0.25,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,9.576,122.904,0.317
0.25,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,20.91532130137204,122.904,0.316
0.71,MQ,2.8492,23.0,5.363200000000001,0.0,8.547600000000001,102.022,0.258
1.0,PBS,0.9591635424866132,5.0,1.0310812245632734,0.0,11.5644,74.3,0.277
1.0,PBS,5.754981254919678,2.5,3.093243673689821,0.0,8.547600000000001,138.8,0.236
1.37,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,9.576,76.796,0.243
1.37,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,10.056,67.366,0.335
1.375,MQ,0.0,3.0,5.0,15.0,0.0,127.517,0.143
1.375,MQ,0.0,3.0,5.0,15.0,0.0,162.675,0.101
1.375,MQ,0.0,3.0,10.0,10.0,0.0,88.68,0.066
1.375,MQ,0.0,3.0,10.121,24.779,0.0,160.969,0.064
1.375,MQ,0.0,3.0,10.121,24.779,0.0,161.035,0.095
1.375,MQ,0.0,5.0,5.0,15.0,0.0,130.699,0.037
1.375,MQ,0.0,5.0,10.121,24.779,0.0,125.924,0.044
1.375,MQ,3.192,1.0,3.192,0.0,8.547600000000001,157.64,0.4
1.375,MQ,3.192,1.0,3.192,0.0,10.056,90.63,0.421
1.375,MQ,3.192,3.0,3.192,0.0,2.873878576461078,78.939,0.248
1.375,MQ,3.192,3.0,3.192,0.0,8.621635729383234,80.004,0.256
1.375,MQ,3.192,3.0,3.192,0.0,9.576,77.339,0.233
1.375,MQ,3.192,3.0,3.192,0.0,9.576,80.004,0.212
1.375,MQ,3.192,3.0,3.192,0.0,9.576,85.223,0.228
1.375,MQ,3.192,3.0,3.192,0.0,10.056,80.386,0.251
1.375,MQ,3.192,4.4,3.192,0.0,10.056,75.772,0.241
1.375,MQ,3.192,4.4,3.192,0.0,13.943547534248028,75.772,0.241
2.04,MQ,3.8548,23.0,1.3408000000000002,0.0,11.25,79.661,0.355
2.04,MQ,3.8548,23.0,1.3408000000000002,0.0,11.5644,93.161,0.376
2.17,MQ,3.192,1.6,3.192,0.0,9.576,100.593,0.174
2.5,MQ,0.0,3.0,10.121,24.779,0.0,155.385,0.054
2.5,MQ,2.8492,1.0,5.363200000000001,0.0,9.576,108.9,0.217
2.5,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,9.576,73.083,0.291
2.5,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,10.056,77.533,0.334
2.5,PBS,0.0,3.0,5.0,15.0,0.0,157.52,0.042
2.5,PBS,0.9591635424866132,2.5,0.5155406122816367,0.0,10.056,64.4,0.184
2.5,PBS,0.9591635424866132,2.5,1.0310812245632734,0.0,10.056,112.4,0.184
2.5,PBS,1.918327084973226,2.5,1.0310812245632734,0.0,10.056,64.4,0.166
2.5,PBS,2.877490627459839,5.0,3.093243673689821,0.0,10.056,97.6,0.206
2.5,PBS,5.754981254919678,2.5,1.5466218368449105,0.0,3.918925331537834,64.4,0.267
2.5,PBS,5.754981254919678,2.5,1.5466218368449105,10.235544516256562,0.0,1991.83548152214,0.201333997671457
2.5,PBS,12.79764984945341,8.0,5.15895461011433,0.0,3.75,125.2,0.245
2.5,PBS,12.79764984945341,8.0,6.878606146819108,0.0,20.91532130137204,95.0,0.245
2.5,PBS,12.8,4.0,5.15895461011433,0.0,2.873878576461078,93.8,0.343
2.5,PBS,12.8,4.0,5.15895461011433,0.0,10.056,97.7,0.336
2.5,PBS,12.8,4.0,6.878606146819108,0.0,9.576,93.8,0.336
2.5,PBS,12.8,6.0,8.598257683523885,0.0,9.576,89.3,0.292
2.5,PBS,12.8,8.0,5.15895461011433,0.0,9.0,98.3,0.235
2.5,PBS,12.8,8.0,6.878606146819108,0.0,20.91532130137204,125.2,0.235
2.5,PBS,12.8,8.0,8.598257683523885,0.0,10.056,131.3,0.248
