FRR,CHOL,ESM,PEG,HSPC,AQUEOUS,TFR,SIZE,PDI
1.0,3.192,0.0,3.192,20.91532130137204,MQ,1.375,157.64,0.4
1.0,5.363200000000001,0.0,2.8492,8.547600000000001,MQ,2.5,108.9,0.217
1.0,5.363200000000001,0.0,2.8492,11.5644,MQ,1.375,157.64,0.18
3.0,0.0,0.0,3.75,9.576,MQ,0.25,131.852,0.558
3.0,3.192,0.0,3.192,8.547600000000001,MQ,2.5,68.868,0.272
3.0,3.192,0.0,3.192,9.0,MQ,0.25,129.236,0.356
3.0,3.192,0.0,3.192,9.576,MQ,0.25,135.609,0.295
3.0,3.192,0.0,3.192,9.576,MQ,1.375,80.004,0.214
3.0,3.192,0.0,3.192,9.576,MQ,1.375,81.475,0.229
3.0,3.192,0.0,3.192,9.576,MQ,2.5,66.672,0.27
3.0,3.192,0.0,3.192,10.056,MQ,1.375,78.537,0.226
3.0,3.192,0.0,3.192,10.056,MQ,1.375,80.541,0.231
3.0,3.192,0.0,3.192,10.056,MQ,1.375,83.866,0.297
3.0,3.192,0.0,3.192,10.056,MQ,2.5,65.3,0.272
3.0,3.192,0.0,3.192,11.25,MQ,1.375,155.532,0.229
3.0,3.192,0.0,3.192,11.5644,MQ,0.25,129.236,0.334
3.0,3.192,0.0,3.192,12.570000000000002,MQ,2.5,65.3,0.27
3.0,3.192,0.0,3.192,17.429434417810032,MQ,1.375,80.386,0.214
3.0,5.0,15.0,0.0,0.0,MQ,0.25,189.471,0.271
3.0,5.0,15.0,0.0,0.0,MQ,1.375,163.213,0.162
3.0,5.0,15.0,0.0,0.0,MQ,1.375,165.879,0.065
3.0,5.0,15.0,0.0,0.0,MQ,1.375,181.41,0.042
3.0,5.0,15.0,0.0,0.0,MQ,1.375,182.155,0.141
3.0,5.0,15.0,0.0,0.0,PBS,2.5,146.835,0.029
3.0,10.0,10.0,0.0,0.0,MQ,1.375,86.863,0.066
3.0,10.121,24.779,0.0,0.0,MQ,0.25,183.962,0.071
3.0,10.121,24.779,0.0,0.0,MQ,0.25,191.239,0.071
3.0,10.121,24.779,0.0,0.0,MQ,1.375,139.657,0.091
3.0,10.121,24.779,0.0,0.0,MQ,1.375,139.883,0.095
3.0,10.121,24.779,0.0,0.0,MQ,1.375,146.755,0.064
3.0,10.121,24.779,0.0,0.0,MQ,1.375,158.593,0.077
3.0,10.121,24.779,0.0,0.0,MQ,1.375,160.342,0.095
3.0,10.121,24.779,0.0,0.0,MQ,1.375,162.206,0.111
3.0,10.121,24.779,0.0,0.0,MQ,2.5,137.968,0.054
3.0,10.121,24.779,0.0,0.0,PBS,2.5,137.968,0.05
3.0,20.0,20.0,0.0,0.0,MQ,1.375,7297.414,1.0
4.0,5.15895461011433,19.509694635740782,12.79764984945341,0.0,PBS,2.5,95.0,0.163
5.0,10.121,24.779,0.0,0.0,MQ,1.375,125.924,0.058
5.0,10.121,24.779,0.0,0.0,MQ,2.5,114.922,0.055
7.0,0.0,0.0,4.19,11.5644,MQ,1.37,67.366,0.269
7.0,3.3520000000000003,0.0,3.3520000000000003,9.576,MQ,0.25,108.6,0.316
7.0,3.3520000000000003,0.0,3.3520000000000003,17.429434417810032,MQ,1.37,68.966,0.326
8.0,5.15895461011433,0.0,12.79764984945341,3.0,PBS,2.5,125.2,0.245
50.0,3.0,0.0,3.0,9.576,PBS,1.0,141.591,0.385
50.0,3.3520000000000003,0.0,3.3520000000000003,3.657663642768645,MQ,1.37,94.633,0.38
