FRR,TFR,AQUEOUS,PEG,CHOL,ESM,HSPC,SIZE,PDI
1.0,1.375,MQ,0.0,10.121,24.779,0.0,232.108,0.252
2.0,0.71,MQ,2.8492,5.363200000000001,0.0,12.570000000000002,111.287,0.188
2.0,2.04,MQ,3.8548,1.3408000000000002,0.0,13.943547534248028,62.883,0.221
2.5,1.0,PBS,5.754981254919678,3.093243673689821,0.0,8.547600000000001,414.4,0.236
3.0,0.25,MQ,0.0,10.121,24.779,0.0,167.216,0.071
3.0,0.25,MQ,0.0,10.121,24.779,0.0,191.239,0.132
3.0,0.25,MQ,3.192,3.192,0.0,7.542000000000001,351.504,0.356
3.0,0.25,MQ,3.192,3.192,0.0,8.547600000000001,117.567,0.295
3.0,0.25,MQ,3.192,3.192,0.0,9.576,135.609,0.356
3.0,0.25,PBS,0.0,10.121,24.779,0.0,167.216,0.16
3.0,1.0,PBS,1.0,1.0,0.0,8.547600000000001,73.088,0.238
3.0,1.375,MQ,0.0,5.0,15.0,0.0,160.902,0.091
3.0,1.375,MQ,0.0,5.0,15.0,0.0,163.213,0.08549999999999999
3.0,1.375,MQ,0.0,5.0,15.0,0.0,196.919,0.07
3.0,1.375,MQ,0.0,10.0,10.0,0.0,88.68,0.089
3.0,1.375,MQ,0.0,10.121,24.779,0.0,141.538,0.095
3.0,1.375,MQ,0.0,10.121,24.779,0.0,161.035,0.095
3.0,1.375,MQ,0.0,10.121,24.779,0.0,171.769,0.119
3.0,1.375,MQ,3.192,3.192,0.0,3.657663642768645,77.339,0.297
3.0,1.375,MQ,3.192,3.192,0.0,7.542000000000001,81.475,0.233
3.0,1.375,MQ,3.192,3.192,0.0,10.056,78.939,0.297
3.0,1.375,MQ,3.192,3.192,0.0,10.056,80.541,0.223
3.0,1.375,MQ,3.192,3.192,0.0,11.5644,83.866,0.248
3.0,2.5,MQ,3.192,3.192,0.0,10.056,68.868,0.23
3.0,2.5,PBS,0.0,5.0,15.0,0.0,147.238,0.064
3.0,2.5,PBS,0.0,5.0,15.0,0.0,157.52,0.042
3.0,2.5,PBS,0.0,10.121,24.779,0.0,137.968,0.059
3.0,2.5,PBS,0.0,10.121,24.779,0.0,155.385,0.054
3.5002575415843395,1.375,MQ,2.8492,5.363200000000001,0.0,13.943547534248028,70.04,0.202
4.0,2.5,PBS,12.8,6.878606146819108,0.0,11.5644,97.7,0.275
4.189207115002722,2.0439290021890306,MQ,0.0,7.973017787506802,12.026982212493198,0.0,89.206,0.061
4.4,1.375,MQ,3.192,3.192,0.0,8.547600000000001,76.545,0.241
4.4,1.375,MQ,3.192,3.192,0.0,9.0,76.545,0.254
5.0,1.375,MQ,0.0,5.0,15.0,0.0,130.699,0.037
5.0,1.375,MQ,0.0,10.121,24.779,0.0,115.891,0.051000000000000004
5.0,1.375,MQ,0.0,10.121,24.779,0.0,130.988,0.058
5.0,2.5,MQ,0.0,10.121,24.779,0.0,107.303,0.055
5.0,2.5,PBS,2.877490627459839,1.5466218368449105,0.0,10.056,118.8,0.206
7.0,0.25,MQ,3.3520000000000003,3.3520000000000003,0.0,2.612616887691889,108.6,0.316
7.0,0.25,MQ,3.3520000000000003,3.3520000000000003,0.0,8.547600000000001,122.904,0.316
7.0,0.25,MQ,3.3520000000000003,3.3520000000000003,0.0,10.056,124.162,0.316
7.0,0.25,MQ,3.3520000000000003,3.3520000000000003,0.0,15.77363814811808,124.162,0.284
7.0,2.5,MQ,3.3520000000000003,3.3520000000000003,0.0,9.0,77.533,0.285
7.0,2.5,MQ,3.3520000000000003,3.3520000000000003,0.0,20.91532130137204,74.457,0.291
8.0,2.5,PBS,12.8,5.15895461011433,0.0,10.972990928305936,94.2,0.235
23.0,2.04,MQ,3.8548,1.3408000000000002,0.0,2.612616887691889,79.661,0.376
50.0,1.0,PBS,3.0,3.0,0.0,9.576,102.376,0.385
