ESM,PEG,AQUEOUS,CHOL,HSPC,TFR,ML,FRR,CHIP,SIZE,PDI
0,0,0,0,0,0,0,0,0,0,2.3333333333333335
0,0,0,0,0,0,0,0,0,1,1.6666666666666667
0,0,0,0,0,0,0,2,0,3,2.0
0,0,0,0,0,0,1,0,0,2,0.0
0,0,0,0,0,0,1,0,0,3,0.0
0,0,0,0,0,1,0,0,0,0,2.0
0,0,0,0,0,2,0,0,0,0,1.6666666666666667
0,0,0,0,0,2,0,0,0,1,1.25
0,0,0,0,0,2,1,0,0,0,3.0
0,0,0,0,0,2,1,0,0,1,0.0
0,0,0,0,0,2,1,0,0,2,3.0
0,0,0,0,0,2,1,0,0,3,0.0
0,0,0,0,0,3,0,0,0,0,2.0
0,0,0,0,0,3,0,1,0,0,1.0
0,0,0,0,0,4,0,0,0,0,2.0
0,0,0,0,0,4,0,0,0,1,1.0
0,0,0,1,0,0,1,0,0,1,0.0
0,0,0,1,0,0,1,0,0,2,0.0
0,0,0,1,0,0,1,2,0,0,0.0
0,0,0,1,0,0,1,2,0,1,0.0
0,0,0,1,0,0,1,2,0,2,0.0
0,0,0,1,0,0,1,2,1,2,0.0
0,0,0,1,0,1,1,0,0,0,3.0
0,0,0,1,0,1,1,0,0,1,0.0
0,0,0,1,0,1,1,0,0,3,2.0
0,0,0,1,0,1,1,2,1,1,3.0
0,0,0,1,0,2,1,0,0,0,0.42857142857142855
0,0,0,1,0,2,1,0,0,1,0.2
0,0,0,1,0,2,1,0,0,2,0.6666666666666666
0,0,0,1,0,2,1,0,0,3,1.2
0,0,0,1,0,2,1,0,1,3,3.0
0,0,0,1,0,3,1,0,0,1,0.0
0,0,0,1,0,3,1,0,0,2,1.0
0,0,0,1,0,3,1,1,0,1,1.0
0,0,0,1,0,3,1,1,0,2,0.0
0,0,0,1,0,4,1,0,0,0,3.0
0,0,0,1,0,4,1,0,0,1,1.0
0,0,0,1,0,4,1,0,0,2,1.2
0,0,0,1,0,4,1,0,0,3,0.5
0,0,0,1,0,4,1,0,1,1,3.0
0,0,1,0,0,0,0,2,1,2,3.0
0,0,1,0,0,1,0,0,1,0,3.0
0,0,1,0,0,1,0,2,1,3,3.0
0,0,1,1,0,0,1,0,0,0,0.0
0,0,1,1,0,0,1,0,1,3,2.0
0,0,1,1,0,1,1,0,0,2,0.0
0,0,1,1,0,1,1,2,0,1,0.0
0,0,1,1,0,3,1,0,0,0,1.0
0,1,0,0,0,2,0,0,0,0,2.0
0,1,0,0,0,2,1,0,0,1,0.0
0,1,0,1,0,2,1,0,0,0,0.0
0,1,0,1,0,2,1,0,0,2,0.0
0,1,0,1,0,2,1,0,0,3,0.0
0,1,0,1,0,4,1,0,0,3,2.0
0,2,0,3,1,2,0,0,0,3,3.0
0,2,1,3,1,1,0,0,1,2,3.0
0,3,0,0,2,0,0,2,0,0,2.0
0,3,0,0,2,1,0,0,0,0,1.0
0,3,0,0,2,2,0,0,0,0,1.6666666666666667
0,3,0,0,2,2,0,0,0,1,2.4
0,3,0,0,2,2,0,0,0,2,1.0
0,3,0,0,2,2,0,0,1,1,3.0
0,3,0,0,2,2,0,2,1,0,2.0
0,3,0,0,2,3,0,0,0,0,1.5
0,3,0,0,2,3,0,1,0,1,2.0
0,3,0,0,2,4,0,0,0,0,2.25
0,3,0,1,2,0,0,0,0,0,2.0
0,3,0,1,2,0,0,0,0,3,1.0
0,3,0,1,2,1,0,2,0,0,2.0
0,3,0,1,2,1,0,2,1,1,3.0
0,3,0,1,2,1,0,2,1,3,3.0
0,3,0,1,2,2,0,0,0,0,1.6666666666666667
0,3,0,1,2,2,0,0,0,1,1.6
0,3,0,1,2,2,0,2,0,0,1.0
0,3,0,1,2,2,0,2,1,2,3.0
0,3,0,1,2,3,0,0,0,0,2.0
0,3,0,1,2,3,0,0,0,2,2.0
0,3,0,1,2,3,0,1,0,0,2.0
0,3,0,1,2,4,0,0,0,0,1.3333333333333333
0,3,0,2,2,0,0,2,0,0,2.0
0,3,0,2,2,2,0,0,0,0,1.4444444444444444
0,3,0,2,2,2,0,0,0,1,1.0
0,3,0,2,2,3,0,0,0,0,2.5
0,3,0,2,2,3,0,0,0,1,1.5
0,3,0,2,2,4,0,0,0,0,1.6666666666666667
0,3,0,2,2,4,0,0,0,1,1.0
0,3,0,2,2,4,0,0,0,2,2.0
0,3,1,0,2,1,0,0,0,0,3.0
0,3,1,0,2,1,0,0,1,3,3.0
0,3,1,1,2,0,0,0,0,0,1.0
0,3,1,1,2,1,0,2,1,3,2.0
0,3,1,2,2,0,0,2,0,0,2.0
0,3,1,2,2,1,0,0,0,0,2.0
0,3,1,2,2,2,0,0,0,2,3.0
0,4,0,0,2,0,0,0,0,0,2.0
0,4,0,0,2,1,0,2,0,0,1.0
0,4,0,0,2,2,0,0,0,0,2.5
0,4,0,0,2,3,0,0,0,1,2.0
0,4,0,1,2,1,0,0,0,0,2.0
0,4,0,1,2,1,0,1,0,0,2.0
0,4,0,1,2,2,0,0,0,0,3.0
0,4,0,1,2,2,0,0,0,1,2.5
0,4,0,1,2,4,0,0,0,0,3.0
0,4,0,1,2,4,0,0,0,1,1.0
0,4,0,2,2,0,0,0,0,0,1.0
0,4,0,2,2,0,0,0,0,1,1.0
0,4,0,2,2,1,0,0,0,0,1.0
1,0,0,0,0,2,1,0,0,0,0.0
1,0,0,0,0,4,1,0,0,0,0.0
1,0,0,2,0,4,1,0,0,2,1.0
1,0,1,0,0,1,1,0,1,0,3.0
1,0,1,0,0,2,1,0,0,0,3.0
2,0,0,3,0,4,1,0,0,0,0.0
2,0,0,4,0,0,1,0,0,2,3.0
2,0,0,4,0,2,1,0,0,1,2.0
2,0,0,4,0,4,1,0,0,1,0.0
2,0,0,4,0,4,1,0,0,2,0.0
3,0,0,0,0,0,1,0,0,3,1.0
3,0,0,0,0,1,1,2,1,1,2.0
3,0,0,0,0,2,1,0,0,1,0.0
3,0,0,0,0,2,1,0,0,2,0.5
3,0,0,0,0,2,1,0,0,3,3.0
3,0,0,0,0,3,1,0,0,3,0.0
3,0,0,0,0,4,1,0,0,2,2.0
3,0,0,2,0,1,1,0,0,2,0.0
3,0,0,2,0,1,1,2,1,3,3.0
3,0,0,2,0,2,1,0,0,0,3.0
3,0,0,2,0,2,1,0,0,1,0.0
3,0,0,2,0,2,1,0,0,2,1.0
3,0,0,2,0,2,1,0,0,3,0.0
3,0,0,2,0,3,1,0,0,1,2.0
3,0,0,2,0,3,1,0,0,3,1.0
3,0,0,2,0,4,1,0,0,2,0.0
3,0,1,0,0,0,1,0,1,3,3.0
3,0,1,0,0,0,1,2,0,3,3.0
3,1,0,0,0,4,1,0,0,1,0.0
4,0,0,0,0,0,1,0,0,2,0.0
4,0,0,0,0,1,1,0,0,1,0.0
4,0,0,0,0,1,1,0,0,2,0.5
4,0,0,0,0,1,1,0,0,3,0.0
4,0,0,0,0,1,1,1,0,2,0.0
4,0,0,0,0,2,1,0,0,1,0.5
4,0,0,0,0,2,1,0,0,2,0.0
4,0,0,0,0,2,1,0,0,3,0.0
4,0,0,0,0,3,1,0,0,2,3.0
4,0,0,0,0,4,1,0,0,0,2.0
4,0,0,0,0,4,1,0,0,1,0.0
4,0,0,0,0,4,1,0,0,3,0.5
4,0,0,3,0,0,1,2,0,1,3.0
4,0,0,3,0,0,1,2,1,3,1.0
4,0,0,3,0,1,1,0,0,2,0.0
4,0,0,3,0,2,1,0,0,3,2.0
4,0,0,3,0,3,1,0,0,1,0.0
4,0,0,3,0,4,1,0,0,2,0.0
4,0,0,3,0,4,1,0,0,3,0.0
4,0,0,4,0,0,1,0,0,1,3.0
4,0,0,4,0,1,1,0,0,2,1.0
4,0,0,4,0,1,1,2,1,0,3.0
4,0,0,4,0,2,1,0,0,0,0.0
4,0,0,4,0,2,1,0,0,1,0.3333333333333333
4,0,1,0,0,0,1,2,1,3,0.0
4,1,0,0,0,2,1,0,0,2,1.0
4,1,0,3,0,2,1,0,0,2,3.0
