TFR,AQUEOUS,FRR,PEG,CHOL,ESM,HSPC,PDI,SIZE
0.25,MQ,3.0,0.0,5.0,15.0,0.0,0.271,189.471
0.25,MQ,3.0,3.192,3.192,0.0,7.837850663075668,0.356,117.567
0.25,MQ,3.0,3.75,0.0,0.0,3.0,0.558,131.852
0.25,PBS,50.0,1.25,0.0,0.0,20.91532130137204,0.49,138.894
1.37,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,11.25,0.234,76.796
1.37,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,12.570000000000002,0.327,77.267
1.375,MQ,1.0,0.0,8.0,12.0,0.0,0.029,129.1
1.375,MQ,1.0,0.0,10.121,24.779,0.0,0.26,236.083
1.375,MQ,1.0,2.514,6.704000000000001,0.0,8.547600000000001,0.14,149.89
1.375,MQ,1.0,3.192,3.192,0.0,17.429434417810032,0.4,149.89
1.375,MQ,3.0,0.0,5.0,15.0,0.0,0.07,168.994
1.375,MQ,3.0,0.0,5.0,15.0,0.0,0.074,169.422
1.375,MQ,3.0,0.0,5.0,15.0,0.0,0.087,182.155
1.375,MQ,3.0,0.0,5.0,15.0,0.0,0.101,162.675
1.375,MQ,3.0,0.0,5.0,15.0,0.0,0.141,177.175
1.375,MQ,3.0,0.0,5.0,15.0,0.0,0.179,127.517
1.375,MQ,3.0,0.0,10.0,10.0,0.0,0.08,86.863
1.375,MQ,3.0,0.0,10.121,24.779,0.0,0.064,163.799
1.375,MQ,3.0,0.0,10.121,24.779,0.0,0.065,146.755
1.375,MQ,3.0,0.0,10.121,24.779,0.0,0.081,162.206
1.375,MQ,3.0,0.0,10.121,24.779,0.0,0.085,139.586
1.375,MQ,3.0,0.0,10.121,24.779,0.0,0.121,146.755
1.375,MQ,3.0,3.192,3.192,0.0,9.576,0.223,77.848
1.375,MQ,3.0,3.192,3.192,0.0,9.576,0.229,83.696
1.375,MQ,3.0,3.192,3.192,0.0,9.576,0.262,80.386
1.375,MQ,3.0,3.192,3.192,0.0,10.056,0.212,80.541
1.375,MQ,3.0,3.192,3.192,0.0,10.056,0.223,80.278
1.375,MQ,3.0,3.192,3.192,0.0,10.056,0.251,80.386
1.375,MQ,3.0,3.192,3.192,0.0,10.056,0.257,77.339
1.375,MQ,3.0,3.192,3.192,0.0,10.056,0.262,76.14
1.375,MQ,3.0,3.192,3.192,0.0,13.943547534248028,0.247,76.14
1.375,MQ,4.4,3.192,3.192,0.0,9.576,0.261,75.772
1.375,MQ,4.4,3.192,3.192,0.0,17.429434417810032,0.241,76.973
2.5,MQ,3.0,0.0,10.121,24.779,0.0,0.05,158.28
2.5,MQ,3.0,0.0,10.121,24.779,0.0,0.054,137.968
2.5,MQ,3.0,0.0,10.121,24.779,0.0,0.059,137.968
2.5,MQ,3.0,3.192,3.192,0.0,9.576,0.23,65.3
2.5,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,9.576,0.334,74.457
2.5,PBS,2.5,5.754981254919678,1.5466218368449105,10.235544516256562,0.0,0.201333997671457,1991.83548152214
2.5,PBS,4.0,12.79764984945341,8.598257683523885,13.006463090493858,0.0,0.179,94.0
2.5,PBS,5.0,1.918327084973226,1.0310812245632734,0.0,10.056,0.375,118.8
2.5,PBS,5.0,2.877490627459839,3.093243673689821,0.0,9.576,0.206,97.6
2.5,PBS,5.0,2.877490627459839,3.093243673689821,8.042213548487297,0.0,0.279000115573349,107.531261018264
2.5,PBS,8.0,12.79764984945341,5.15895461011433,0.0,3.75,0.245,125.2
2.5,PBS,8.0,12.79764984945341,5.15895461011433,0.0,7.542000000000001,0.257,98.3
2.5,PBS,8.0,12.79764984945341,6.878606146819108,0.0,9.576,0.242,131.3
2.5,PBS,8.0,12.79764984945341,8.598257683523885,0.0,9.576,0.245,81.3
