TFR,AQUEOUS,PEG,FRR,CHOL,ESM,HSPC,PDI,SIZE
0.25,MQ,0.0,3.0,0.0,20.0,0.0,0.106,6478.919
0.25,MQ,0.0,3.0,10.121,24.779,0.0,0.132,191.239
0.25,MQ,3.192,3.0,3.192,0.0,12.570000000000002,0.356,117.567
0.25,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,20.91532130137204,0.316,122.904
0.71,MQ,2.8492,23.0,5.363200000000001,0.0,8.547600000000001,0.258,102.022
0.71,MQ,3.8548,2.0,1.3408000000000002,0.0,10.056,0.327,93.444
1.0,PBS,0.9591635424866132,5.0,0.5155406122816367,0.0,9.576,0.277,74.3
1.0,PBS,3.0,50.0,3.0,0.0,10.056,0.385,125.959
1.0,PBS,5.754981254919678,2.5,1.5466218368449105,0.0,8.547600000000001,0.236,414.4
1.0,PBS,5.754981254919678,2.5,3.093243673689821,0.0,8.547600000000001,0.236,138.8
1.37,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,10.056,0.232,76.921
1.37,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,10.056,0.335,67.366
1.37,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,13.943547534248028,0.286,81.85
1.37,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,13.943547534248028,0.288,68.453
1.375,MQ,0.0,3.0,5.0,15.0,0.0,0.101,162.675
1.375,MQ,0.0,3.0,5.0,15.0,0.0,0.143,127.517
1.375,MQ,0.0,3.0,5.0,15.0,0.0,0.179,127.517
1.375,MQ,0.0,3.0,10.0,10.0,0.0,0.066,88.68
1.375,MQ,0.0,3.0,10.121,24.779,0.0,0.087,161.035
1.375,MQ,0.0,3.0,10.121,24.779,0.0,0.103,161.035
1.375,MQ,0.0,3.0,10.121,24.779,0.0,0.121,146.755
1.375,MQ,0.0,5.0,5.0,15.0,0.0,0.048,130.699
1.375,MQ,2.8492,1.0,5.363200000000001,0.0,3.75,0.18,158.663
1.375,MQ,3.192,1.0,3.192,0.0,3.918925331537834,0.409,149.89
1.375,MQ,3.192,1.0,3.192,0.0,8.547600000000001,0.4,157.64
1.375,MQ,3.192,3.0,3.192,0.0,2.873878576461078,0.248,78.939
1.375,MQ,3.192,3.0,3.192,0.0,8.621635729383234,0.256,80.004
1.375,MQ,3.192,3.0,3.192,0.0,9.576,0.212,80.004
1.375,MQ,3.192,3.0,3.192,0.0,9.576,0.228,85.223
1.375,MQ,3.192,3.0,3.192,0.0,9.576,0.233,77.339
1.375,MQ,3.192,3.0,3.192,0.0,10.056,0.251,80.386
1.375,MQ,3.192,3.0,3.192,0.0,20.91532130137204,0.262,77.339
1.375,MQ,3.192,4.4,3.192,0.0,10.056,0.241,75.772
1.375,MQ,3.192,4.4,3.192,0.0,10.056,0.261,76.545
2.04,MQ,3.8548,23.0,1.3408000000000002,0.0,11.25,0.355,79.661
2.17,MQ,3.192,1.6,3.192,0.0,9.576,0.174,100.593
2.5,MQ,0.0,3.0,10.121,24.779,0.0,0.054,155.385
2.5,MQ,2.8492,1.0,5.363200000000001,0.0,9.576,0.217,108.9
2.5,MQ,3.192,3.0,3.192,0.0,10.056,0.272,65.3
2.5,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,9.576,0.291,73.083
2.5,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,10.056,0.334,77.533
2.5,PBS,1.918327084973226,2.5,1.0310812245632734,0.0,10.056,0.166,64.4
2.5,PBS,2.877490627459839,5.0,3.093243673689821,0.0,10.056,0.206,97.6
2.5,PBS,5.754981254919678,2.5,1.5466218368449105,0.0,3.918925331537834,0.267,64.4
2.5,PBS,12.79764984945341,4.0,8.598257683523885,13.006463090493858,0.0,0.227,94.0
2.5,PBS,12.79764984945341,8.0,5.15895461011433,0.0,3.75,0.245,125.2
2.5,PBS,12.8,4.0,5.15895461011433,0.0,2.873878576461078,0.343,93.8
2.5,PBS,12.8,4.0,5.15895461011433,0.0,10.056,0.336,97.7
2.5,PBS,12.8,6.0,8.598257683523885,0.0,9.576,0.292,89.3
2.5,PBS,12.8,8.0,6.878606146819108,0.0,20.91532130137204,0.235,125.2
