FRR,AQUEOUS,PEG,TFR,CHOL,ESM,HSPC,PDI,SIZE
1.0,MQ,0.0,1.375,10.121,24.779,0.0,0.26,240.863
1.0,MQ,2.514,2.5,6.704000000000001,0.0,3.0,0.13,90.31
1.0,MQ,3.192,1.375,3.192,0.0,9.576,0.421,149.89
1.6,MQ,0.0,2.17,10.121,24.779,0.0,0.274,229.416
2.5,PBS,0.9591635424866132,2.5,0.5155406122816367,0.0,2.612616887691889,0.184,112.4
3.0,MQ,0.0,0.25,5.0,5.0,0.0,0.082,116.839
3.0,MQ,0.0,0.25,5.0,15.0,0.0,0.213,190.929
3.0,MQ,0.0,0.25,10.121,24.779,0.0,0.071,191.239
3.0,MQ,0.0,1.375,5.0,15.0,0.0,0.07,160.902
3.0,MQ,0.0,1.375,5.0,15.0,0.0,0.074,165.16199999999998
3.0,MQ,0.0,1.375,5.0,15.0,0.0,0.119,163.213
3.0,MQ,0.0,1.375,5.0,15.0,0.0,0.141,162.675
3.0,MQ,0.0,1.375,10.0,10.0,0.0,0.089,87.7715
3.0,MQ,0.0,1.375,10.121,24.779,0.0,0.062,139.883
3.0,MQ,0.0,1.375,10.121,24.779,0.0,0.064,160.342
3.0,MQ,0.0,1.375,10.121,24.779,0.0,0.082,162.206
3.0,MQ,0.0,1.375,10.121,24.779,0.0,0.111,158.593
3.0,MQ,0.0,1.375,20.0,20.0,0.0,1.0,3062.225
3.0,MQ,0.0,2.5,10.121,24.779,0.0,0.05,158.28
3.0,MQ,0.0,2.5,10.121,24.779,0.0,0.059,137.968
3.0,MQ,3.192,0.25,3.192,0.0,10.056,0.295,117.567
3.0,MQ,3.192,0.25,3.192,0.0,10.056,0.356,123.4015
3.0,MQ,3.192,0.25,3.192,0.0,17.429434417810032,0.356,148.899
3.0,MQ,3.192,1.375,3.192,0.0,8.547600000000001,0.231,75.29
3.0,MQ,3.192,1.375,3.192,0.0,8.547600000000001,0.251,76.14
3.0,MQ,3.192,1.375,3.192,0.0,8.547600000000001,0.256,83.866
3.0,MQ,3.192,1.375,3.192,0.0,8.547600000000001,0.297,155.532
3.0,MQ,3.192,1.375,3.192,0.0,9.576,0.212,75.29
3.0,MQ,3.192,1.375,3.192,0.0,9.576,0.228,85.223
3.0,MQ,3.192,1.375,3.192,0.0,11.5644,0.223,78.537
3.0,MQ,3.192,1.375,3.192,0.0,11.5644,0.262,80.386
3.0,MQ,3.192,1.375,3.192,0.0,11.756775994613504,0.233,85.223
3.0,PBS,0.0,2.5,5.0,15.0,0.0,0.029,146.835
3.0,PBS,0.0,2.5,5.0,15.0,0.0,0.064,157.52
3.0,PBS,0.0,2.5,10.121,24.779,0.0,0.059,137.968
4.4,MQ,0.0,2.17,10.121,24.779,0.0,0.027,125.303
4.4,MQ,3.192,1.375,3.192,0.0,9.576,0.254,76.973
5.0,PBS,0.0,2.5,10.121,24.779,0.0,0.056,109.23
5.0,PBS,0.9591635424866132,1.0,0.5155406122816367,3.6555516129487713,0.0,0.454017231032364,4006.80506004553
5.0,PBS,1.918327084973226,2.5,0.5155406122816367,3.41184817208552,0.0,0.450422523099483,7932.67265191194
6.0,PBS,12.8,2.5,6.878606146819108,0.0,9.576,0.223,92.7
8.0,PBS,12.79764984945341,2.5,5.15895461011433,19.509694635740782,0.0,0.19,77.0
8.0,PBS,12.79764984945341,2.5,8.598257683523885,0.0,8.547600000000001,0.245,98.3
8.0,PBS,12.8,2.5,5.15895461011433,0.0,11.5644,0.351,98.3
23.0,MQ,3.8548,0.71,1.3408000000000002,0.0,9.576,0.476,109.953
50.0,PBS,3.0,1.0,3.0,0.0,10.056,0.385,125.959
