ESM,CHOL,AQUEOUS,PEG,TFR,HSPC,FRR,ML,CHIP,PDI,SIZE
0,0,0,0,0,0,0,1,0,2,2.0
0,0,0,0,0,0,0,1,0,3,2.0
0,0,0,0,0,0,2,0,1,3,3.0
0,0,0,0,1,0,0,0,0,2,1.0
0,0,0,0,1,0,0,0,0,3,0.5
0,0,0,0,1,0,2,0,0,3,0.0
0,0,0,0,2,0,0,0,0,2,0.0
0,0,0,0,2,0,0,0,0,3,0.4
0,0,0,0,3,0,0,0,0,3,0.0
0,0,0,0,3,0,1,0,0,1,0.0
0,0,0,0,3,0,1,0,0,2,0.0
0,0,0,0,4,0,0,0,0,3,1.0
0,0,0,0,4,0,0,1,1,3,0.0
0,0,0,1,0,0,0,0,0,3,1.0
0,0,0,1,1,0,0,0,0,2,0.0
0,0,0,1,1,0,0,1,0,3,2.0
0,0,0,1,2,0,0,0,0,1,0.5
0,0,0,1,2,0,0,0,0,3,0.5
0,0,0,1,2,0,0,1,0,3,1.5
0,0,0,1,4,0,0,0,0,2,0.0
0,0,0,1,4,0,0,0,0,3,0.0
0,0,0,4,0,2,0,0,0,3,0.0
0,0,0,4,0,2,2,0,0,3,1.0
0,0,0,4,1,2,0,0,0,2,0.0
0,0,0,4,1,2,0,0,0,3,0.5
0,0,0,4,1,2,1,0,0,2,0.5
0,0,0,4,2,2,0,0,0,2,0.0
0,0,0,4,2,2,0,0,0,3,0.0
0,0,0,4,2,2,0,0,1,3,3.0
0,0,0,4,3,2,0,0,0,2,0.0
0,0,0,4,3,2,0,0,0,3,1.0
0,0,0,4,4,2,0,0,0,3,0.0
0,0,1,0,0,0,0,0,0,2,1.0
0,0,1,0,1,0,0,0,1,2,1.0
0,0,1,0,1,0,0,1,0,3,1.5
0,0,1,4,0,2,0,0,0,2,0.0
0,0,1,4,1,2,2,0,0,1,0.0
0,1,0,0,2,0,0,0,0,1,3.0
0,1,0,0,4,0,0,0,0,3,1.0
0,1,0,3,0,2,0,0,0,1,0.5
0,1,0,3,0,2,0,0,0,2,1.0
0,1,0,3,0,2,2,0,0,1,0.0
0,1,0,3,0,2,2,0,0,2,0.0
