FRR,PEG,AQUEOUS,CHOL,TFR,ESM,HSPC,PDI,SIZE
1.0,0.0,MQ,10.0,2.5,10.0,0.0,0.063,105.3
1.0,0.0,MQ,10.121,1.375,24.779,0.0,0.26,232.108
1.0,2.8492,MQ,5.363200000000001,2.5,0.0,10.056,0.217,90.31
1.6,3.192,MQ,3.192,0.58,0.0,13.943547534248028,0.307,136.684
2.0,3.8548,MQ,1.3408000000000002,2.04,0.0,11.5644,0.343,72.548
2.5,0.9591635424866132,PBS,0.5155406122816367,2.5,0.0,10.056,0.184,112.4
3.0,0.0,MQ,5.0,1.375,15.0,0.0,0.087,176.58
3.0,0.0,MQ,10.0,1.375,10.0,0.0,0.08,85.607
3.0,0.0,MQ,10.121,0.25,24.779,0.0,0.071,191.239
3.0,0.0,MQ,10.121,1.375,24.779,0.0,0.062,160.342
3.0,0.0,MQ,10.121,1.375,24.779,0.0,0.064,160.342
3.0,0.0,MQ,10.121,1.375,24.779,0.0,0.08,146.755
3.0,0.0,MQ,10.121,1.375,24.779,0.0,0.085,158.912
3.0,0.0,MQ,10.121,1.375,24.779,0.0,0.119,146.755
3.0,0.0,MQ,20.0,1.375,20.0,0.0,1.0,3062.225
3.0,0.0,PBS,5.0,2.5,15.0,0.0,0.042,157.52
3.0,0.0,PBS,10.121,2.5,24.779,0.0,0.05,158.28
3.0,0.0,PBS,10.121,2.5,24.779,0.0,0.054,137.968
3.0,1.0,MQ,1.0,0.25,0.0,9.576,0.327,148.899
3.0,3.192,MQ,3.192,0.25,0.0,9.576,0.295,351.504
3.0,3.192,MQ,3.192,0.25,0.0,9.576,0.334,131.852
3.0,3.192,MQ,3.192,0.25,0.0,10.056,0.356,123.4015
3.0,3.192,MQ,3.192,1.375,0.0,8.547600000000001,0.247,80.386
3.5002575415843395,2.514,MQ,6.704000000000001,1.375,0.0,15.77363814811808,0.171,70.04
4.0,12.8,PBS,5.15895461011433,2.5,0.0,9.576,0.262,93.8
4.0,12.8,PBS,8.598257683523885,2.5,0.0,9.576,0.345,97.7
4.189207115002722,0.0,MQ,7.973017787506802,2.0439290021890306,12.026982212493198,0.0,0.083,89.206
4.4,3.192,MQ,3.192,0.58,0.0,9.576,0.262,102.589
4.4,3.192,MQ,3.192,1.375,0.0,7.542000000000001,0.254,75.772
4.4,3.192,MQ,3.192,1.375,0.0,9.576,0.261,76.973
4.4,3.192,MQ,3.192,1.375,0.0,10.056,0.261,76.545
5.0,1.918327084973226,PBS,1.0310812245632734,2.5,0.0,8.547600000000001,0.375,147.8
5.0,2.877490627459839,PBS,3.093243673689821,2.5,0.0,9.0,0.206,118.8
6.0,12.8,PBS,8.598257683523885,2.5,0.0,7.542000000000001,0.244,108.6
7.0,3.3520000000000003,MQ,3.3520000000000003,0.25,0.0,7.542000000000001,0.317,108.6
7.0,3.3520000000000003,MQ,3.3520000000000003,0.25,0.0,9.576,0.316,108.6
7.0,3.3520000000000003,MQ,3.3520000000000003,0.25,0.0,10.056,0.284,122.904
7.0,3.3520000000000003,MQ,3.3520000000000003,1.37,0.0,10.056,0.243,72.999
7.0,3.3520000000000003,MQ,3.3520000000000003,1.37,0.0,10.056,0.273,68.966
7.0,3.3520000000000003,MQ,3.3520000000000003,1.37,0.0,10.056,0.278,78.159
7.0,3.3520000000000003,MQ,3.3520000000000003,2.5,0.0,9.576,0.334,73.083
8.0,12.79764984945341,PBS,5.15895461011433,2.5,19.509694635740782,0.0,0.175,85.0
8.0,12.79764984945341,PBS,5.15895461011433,2.5,19.509694635740782,0.0,0.19,81.0
8.0,12.79764984945341,PBS,8.598257683523885,2.5,0.0,3.0,0.245,95.0
8.0,12.8,PBS,5.15895461011433,2.5,0.0,8.547600000000001,0.351,81.3
8.0,12.8,PBS,8.598257683523885,2.5,0.0,8.547600000000001,0.337,98.3
50.0,1.0,PBS,1.0,1.0,0.0,9.576,0.339,125.959
