FRR,TFR,AQUEOUS,PEG,CHOL,ESM,HSPC,PDI,SIZE
1.0,1.375,MQ,0.0,10.121,24.779,0.0,0.252,232.108
2.0,0.71,MQ,2.8492,5.363200000000001,0.0,12.570000000000002,0.188,111.287
2.0,2.04,MQ,3.8548,1.3408000000000002,0.0,13.943547534248028,0.221,62.883
2.5,1.0,PBS,5.754981254919678,3.093243673689821,0.0,8.547600000000001,0.236,414.4
3.0,0.25,MQ,0.0,10.121,24.779,0.0,0.071,167.216
3.0,0.25,MQ,0.0,10.121,24.779,0.0,0.132,191.239
3.0,0.25,MQ,3.192,3.192,0.0,7.542000000000001,0.356,351.504
3.0,0.25,MQ,3.192,3.192,0.0,8.547600000000001,0.295,117.567
3.0,0.25,MQ,3.192,3.192,0.0,9.576,0.356,135.609
3.0,0.25,PBS,0.0,10.121,24.779,0.0,0.16,167.216
3.0,1.0,PBS,1.0,1.0,0.0,8.547600000000001,0.238,73.088
3.0,1.375,MQ,0.0,5.0,15.0,0.0,0.07,196.919
3.0,1.375,MQ,0.0,5.0,15.0,0.0,0.072,163.213
3.0,1.375,MQ,0.0,5.0,15.0,0.0,0.091,160.902
3.0,1.375,MQ,0.0,5.0,15.0,0.0,0.099,163.213
3.0,1.375,MQ,0.0,10.0,10.0,0.0,0.089,88.68
3.0,1.375,MQ,0.0,10.121,24.779,0.0,0.095,151.2865
3.0,1.375,MQ,0.0,10.121,24.779,0.0,0.119,171.769
3.0,1.375,MQ,3.192,3.192,0.0,3.657663642768645,0.297,77.339
3.0,1.375,MQ,3.192,3.192,0.0,7.542000000000001,0.233,81.475
3.0,1.375,MQ,3.192,3.192,0.0,10.056,0.223,80.541
3.0,1.375,MQ,3.192,3.192,0.0,10.056,0.297,78.939
3.0,1.375,MQ,3.192,3.192,0.0,11.5644,0.248,83.866
3.0,2.5,MQ,3.192,3.192,0.0,10.056,0.23,68.868
3.0,2.5,PBS,0.0,5.0,15.0,0.0,0.042,157.52
3.0,2.5,PBS,0.0,5.0,15.0,0.0,0.064,147.238
3.0,2.5,PBS,0.0,10.121,24.779,0.0,0.054,155.385
3.0,2.5,PBS,0.0,10.121,24.779,0.0,0.059,137.968
3.5002575415843395,1.375,MQ,2.8492,5.363200000000001,0.0,13.943547534248028,0.202,70.04
4.0,2.5,PBS,12.8,6.878606146819108,0.0,11.5644,0.275,97.7
4.189207115002722,2.0439290021890306,MQ,0.0,7.973017787506802,12.026982212493198,0.0,0.061,89.206
4.4,1.375,MQ,3.192,3.192,0.0,8.547600000000001,0.241,76.545
4.4,1.375,MQ,3.192,3.192,0.0,9.0,0.254,76.545
5.0,1.375,MQ,0.0,5.0,15.0,0.0,0.037,130.699
5.0,1.375,MQ,0.0,10.121,24.779,0.0,0.044,115.891
5.0,1.375,MQ,0.0,10.121,24.779,0.0,0.058,123.43950000000001
5.0,2.5,MQ,0.0,10.121,24.779,0.0,0.055,107.303
5.0,2.5,PBS,2.877490627459839,1.5466218368449105,0.0,10.056,0.206,118.8
7.0,0.25,MQ,3.3520000000000003,3.3520000000000003,0.0,2.612616887691889,0.316,108.6
7.0,0.25,MQ,3.3520000000000003,3.3520000000000003,0.0,8.547600000000001,0.316,122.904
7.0,0.25,MQ,3.3520000000000003,3.3520000000000003,0.0,10.056,0.316,124.162
7.0,0.25,MQ,3.3520000000000003,3.3520000000000003,0.0,15.77363814811808,0.284,124.162
7.0,2.5,MQ,3.3520000000000003,3.3520000000000003,0.0,9.0,0.285,77.533
7.0,2.5,MQ,3.3520000000000003,3.3520000000000003,0.0,20.91532130137204,0.291,74.457
8.0,2.5,PBS,12.8,5.15895461011433,0.0,10.972990928305936,0.235,94.2
23.0,2.04,MQ,3.8548,1.3408000000000002,0.0,2.612616887691889,0.376,79.661
50.0,1.0,PBS,3.0,3.0,0.0,9.576,0.385,102.376
