ML,CHOL,CHIP,PDI,P_PDI
0,0.0,0,0.233,0.06666666666666667
0,0.0,0,0.26,0.06666666666666667
0,0.0,0,0.269,0.06666666666666667
0,0.0,0,0.284,0.06666666666666667
0,0.0,0,0.333,0.06666666666666667
0,0.0,0,0.38,0.06666666666666667
0,0.0,0,0.403,0.06666666666666667
0,0.0,0,0.431,0.06666666666666667
0,0.0,0,0.489,0.06666666666666667
0,0.0,0,0.49,0.06666666666666667
0,0.0,0,0.519,0.06666666666666667
0,0.0,0,0.558,0.06666666666666667
0,0.0,0,0.597,0.06666666666666667
0,0.0,0,0.61,0.06666666666666667
0,0.0,0,0.735,0.06666666666666667
0,1.0,0,0.238,0.25
0,1.0,0,0.327,0.25
0,1.0,0,0.339,0.25
0,1.0,0,0.443,0.25
0,1.0,1,0.35,0.5
0,1.0,1,0.783,0.5
0,1.3408000000000002,0,0.221,0.08333333333333333
0,1.3408000000000002,0,0.262,0.08333333333333333
0,1.3408000000000002,0,0.268,0.08333333333333333
0,1.3408000000000002,0,0.294,0.08333333333333333
0,1.3408000000000002,0,0.327,0.08333333333333333
0,1.3408000000000002,0,0.343,0.08333333333333333
0,1.3408000000000002,0,0.354,0.08333333333333333
0,1.3408000000000002,0,0.355,0.08333333333333333
0,1.3408000000000002,0,0.372,0.08333333333333333
0,1.3408000000000002,0,0.376,0.08333333333333333
0,1.3408000000000002,0,0.402,0.08333333333333333
0,1.3408000000000002,0,0.476,0.08333333333333333
0,3.0,0,0.369,0.2
0,3.0,0,0.385,0.2
0,3.0,0,0.428,0.2
0,3.0,0,0.44,0.2
0,3.0,0,0.531,0.2
0,3.0,1,0.591,1.0
0,3.192,0,0.152,0.023809523809523808
0,3.192,0,0.168,0.023809523809523808
0,3.192,0,0.174,0.023809523809523808
0,3.192,0,0.2,0.047619047619047616
0,3.192,0,0.203,0.023809523809523808
0,3.192,0,0.212,0.023809523809523808
0,3.192,0,0.214,0.023809523809523808
0,3.192,0,0.219,0.023809523809523808
0,3.192,0,0.223,0.023809523809523808
0,3.192,0,0.228,0.023809523809523808
0,3.192,0,0.229,0.023809523809523808
0,3.192,0,0.23,0.023809523809523808
0,3.192,0,0.231,0.023809523809523808
0,3.192,0,0.233,0.023809523809523808
0,3.192,0,0.241,0.023809523809523808
0,3.192,0,0.242,0.023809523809523808
0,3.192,0,0.243,0.023809523809523808
0,3.192,0,0.246,0.023809523809523808
0,3.192,0,0.247,0.023809523809523808
0,3.192,0,0.248,0.023809523809523808
0,3.192,0,0.251,0.047619047619047616
0,3.192,0,0.254,0.023809523809523808
0,3.192,0,0.256,0.023809523809523808
0,3.192,0,0.257,0.023809523809523808
0,3.192,0,0.261,0.023809523809523808
0,3.192,0,0.262,0.047619047619047616
0,3.192,0,0.263,0.023809523809523808
0,3.192,0,0.27,0.023809523809523808
0,3.192,0,0.272,0.023809523809523808
0,3.192,0,0.295,0.023809523809523808
0,3.192,0,0.297,0.023809523809523808
0,3.192,0,0.306,0.023809523809523808
0,3.192,0,0.307,0.023809523809523808
0,3.192,0,0.334,0.047619047619047616
0,3.192,0,0.356,0.023809523809523808
0,3.192,0,0.4,0.023809523809523808
0,3.192,0,0.409,0.023809523809523808
0,3.192,0,0.421,0.023809523809523808
0,3.3520000000000003,0,0.232,0.03571428571428571
0,3.3520000000000003,0,0.234,0.07142857142857142
0,3.3520000000000003,0,0.235,0.03571428571428571
0,3.3520000000000003,0,0.243,0.03571428571428571
0,3.3520000000000003,0,0.246,0.03571428571428571
0,3.3520000000000003,0,0.271,0.03571428571428571
0,3.3520000000000003,0,0.273,0.03571428571428571
0,3.3520000000000003,0,0.276,0.03571428571428571
0,3.3520000000000003,0,0.278,0.03571428571428571
0,3.3520000000000003,0,0.284,0.03571428571428571
0,3.3520000000000003,0,0.285,0.03571428571428571
0,3.3520000000000003,0,0.286,0.03571428571428571
0,3.3520000000000003,0,0.288,0.03571428571428571
0,3.3520000000000003,0,0.291,0.03571428571428571
0,3.3520000000000003,0,0.295,0.03571428571428571
0,3.3520000000000003,0,0.312,0.03571428571428571
0,3.3520000000000003,0,0.316,0.03571428571428571
0,3.3520000000000003,0,0.317,0.03571428571428571
0,3.3520000000000003,0,0.326,0.03571428571428571
0,3.3520000000000003,0,0.327,0.03571428571428571
0,3.3520000000000003,0,0.334,0.03571428571428571
0,3.3520000000000003,0,0.335,0.03571428571428571
0,3.3520000000000003,0,0.361,0.03571428571428571
0,3.3520000000000003,0,0.38,0.03571428571428571
0,3.3520000000000003,0,0.387,0.03571428571428571
0,3.3520000000000003,0,0.39,0.03571428571428571
0,3.3520000000000003,0,0.392,0.03571428571428571
0,3.3520000000000003,1,0.295,0.5
0,3.3520000000000003,1,0.354,0.5
0,5.363200000000001,0,0.126,0.058823529411764705
0,5.363200000000001,0,0.145,0.058823529411764705
0,5.363200000000001,0,0.164,0.11764705882352941
0,5.363200000000001,0,0.18,0.058823529411764705
0,5.363200000000001,0,0.183,0.058823529411764705
0,5.363200000000001,0,0.188,0.058823529411764705
0,5.363200000000001,0,0.202,0.058823529411764705
0,5.363200000000001,0,0.217,0.058823529411764705
0,5.363200000000001,0,0.219,0.058823529411764705
0,5.363200000000001,0,0.242,0.058823529411764705
0,5.363200000000001,0,0.258,0.058823529411764705
0,5.363200000000001,0,0.265,0.058823529411764705
0,5.363200000000001,0,0.268,0.058823529411764705
0,5.363200000000001,0,0.278,0.058823529411764705
0,5.363200000000001,0,0.292,0.058823529411764705
0,5.363200000000001,0,0.309,0.058823529411764705
0,5.363200000000001,1,0.198,1.0
0,6.704000000000001,0,0.13,0.16666666666666666
0,6.704000000000001,0,0.14,0.16666666666666666
0,6.704000000000001,0,0.171,0.16666666666666666
0,6.704000000000001,0,0.196,0.16666666666666666
0,6.704000000000001,0,0.219,0.16666666666666666
0,6.704000000000001,0,0.273,0.16666666666666666
0,6.704000000000001,1,0.282,1.0
1,0.0,0,0.284,0.1111111111111111
1,0.0,0,0.521,0.1111111111111111
1,0.0,0,0.681,0.1111111111111111
1,0.0,0,0.826,0.1111111111111111
1,0.0,0,0.842,0.1111111111111111
1,0.0,0,0.973,0.1111111111111111
1,0.0,0,0.999,0.1111111111111111
1,0.0,0,1.0,0.2222222222222222
1,0.0,1,0.595,0.16666666666666666
1,0.0,1,0.936,0.16666666666666666
1,0.0,1,0.991,0.16666666666666666
1,0.0,1,0.994,0.16666666666666666
1,0.0,1,1.0,0.3333333333333333
1,2.0,0,0.109,0.5
1,2.0,0,0.112,0.5
1,2.0269822124931967,0,0.149,0.1111111111111111
1,2.0269822124931967,0,0.204,0.1111111111111111
1,2.0269822124931967,0,0.236,0.1111111111111111
1,2.0269822124931967,0,0.569,0.1111111111111111
1,2.0269822124931967,0,0.595,0.1111111111111111
1,2.0269822124931967,0,0.832,0.1111111111111111
1,2.0269822124931967,0,0.856,0.1111111111111111
1,2.0269822124931967,0,1.0,0.2222222222222222
1,2.0269822124931967,1,0.643,1.0
1,3.05,0,0.152,0.5
1,3.05,0,0.239,0.5
1,3.05,1,0.205,1.0
1,5.0,0,0.029,0.03125
1,5.0,0,0.034,0.03125
1,5.0,0,0.037,0.03125
1,5.0,0,0.042,0.0625
1,5.0,0,0.048,0.03125
1,5.0,0,0.051,0.03125
1,5.0,0,0.064,0.03125
1,5.0,0,0.065,0.03125
1,5.0,0,0.067,0.03125
1,5.0,0,0.07,0.03125
1,5.0,0,0.072,0.03125
1,5.0,0,0.074,0.03125
1,5.0,0,0.082,0.03125
1,5.0,0,0.086,0.03125
1,5.0,0,0.087,0.03125
1,5.0,0,0.091,0.03125
1,5.0,0,0.099,0.03125
1,5.0,0,0.1,0.03125
1,5.0,0,0.101,0.03125
1,5.0,0,0.114,0.03125
1,5.0,0,0.118,0.03125
1,5.0,0,0.119,0.03125
1,5.0,0,0.132,0.03125
1,5.0,0,0.141,0.03125
1,5.0,0,0.143,0.03125
1,5.0,0,0.16,0.03125
1,5.0,0,0.162,0.03125
1,5.0,0,0.179,0.03125
1,5.0,0,0.213,0.03125
1,5.0,0,0.271,0.03125
1,5.0,0,0.558,0.03125
1,5.0,1,0.269,1.0
1,7.973017787506802,0,0.04,0.09090909090909091
1,7.973017787506802,0,0.051,0.18181818181818182
1,7.973017787506802,0,0.052,0.09090909090909091
1,7.973017787506802,0,0.059,0.18181818181818182
1,7.973017787506802,0,0.061,0.09090909090909091
1,7.973017787506802,0,0.066,0.09090909090909091
1,7.973017787506802,0,0.071,0.09090909090909091
1,7.973017787506802,0,0.08,0.09090909090909091
1,7.973017787506802,0,0.083,0.09090909090909091
1,7.973017787506802,1,0.03,1.0
1,8.0,0,0.029,0.25
1,8.0,0,0.045,0.25
1,8.0,0,0.054,0.25
1,8.0,0,0.066,0.25
1,10.0,0,0.063,0.16666666666666666
1,10.0,0,0.066,0.16666666666666666
1,10.0,0,0.067,0.16666666666666666
1,10.0,0,0.08,0.16666666666666666
1,10.0,0,0.089,0.16666666666666666
1,10.0,0,0.09,0.16666666666666666
1,10.0,1,0.043,1.0
1,10.121,0,0.027,0.025
1,10.121,0,0.044,0.025
1,10.121,0,0.046,0.025
1,10.121,0,0.047,0.025
1,10.121,0,0.05,0.05
1,10.121,0,0.054,0.025
1,10.121,0,0.055,0.025
1,10.121,0,0.056,0.025
1,10.121,0,0.058,0.025
1,10.121,0,0.059,0.025
1,10.121,0,0.061,0.025
1,10.121,0,0.062,0.025
1,10.121,0,0.064,0.025
1,10.121,0,0.065,0.05
1,10.121,0,0.07,0.025
1,10.121,0,0.071,0.05
1,10.121,0,0.08,0.025
1,10.121,0,0.081,0.025
1,10.121,0,0.082,0.025
1,10.121,0,0.085,0.025
1,10.121,0,0.087,0.025
1,10.121,0,0.088,0.025
1,10.121,0,0.091,0.025
1,10.121,0,0.103,0.025
1,10.121,0,0.111,0.025
1,10.121,0,0.121,0.025
1,10.121,0,0.132,0.025
1,10.121,0,0.16,0.025
1,10.121,0,0.195,0.025
1,10.121,0,0.244,0.025
1,10.121,0,0.252,0.025
1,10.121,0,0.26,0.025
1,10.121,0,0.263,0.025
1,10.121,0,0.271,0.025
1,10.121,0,0.274,0.025
1,10.121,0,0.322,0.025
1,10.121,0,0.349,0.025
1,10.121,1,0.095,0.5
1,10.121,1,0.119,0.5
1,20.0,0,0.106,0.25
1,20.0,0,0.128,0.25
1,20.0,0,0.186,0.25
1,20.0,0,0.316,0.25
1,20.0,1,0.145,0.5
1,20.0,1,0.236,0.5
