ML,CHOL,CHIP,PDI,P_PDI
0,3.192,0,0.126,0.008064516129032258
0,3.192,0,0.13,0.008064516129032258
0,3.192,0,0.14,0.008064516129032258
0,3.192,0,0.145,0.008064516129032258
0,3.192,0,0.152,0.008064516129032258
0,3.192,0,0.164,0.016129032258064516
0,3.192,0,0.168,0.008064516129032258
0,3.192,0,0.171,0.008064516129032258
0,3.192,0,0.174,0.008064516129032258
0,3.192,0,0.18,0.008064516129032258
0,3.192,0,0.183,0.008064516129032258
0,3.192,0,0.188,0.008064516129032258
0,3.192,0,0.196,0.008064516129032258
0,3.192,0,0.198,0.008064516129032258
0,3.192,0,0.2,0.016129032258064516
0,3.192,0,0.202,0.008064516129032258
0,3.192,0,0.203,0.008064516129032258
0,3.192,0,0.212,0.008064516129032258
0,3.192,0,0.214,0.008064516129032258
0,3.192,0,0.217,0.008064516129032258
0,3.192,0,0.219,0.024193548387096774
0,3.192,0,0.221,0.008064516129032258
0,3.192,0,0.223,0.008064516129032258
0,3.192,0,0.228,0.008064516129032258
0,3.192,0,0.229,0.008064516129032258
0,3.192,0,0.23,0.008064516129032258
0,3.192,0,0.231,0.008064516129032258
0,3.192,0,0.232,0.008064516129032258
0,3.192,0,0.233,0.016129032258064516
0,3.192,0,0.234,0.016129032258064516
0,3.192,0,0.235,0.008064516129032258
0,3.192,0,0.238,0.008064516129032258
0,3.192,0,0.241,0.008064516129032258
0,3.192,0,0.242,0.016129032258064516
0,3.192,0,0.243,0.016129032258064516
0,3.192,0,0.246,0.016129032258064516
0,3.192,0,0.247,0.008064516129032258
0,3.192,0,0.248,0.008064516129032258
0,3.192,0,0.251,0.016129032258064516
0,3.192,0,0.254,0.008064516129032258
0,3.192,0,0.256,0.008064516129032258
0,3.192,0,0.257,0.008064516129032258
0,3.192,0,0.258,0.008064516129032258
0,3.192,0,0.261,0.008064516129032258
0,3.192,0,0.262,0.024193548387096774
0,3.192,0,0.263,0.008064516129032258
0,3.192,0,0.265,0.008064516129032258
0,3.192,0,0.268,0.016129032258064516
0,3.192,0,0.269,0.008064516129032258
0,3.192,0,0.27,0.008064516129032258
0,3.192,0,0.271,0.008064516129032258
0,3.192,0,0.272,0.008064516129032258
0,3.192,0,0.273,0.016129032258064516
0,3.192,0,0.276,0.008064516129032258
0,3.192,0,0.278,0.016129032258064516
0,3.192,0,0.282,0.008064516129032258
0,3.192,0,0.284,0.016129032258064516
0,3.192,0,0.285,0.008064516129032258
0,3.192,0,0.286,0.008064516129032258
0,3.192,0,0.288,0.008064516129032258
0,3.192,0,0.291,0.008064516129032258
0,3.192,0,0.292,0.008064516129032258
0,3.192,0,0.294,0.008064516129032258
0,3.192,0,0.295,0.024193548387096774
0,3.192,0,0.297,0.008064516129032258
0,3.192,0,0.306,0.008064516129032258
0,3.192,0,0.307,0.008064516129032258
0,3.192,0,0.309,0.008064516129032258
0,3.192,0,0.312,0.008064516129032258
0,3.192,0,0.316,0.008064516129032258
0,3.192,0,0.317,0.008064516129032258
0,3.192,0,0.326,0.008064516129032258
0,3.192,0,0.327,0.024193548387096774
0,3.192,0,0.333,0.008064516129032258
0,3.192,0,0.334,0.024193548387096774
0,3.192,0,0.335,0.008064516129032258
0,3.192,0,0.339,0.008064516129032258
0,3.192,0,0.343,0.008064516129032258
0,3.192,0,0.354,0.016129032258064516
0,3.192,0,0.355,0.008064516129032258
0,3.192,0,0.356,0.008064516129032258
0,3.192,0,0.361,0.008064516129032258
0,3.192,0,0.369,0.008064516129032258
0,3.192,0,0.372,0.008064516129032258
0,3.192,0,0.376,0.008064516129032258
0,3.192,0,0.38,0.016129032258064516
0,3.192,0,0.385,0.008064516129032258
0,3.192,0,0.387,0.008064516129032258
0,3.192,0,0.39,0.008064516129032258
0,3.192,0,0.392,0.008064516129032258
0,3.192,0,0.4,0.008064516129032258
0,3.192,0,0.402,0.008064516129032258
0,3.192,0,0.403,0.008064516129032258
0,3.192,0,0.409,0.008064516129032258
0,3.192,0,0.421,0.008064516129032258
0,3.192,0,0.428,0.008064516129032258
0,3.192,0,0.476,0.008064516129032258
0,3.192,0,0.49,0.008064516129032258
0,3.192,0,0.558,0.008064516129032258
0,3.192,0,0.597,0.008064516129032258
0,3.192,1,0.26,0.08333333333333333
0,3.192,1,0.35,0.08333333333333333
0,3.192,1,0.431,0.08333333333333333
0,3.192,1,0.44,0.08333333333333333
0,3.192,1,0.443,0.08333333333333333
0,3.192,1,0.489,0.08333333333333333
0,3.192,1,0.519,0.08333333333333333
0,3.192,1,0.531,0.08333333333333333
0,3.192,1,0.591,0.08333333333333333
0,3.192,1,0.61,0.08333333333333333
0,3.192,1,0.735,0.08333333333333333
0,3.192,1,0.783,0.08333333333333333
1,3.192,0,0.027,0.00819672131147541
1,3.192,0,0.029,0.01639344262295082
1,3.192,0,0.03,0.00819672131147541
1,3.192,0,0.034,0.00819672131147541
1,3.192,0,0.037,0.00819672131147541
1,3.192,0,0.04,0.00819672131147541
1,3.192,0,0.042,0.01639344262295082
1,3.192,0,0.043,0.00819672131147541
1,3.192,0,0.044,0.00819672131147541
1,3.192,0,0.045,0.00819672131147541
1,3.192,0,0.046,0.00819672131147541
1,3.192,0,0.047,0.00819672131147541
1,3.192,0,0.048,0.00819672131147541
1,3.192,0,0.05,0.01639344262295082
1,3.192,0,0.051,0.02459016393442623
1,3.192,0,0.052,0.00819672131147541
1,3.192,0,0.054,0.01639344262295082
1,3.192,0,0.055,0.00819672131147541
1,3.192,0,0.056,0.00819672131147541
1,3.192,0,0.058,0.00819672131147541
1,3.192,0,0.059,0.02459016393442623
1,3.192,0,0.061,0.01639344262295082
1,3.192,0,0.062,0.00819672131147541
1,3.192,0,0.063,0.00819672131147541
1,3.192,0,0.064,0.01639344262295082
1,3.192,0,0.065,0.02459016393442623
1,3.192,0,0.066,0.02459016393442623
1,3.192,0,0.067,0.00819672131147541
1,3.192,0,0.07,0.01639344262295082
1,3.192,0,0.071,0.02459016393442623
1,3.192,0,0.072,0.00819672131147541
1,3.192,0,0.074,0.00819672131147541
1,3.192,0,0.08,0.02459016393442623
1,3.192,0,0.081,0.00819672131147541
1,3.192,0,0.082,0.01639344262295082
1,3.192,0,0.083,0.00819672131147541
1,3.192,0,0.085,0.00819672131147541
1,3.192,0,0.086,0.00819672131147541
1,3.192,0,0.087,0.01639344262295082
1,3.192,0,0.088,0.00819672131147541
1,3.192,0,0.089,0.00819672131147541
1,3.192,0,0.09,0.00819672131147541
1,3.192,0,0.091,0.01639344262295082
1,3.192,0,0.095,0.00819672131147541
1,3.192,0,0.099,0.00819672131147541
1,3.192,0,0.1,0.00819672131147541
1,3.192,0,0.101,0.00819672131147541
1,3.192,0,0.103,0.00819672131147541
1,3.192,0,0.106,0.00819672131147541
1,3.192,0,0.109,0.00819672131147541
1,3.192,0,0.111,0.00819672131147541
1,3.192,0,0.112,0.00819672131147541
1,3.192,0,0.114,0.00819672131147541
1,3.192,0,0.118,0.00819672131147541
1,3.192,0,0.119,0.01639344262295082
1,3.192,0,0.121,0.00819672131147541
1,3.192,0,0.132,0.01639344262295082
1,3.192,0,0.141,0.00819672131147541
1,3.192,0,0.143,0.00819672131147541
1,3.192,0,0.145,0.00819672131147541
1,3.192,0,0.149,0.00819672131147541
1,3.192,0,0.152,0.00819672131147541
1,3.192,0,0.16,0.01639344262295082
1,3.192,0,0.162,0.00819672131147541
1,3.192,0,0.179,0.00819672131147541
1,3.192,0,0.195,0.00819672131147541
1,3.192,0,0.204,0.00819672131147541
1,3.192,0,0.205,0.00819672131147541
1,3.192,0,0.213,0.00819672131147541
1,3.192,0,0.236,0.01639344262295082
1,3.192,0,0.239,0.00819672131147541
1,3.192,0,0.244,0.00819672131147541
1,3.192,0,0.252,0.00819672131147541
1,3.192,0,0.26,0.00819672131147541
1,3.192,0,0.263,0.00819672131147541
1,3.192,0,0.271,0.01639344262295082
1,3.192,0,0.274,0.00819672131147541
1,3.192,0,0.284,0.00819672131147541
1,3.192,0,0.322,0.00819672131147541
1,3.192,0,0.349,0.00819672131147541
1,3.192,0,0.521,0.00819672131147541
1,3.192,0,0.569,0.00819672131147541
1,3.192,0,0.595,0.00819672131147541
1,3.192,0,0.643,0.00819672131147541
1,3.192,0,0.681,0.00819672131147541
1,3.192,0,0.832,0.00819672131147541
1,3.192,0,0.842,0.00819672131147541
1,3.192,0,0.856,0.00819672131147541
1,3.192,0,0.973,0.00819672131147541
1,3.192,0,1.0,0.04918032786885246
1,3.192,1,0.067,0.08333333333333333
1,3.192,1,0.128,0.08333333333333333
1,3.192,1,0.186,0.08333333333333333
1,3.192,1,0.269,0.08333333333333333
1,3.192,1,0.316,0.08333333333333333
1,3.192,1,0.558,0.08333333333333333
1,3.192,1,0.595,0.08333333333333333
1,3.192,1,0.826,0.08333333333333333
1,3.192,1,0.936,0.08333333333333333
1,3.192,1,0.991,0.08333333333333333
1,3.192,1,0.994,0.08333333333333333
1,3.192,1,0.999,0.08333333333333333
