ML,CHOL,CHIP,PDI,P_PDI
0,0.0,0.0,0.233,0.06666666666666667
0,0.0,0.0,0.26,0.06666666666666667
0,0.0,0.0,0.269,0.06666666666666667
0,0.0,0.0,0.284,0.06666666666666667
0,0.0,0.0,0.333,0.06666666666666667
0,0.0,0.0,0.38,0.06666666666666667
0,0.0,0.0,0.403,0.06666666666666667
0,0.0,0.0,0.431,0.06666666666666667
0,0.0,0.0,0.489,0.06666666666666667
0,0.0,0.0,0.49,0.06666666666666667
0,0.0,0.0,0.519,0.06666666666666667
0,0.0,0.0,0.558,0.06666666666666667
0,0.0,0.0,0.597,0.06666666666666667
0,0.0,0.0,0.61,0.06666666666666667
0,0.0,0.0,0.735,0.06666666666666667
0,1.0,0.0,0.238,0.16666666666666666
0,1.0,0.0,0.327,0.16666666666666666
0,1.0,0.0,0.339,0.16666666666666666
0,1.0,0.0,0.35,0.16666666666666666
0,1.0,0.0,0.443,0.16666666666666666
0,1.0,0.0,0.783,0.16666666666666666
0,1.3408000000000002,0.0,0.221,0.08333333333333333
0,1.3408000000000002,0.0,0.262,0.08333333333333333
0,1.3408000000000002,0.0,0.268,0.08333333333333333
0,1.3408000000000002,0.0,0.294,0.08333333333333333
0,1.3408000000000002,0.0,0.327,0.08333333333333333
0,1.3408000000000002,0.0,0.343,0.08333333333333333
0,1.3408000000000002,0.0,0.354,0.08333333333333333
0,1.3408000000000002,0.0,0.355,0.08333333333333333
0,1.3408000000000002,0.0,0.372,0.08333333333333333
0,1.3408000000000002,0.0,0.376,0.08333333333333333
0,1.3408000000000002,0.0,0.402,0.08333333333333333
0,1.3408000000000002,0.0,0.476,0.08333333333333333
0,3.0,0.0,0.369,0.16666666666666666
0,3.0,0.0,0.385,0.16666666666666666
0,3.0,0.0,0.428,0.16666666666666666
0,3.0,0.0,0.44,0.16666666666666666
0,3.0,0.0,0.531,0.16666666666666666
0,3.0,0.0,0.591,0.16666666666666666
0,3.192,0.0,0.152,0.023809523809523808
0,3.192,0.0,0.168,0.023809523809523808
0,3.192,0.0,0.174,0.023809523809523808
0,3.192,0.0,0.2,0.047619047619047616
0,3.192,0.0,0.203,0.023809523809523808
0,3.192,0.0,0.212,0.023809523809523808
0,3.192,0.0,0.214,0.023809523809523808
0,3.192,0.0,0.219,0.023809523809523808
0,3.192,0.0,0.223,0.023809523809523808
0,3.192,0.0,0.228,0.023809523809523808
0,3.192,0.0,0.229,0.023809523809523808
0,3.192,0.0,0.23,0.023809523809523808
0,3.192,0.0,0.231,0.023809523809523808
0,3.192,0.0,0.233,0.023809523809523808
0,3.192,0.0,0.241,0.023809523809523808
0,3.192,0.0,0.242,0.023809523809523808
0,3.192,0.0,0.243,0.023809523809523808
0,3.192,0.0,0.246,0.023809523809523808
0,3.192,0.0,0.247,0.023809523809523808
0,3.192,0.0,0.248,0.023809523809523808
0,3.192,0.0,0.251,0.047619047619047616
0,3.192,0.0,0.254,0.023809523809523808
0,3.192,0.0,0.256,0.023809523809523808
0,3.192,0.0,0.257,0.023809523809523808
0,3.192,0.0,0.261,0.023809523809523808
0,3.192,0.0,0.262,0.047619047619047616
0,3.192,0.0,0.263,0.023809523809523808
0,3.192,0.0,0.27,0.023809523809523808
0,3.192,0.0,0.272,0.023809523809523808
0,3.192,0.0,0.295,0.023809523809523808
0,3.192,0.0,0.297,0.023809523809523808
0,3.192,0.0,0.306,0.023809523809523808
0,3.192,0.0,0.307,0.023809523809523808
0,3.192,0.0,0.334,0.047619047619047616
0,3.192,0.0,0.356,0.023809523809523808
0,3.192,0.0,0.4,0.023809523809523808
0,3.192,0.0,0.409,0.023809523809523808
0,3.192,0.0,0.421,0.023809523809523808
0,3.3520000000000003,0.0,0.232,0.03333333333333333
