ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,9.576,1.0,1.0,0.25,3.0,MQ,YES,117.567,0.327,0.3546439826488495,116.25952045440674
02SD,HSPC,Micromixer,0.0,9.576,0.0,3.75,1.0,3.0,MQ,YES,124.403,0.403,0.3200625616312027,99.58549024395717
03SD,HSPC,Droplet,0.0,9.576,3.0,3.0,0.25,50.0,MQ,NO,169.247,0.531,0.6664151746034622,462.81881393432616
04SD,HSPC,Micromixer,0.0,9.576,1.0,1.0,1.0,3.0,PBS,YES,73.088,0.238,0.31867643252015115,98.96998775156719
05SD,HSPC,Micromixer,0.0,9.576,0.0,3.75,1.0,50.0,MQ,NO,141.591,0.597,0.6655286306142807,457.3951469421387
06SD,HSPC,Micromixer,0.0,9.576,3.0,3.0,0.25,50.0,PBS,YES,135.642,0.428,0.3570581966638565,111.12367118835449
07SD,HSPC,Droplet,0.0,9.576,3.0,3.0,1.0,3.0,PBS,NO,242.045,0.591,0.666782733798027,469.9817640686035
08SD,HSPC,Droplet,0.0,9.576,1.0,1.0,1.0,50.0,MQ,YES,19.897,0.443,0.3282167895138264,90.23061740875244
09SD,HSPC,Droplet,0.0,9.576,0.0,1.25,1.0,50.0,PBS,NO,593.99,0.61,0.66852414727211,470.456374206543
10SD,HSPC,Micromixer,0.0,9.576,0.0,1.25,0.25,50.0,PBS,YES,138.894,0.49,0.35838323563337326,118.74825164794922
11SD,HSPC,Droplet,0.0,9.576,0.0,3.75,0.25,3.0,PBS,YES,325.634,0.489,0.3617536635696888,119.28277193705242
12SD,HSPC,Droplet,0.0,9.576,0.0,1.25,0.25,3.0,MQ,NO,277.332,0.735,0.6686313313245773,463.4737547302246
13SD,HSPC,Droplet,0.0,9.576,0.0,3.75,1.0,50.0,PBS,YES,52.067,0.26,0.3288984914124012,92.47771968841553
14SD,HSPC,Droplet,0.0,9.576,1.0,1.0,0.25,50.0,PBS,YES,101.454,0.35,0.3597672952711582,113.64421367645264
15SD,HSPC,Micromixer,0.0,9.576,0.0,1.25,1.0,3.0,PBS,YES,77.448,0.233,0.32010627835989,100.21861378651573
16SD,HSPC,Droplet,0.0,9.576,0.0,3.75,0.25,50.0,MQ,YES,177.522,0.431,0.36118102744221686,118.77161624908447
17SD,HSPC,Droplet,0.0,9.576,1.0,1.0,0.25,3.0,PBS,NO,255.405,0.783,0.669064209163189,483.4438621520996
18SD,HSPC,Droplet,0.0,9.576,0.0,1.25,1.0,3.0,MQ,NO,198.619,0.519,0.6685724410414696,464.4941917419434
19SD,HSPC,Micromixer,0.0,9.576,0.0,1.25,0.25,50.0,MQ,YES,131.205,0.38,0.3567566010355949,119.34800239562988
20SD,HSPC,Micromixer,0.0,9.576,0.0,3.75,0.25,3.0,PBS,NO,351.504,0.558,0.6660989141464233,463.9902789306641
21SD,HSPC,Micromixer,0.0,9.576,3.0,3.0,0.25,3.0,MQ,YES,135.609,0.369,0.35273753747344017,113.316117922465
22SD,HSPC,Droplet,0.0,9.576,3.0,3.0,1.0,3.0,MQ,YES,146.776,0.44,0.31572563090672096,96.83286446132446
23SD,HSPC,Micromixer,0.0,9.576,1.0,1.0,1.0,50.0,MQ,YES,125.959,0.339,0.32728088155388835,89.67307837350029
24SD,HSPC,Micromixer,0.0,9.576,3.0,3.0,1.0,50.0,PBS,YES,102.376,0.385,0.32525912910699845,87.99099424997965
01SM,ESM,Micromixer,5.0,9.576,5.0,0.0,0.25,3.0,MQ,YES,116.839,0.082,0.1583984274417162,104.38018103281657
02SM,ESM,Micromixer,20.0,9.576,0.0,0.0,1.0,3.0,MQ,NO,1929.916,0.842,0.8067046284675599,1959.6193029785156
03SM,ESM,Droplet,20.0,9.576,20.0,0.0,0.25,50.0,MQ,YES,133.051,0.186,0.15748936925083398,146.18507179260254
04SM,ESM,Micromixer,5.0,9.576,5.0,0.0,1.0,3.0,PBS,YES,91.433,0.1,0.1299395458657809,96.1710312655312
05SM,ESM,Micromixer,20.0,9.576,0.0,0.0,1.0,50.0,MQ,NO,700.845,0.681,0.8068555653095245,1845.7639221191407
06SM,ESM,Micromixer,20.0,9.576,20.0,0.0,0.25,50.0,PBS,YES,122.961,0.236,0.1574035110324621,145.22609481811523
07SM,ESM,Droplet,20.0,9.576,20.0,0.0,1.0,3.0,PBS,YES,163.558,0.316,0.1200243845030077,159.78640747070312
08SM,ESM,Droplet,5.0,9.576,5.0,0.0,1.0,50.0,MQ,YES,69.723,0.067,0.12316972818225622,85.06603648821515
09SM,ESM,Droplet,5.0,9.576,0.0,0.0,1.0,50.0,PBS,NO,1794.372,0.936,0.7634411573410034,1335.7511361694335
10SM,ESM,Micromixer,5.0,9.576,0.0,0.0,0.25,50.0,PBS,NO,301.615,0.521,0.7548732197284699,1347.4311053466797
11SM,ESM,Droplet,20.0,9.576,0.0,0.0,0.25,3.0,PBS,NO,1242.327,0.826,0.8042413318157196,1943.1346661376954
12SM,ESM,Droplet,5.0,9.576,0.0,0.0,0.25,3.0,MQ,NO,2100.262,0.999,0.755430663228035,1331.0612875366212
13SM,ESM,Droplet,20.0,9.576,0.0,0.0,1.0,50.0,PBS,NO,1787.444,0.994,0.8071906208992005,1820.751819000244
14SM,ESM,Droplet,5.0,9.576,5.0,0.0,0.25,50.0,PBS,YES,133.599,0.269,0.15993790421634912,102.09902481079102
15SM,ESM,Micromixer,5.0,9.576,0.0,0.0,1.0,3.0,PBS,NO,2254.269,1.0,0.7653683429956436,1348.501202545166
16SM,ESM,Droplet,20.0,9.576,0.0,0.0,0.25,50.0,MQ,NO,731.331,0.991,0.8041719371080398,1843.9595056152343
17SM,ESM,Droplet,5.0,9.576,5.0,0.0,0.25,3.0,PBS,NO,571.168,0.558,0.7532554247975349,1346.293565979004
18SM,ESM,Droplet,5.0,9.576,0.0,0.0,1.0,3.0,MQ,NO,554.177,0.595,0.7645078319311142,1327.9965202331543
19SM,ESM,Micromixer,5.0,9.576,0.0,0.0,0.25,50.0,MQ,YES,109.153,0.284,0.17639617171138525,118.78011585235596
20SM,ESM,Micromixer,20.0,9.576,0.0,0.0,0.25,3.0,PBS,NO,6478.919,1.0,0.8041178646683693,1969.290171813965
21SM,ESM,Micromixer,20.0,9.576,20.0,0.0,0.25,3.0,MQ,YES,108.176,0.106,0.159011797234416,171.04890853881835
22SM,ESM,Droplet,20.0,9.576,20.0,0.0,1.0,3.0,MQ,YES,116.98,0.128,0.11970266552710611,159.78640747070312
23SM,ESM,Micromixer,5.0,9.576,5.0,0.0,1.0,50.0,MQ,YES,70.824,0.118,0.12110968753695488,84.77978647549948
24SM,ESM,Micromixer,20.0,9.576,20.0,0.0,1.0,50.0,PBS,YES,85.425,0.145,0.10897877439856529,136.94225372314452
01CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,0.71,2.0,MQ,YES,111.287,0.294,0.36512499779462815,104.34915814981007
02CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,104.721,0.372,0.3666391859948635,97.6752478719439
03CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,2.04,2.0,MQ,YES,77.048,0.221,0.3122444508969784,94.89539062618086
04CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,79.661,0.268,0.32592243552207945,82.8912699492582
05CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,0.71,2.0,MQ,YES,92.827,0.188,0.21313715994358062,95.50225345310268
06CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,0.71,23.0,MQ,YES,83.507,0.278,0.27364644423127177,86.69193589051565
07CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,2.04,2.0,MQ,YES,72.548,0.268,0.20935548976063728,92.45012353834092
08CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,2.04,23.0,MQ,YES,74.122,0.309,0.267794841080904,78.16588917962804
09CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,133.264,0.39,0.3501594811677933,132.59356552124024
10CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,81.069,0.312,0.2848406367003918,79.83822194383055
11CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,108.6,0.284,0.290134459733963,102.42927001953124
12CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,YES,77.533,0.291,0.27527347385883333,77.88338316336852
13CD,HSPC,Micromixer,0.0,9.576,0.0,4.19,1.37,7.0,MQ,YES,86.352,0.269,0.31818981379270556,84.53520543891274
14CD,HSPC,Micromixer,0.0,9.576,6.704000000000001,2.514,1.37,7.0,MQ,YES,68.453,0.282,0.2619435739298077,78.18888697680123
15CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,70.038,0.234,0.27708947136998174,78.11941312642166
16CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,68.102,0.246,0.27708947136998174,78.11941312642166
17CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,69.696,0.243,0.27708947136998174,78.11941312642166
18CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,68.133,0.235,0.27708947136998174,78.11941312642166
19CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,64.529,0.234,0.27708947136998174,78.11941312642166
20CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,68.966,0.232,0.27708947136998174,78.11941312642166
21CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,0.71,2.0,MQ,YES,87.575,0.327,0.36512499779462815,104.34915814981007
22CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,109.953,0.476,0.3666391859948635,97.6752478719439
23CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,2.04,2.0,MQ,YES,86.444,0.343,0.3122444508969784,94.89539062618086
24CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,94.499,0.355,0.32592243552207945,82.8912699492582
25CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,0.71,2.0,MQ,YES,93.444,0.183,0.21313715994358062,95.50225345310268
26CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,0.71,23.0,MQ,YES,85.915,0.258,0.27364644423127177,86.69193589051565
27CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,2.04,2.0,MQ,YES,62.883,0.198,0.20935548976063728,92.45012353834092
28CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,2.04,23.0,MQ,YES,71.617,0.292,0.267794841080904,78.16588917962804
29CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,139.797,0.387,0.3501594811677933,132.59356552124024
30CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,92.98,0.361,0.2848406367003918,79.83822194383055
31CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,124.162,0.316,0.290134459733963,102.42927001953124
32CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,YES,73.083,0.334,0.27527347385883333,77.88338316336852
33CD,HSPC,Micromixer,0.0,9.576,0.0,4.19,1.37,7.0,MQ,YES,96.016,0.284,0.31818981379270556,84.53520543891274
34CD,HSPC,Micromixer,0.0,9.576,6.704000000000001,2.514,1.37,7.0,MQ,YES,67.366,0.273,0.2619435739298077,78.18888697680123
35CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,71.926,0.295,0.27708947136998174,78.11941312642166
36CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,81.85,0.335,0.27708947136998174,78.11941312642166
37CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,78.159,0.326,0.27708947136998174,78.11941312642166
38CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,72.999,0.295,0.27708947136998174,78.11941312642166
39CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,73.901,0.327,0.27708947136998174,78.11941312642166
40CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.205,0.354,0.27708947136998174,78.11941312642166
41CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,0.71,2.0,MQ,YES,130.717,0.402,0.36512499779462815,104.34915814981007
42CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,102.022,0.354,0.3666391859948635,97.6752478719439
43CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,2.04,2.0,MQ,YES,93.195,0.262,0.3122444508969784,94.89539062618086
44CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,93.161,0.376,0.32592243552207945,82.8912699492582
45CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,0.71,2.0,MQ,YES,96.056,0.164,0.21313715994358062,95.50225345310268
46CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,0.71,23.0,MQ,YES,77.87,0.242,0.27364644423127177,86.69193589051565
47CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,2.04,2.0,MQ,YES,67.582,0.145,0.20935548976063728,92.45012353834092
48CD,HSPC,Micromixer,0.0,9.576,5.363200000000001,2.8492,2.04,23.0,MQ,YES,73.816,0.265,0.267794841080904,78.16588917962804
49CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,147.172,0.392,0.3501594811677933,132.59356552124024
50CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,94.633,0.38,0.2848406367003918,79.83822194383055
51CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,122.904,0.317,0.290134459733963,102.42927001953124
52CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,YES,74.457,0.285,0.27527347385883333,77.88338316336852
53CD,HSPC,Micromixer,0.0,9.576,0.0,4.19,1.37,7.0,MQ,YES,85.58,0.333,0.31818981379270556,84.53520543891274
54CD,HSPC,Micromixer,0.0,9.576,6.704000000000001,2.514,1.37,7.0,MQ,YES,67.136,0.219,0.2619435739298077,78.18888697680123
55CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,77.267,0.271,0.27708947136998174,78.11941312642166
56CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.796,0.276,0.27708947136998174,78.11941312642166
57CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.921,0.273,0.27708947136998174,78.11941312642166
58CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,73.733,0.286,0.27708947136998174,78.11941312642166
59CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.425,0.288,0.27708947136998174,78.11941312642166
60CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,77.503,0.278,0.27708947136998174,78.11941312642166
61CD,HSPC,Micromixer,0.0,9.576,6.704000000000001,2.514,1.375,3.5002575415843395,MQ,YES,70.04,0.171,0.24176125306573248,86.13429639816285
