ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.375,3.0,PBS,YES,117.567,0.327,0.3561293749511242,115.17534980773925
02SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.375,3.0,PBS,YES,124.403,0.403,0.3201714196801186,100.42178151702883
03SD,HSPC,Droplet,0.0,9.0,3.0,3.0,1.0,50.0,PBS,NO,169.247,0.531,0.6665940427780152,468.5168151855469
04SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.375,3.0,PBS,YES,73.088,0.238,0.3186213193833828,98.93365421591865
05SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,0.25,50.0,PBS,NO,141.591,0.597,0.6656399255990982,463.1634745788574
06SD,HSPC,Droplet,0.0,9.0,3.0,3.0,1.37,50.0,PBS,YES,135.642,0.428,0.3571316049993038,111.61160385131836
07SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.375,3.0,PBS,NO,242.045,0.591,0.666782733798027,469.9817640686035
08SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,50.0,PBS,YES,19.897,0.443,0.328490873426199,91.06756229400635
09SD,HSPC,Droplet,0.0,3.75,0.0,1.25,0.25,50.0,PBS,NO,593.99,0.61,0.6704785081744195,479.93608337402344
10SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,0.25,50.0,PBS,YES,138.894,0.49,0.35809113398194314,119.03244716644286
11SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,0.25,3.0,PBS,YES,325.634,0.489,0.36503462597727776,119.75855662027996
12SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.5,3.0,PBS,NO,277.332,0.735,0.6707442620396614,478.7858380126953
13SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,0.25,50.0,PBS,YES,52.067,0.26,0.3292080357670784,93.80163822174072
14SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,50.0,PBS,YES,101.454,0.35,0.3592728413641453,113.40108173370362
15SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.375,3.0,PBS,YES,77.448,0.233,0.32018257409334183,100.7370101594925
16SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,50.0,PBS,YES,177.522,0.431,0.36597844228148463,118.65887023925781
17SD,HSPC,Droplet,0.0,3.0,1.0,1.0,2.5,3.0,PBS,NO,255.405,0.783,0.6711967870593071,498.9138703918457
18SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.375,3.0,PBS,NO,198.619,0.519,0.6707497641444207,480.0929573059082
19SD,HSPC,Droplet,0.0,3.75,0.0,1.25,0.25,50.0,PBS,YES,131.205,0.38,0.35809113398194314,119.03244716644286
20SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.375,3.0,PBS,NO,351.504,0.558,0.6660320746898651,463.52914154052735
21SD,HSPC,Droplet,0.0,9.0,3.0,3.0,0.25,3.0,PBS,YES,135.609,0.369,0.3546958205103874,113.33318420410156
22SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.0,3.0,PBS,YES,146.776,0.44,0.3160990966235598,97.00458949063406
23SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,0.25,50.0,PBS,YES,125.959,0.339,0.32746838852763177,90.35488597869873
