ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,3.0,MQ,YES,117.567,0.327,0.3556259223818779,116.06815097808838
02SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.0,3.0,MQ,YES,124.403,0.403,0.31970339953899385,99.30167351055144
03SD,HSPC,Droplet,0.0,9.0,3.0,3.0,0.25,50.0,MQ,NO,169.247,0.531,0.6664151746034622,462.81881393432616
04SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.0,3.0,PBS,YES,73.088,0.238,0.3181186904013157,98.51609257676868
05SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.0,50.0,MQ,NO,141.591,0.597,0.6662449210882186,459.33359497070313
06SD,HSPC,Droplet,0.0,9.0,3.0,3.0,0.25,50.0,PBS,YES,135.642,0.428,0.358597911298275,111.31210494995118
07SD,HSPC,Droplet,0.0,9.0,3.0,3.0,1.0,3.0,PBS,NO,242.045,0.591,0.666782733798027,469.9817640686035
08SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,19.897,0.443,0.32830599054694176,90.23635971069336
09SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,50.0,PBS,NO,593.99,0.61,0.6704785081744195,479.93608337402344
10SD,HSPC,Droplet,0.0,3.75,0.0,1.25,0.25,50.0,PBS,YES,138.894,0.49,0.3594944432377815,118.90638431549073
11SD,HSPC,Droplet,0.0,11.25,0.0,3.75,0.25,3.0,PBS,YES,325.634,0.489,0.36503462597727776,119.75855662027996
12SD,HSPC,Droplet,0.0,3.75,0.0,1.25,0.25,3.0,MQ,NO,277.332,0.735,0.6705323231220245,471.7848719787598
13SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.0,50.0,PBS,YES,52.067,0.26,0.3292080357670784,93.80163822174072
14SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,50.0,PBS,YES,101.454,0.35,0.3592728413641453,113.40108173370362
15SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,3.0,PBS,YES,77.448,0.233,0.31969922661781314,100.08335803031922
16SD,HSPC,Droplet,0.0,11.25,0.0,3.75,0.25,50.0,MQ,YES,177.522,0.431,0.3648088300228119,119.08861793518066
17SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,3.0,PBS,NO,255.405,0.783,0.6711967870593071,498.9138703918457
18SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,3.0,MQ,NO,198.619,0.519,0.6705054926872254,473.40275604248046
19SD,HSPC,Droplet,0.0,3.75,0.0,1.25,0.25,50.0,MQ,YES,131.205,0.38,0.3578631830215454,119.67063789367675
20SD,HSPC,Droplet,0.0,11.25,0.0,3.75,0.25,3.0,PBS,NO,351.504,0.558,0.6668182832002639,465.7167808532715
21SD,HSPC,Droplet,0.0,9.0,3.0,3.0,0.25,3.0,MQ,YES,135.609,0.369,0.3542663896083832,114.00937538146972
22SD,HSPC,Droplet,0.0,9.0,3.0,3.0,1.0,3.0,MQ,YES,146.776,0.44,0.31579782703270515,96.89272804775024
23SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,125.959,0.339,0.32830599054694176,90.23635971069336
24SD,HSPC,Droplet,0.0,9.0,3.0,3.0,1.0,50.0,PBS,YES,102.376,0.385,0.3265235152840614,89.1352438735962
01SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,116.839,0.082,0.13478726282715797,104.45194324493409
02SM,ESM,Droplet,20.0,0.0,0.0,0.0,1.0,3.0,MQ,NO,1929.916,0.842,0.839390218257904,2205.890095825195
03SM,ESM,Droplet,20.0,0.0,20.0,0.0,0.25,50.0,MQ,YES,133.051,0.186,0.13128574073314667,146.18507179260254
04SM,ESM,Droplet,5.0,0.0,5.0,0.0,1.0,3.0,PBS,YES,91.433,0.1,0.10321536637842656,96.23307415057452
05SM,ESM,Droplet,20.0,0.0,0.0,0.0,1.0,50.0,MQ,NO,700.845,0.681,0.8395837312936782,2084.126865234375
06SM,ESM,Droplet,20.0,0.0,20.0,0.0,0.25,50.0,PBS,YES,122.961,0.236,0.13083689905703066,146.2806340789795
07SM,ESM,Droplet,20.0,0.0,20.0,0.0,1.0,3.0,PBS,YES,163.558,0.316,0.09180967405438423,159.78640747070312
08SM,ESM,Droplet,5.0,0.0,5.0,0.0,1.0,50.0,MQ,YES,69.723,0.067,0.08927895206958056,85.03793067614238
09SM,ESM,Droplet,5.0,0.0,0.0,0.0,1.0,50.0,PBS,NO,1794.372,0.936,0.7857448506355286,1571.572621307373
10SM,ESM,Droplet,5.0,0.0,0.0,0.0,0.25,50.0,PBS,NO,301.615,0.521,0.7743755382299423,1574.8232817077637
11SM,ESM,Droplet,20.0,0.0,0.0,0.0,0.25,3.0,PBS,NO,1242.327,0.826,0.8358398354053498,2213.2672729492188
12SM,ESM,Droplet,5.0,0.0,0.0,0.0,0.25,3.0,MQ,NO,2100.262,0.999,0.775774293243885,1567.3145994567872
