ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,8.547600000000001,0.0,0.0,0.25,3.0,MQ,YES,117.567,0.327,0.35449821650981905,119.97799423217774
02SD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.0,3.0,MQ,YES,124.403,0.403,0.3200223070383072,99.811496791113
03SD,HSPC,Droplet,0.0,10.056,0.0,3.8548,0.25,50.0,MQ,NO,169.247,0.531,0.6665179294347763,459.67758743286134
04SD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.0,3.0,PBS,YES,73.088,0.238,0.3198855133354664,99.9593794356452
05SD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.0,50.0,MQ,NO,141.591,0.597,0.6654566496610641,456.8417820739746
06SD,HSPC,Micromixer,0.0,0.0,0.0,0.0,0.25,50.0,PBS,YES,135.642,0.428,0.3583990523219109,118.9909493637085
07SD,HSPC,Droplet,0.0,9.576,0.0,2.514,1.0,3.0,PBS,NO,242.045,0.591,0.6668687921762466,467.10634155273436
08SD,HSPC,Droplet,0.0,10.056,0.0,0.0,1.0,50.0,MQ,YES,19.897,0.443,0.32897656768560407,90.50936351776123
09SD,HSPC,Droplet,0.0,9.576,0.0,3.3520000000000003,1.0,50.0,PBS,NO,593.99,0.61,0.6704785081744195,479.93608337402344
10SD,HSPC,Micromixer,0.0,9.576,0.0,0.0,0.25,50.0,PBS,YES,138.894,0.49,0.35809113398194314,119.03244716644286
11SD,HSPC,Droplet,0.0,9.576,0.0,0.0,0.25,3.0,PBS,YES,325.634,0.489,0.36503462597727776,119.75855662027996
12SD,HSPC,Droplet,0.0,0.0,0.0,0.0,0.25,3.0,MQ,NO,277.332,0.735,0.6705323231220245,471.7848719787598
13SD,HSPC,Droplet,0.0,10.056,0.0,2.8492,1.0,50.0,PBS,YES,52.067,0.26,0.3292080357670784,93.80163822174072
14SD,HSPC,Droplet,0.0,0.0,0.0,2.514,0.25,50.0,PBS,YES,101.454,0.35,0.35950655981898305,118.10940574645996
15SD,HSPC,Micromixer,0.0,0.0,0.0,3.3520000000000003,1.0,3.0,PBS,YES,77.448,0.233,0.32018257409334183,100.7370101594925
16SD,HSPC,Droplet,0.0,0.0,0.0,3.3520000000000003,0.25,50.0,MQ,YES,177.522,0.431,0.3648088300228119,119.08861793518066
17SD,HSPC,Droplet,0.0,9.576,0.0,2.8492,0.25,3.0,PBS,NO,255.405,0.783,0.6710491821169853,496.61713455200197
18SD,HSPC,Droplet,0.0,0.0,0.0,3.192,1.0,3.0,MQ,NO,198.619,0.519,0.6705054926872254,473.40275604248046
19SD,HSPC,Micromixer,0.0,0.0,0.0,3.0,0.25,50.0,MQ,YES,131.205,0.38,0.356508858948946,119.79659809112549
20SD,HSPC,Micromixer,0.0,9.576,0.0,0.0,0.25,3.0,PBS,NO,351.504,0.558,0.6660320746898651,463.52914154052735
21SD,HSPC,Micromixer,0.0,0.0,0.0,3.192,0.25,3.0,MQ,YES,135.609,0.369,0.35468860894441606,120.51178611755371
22SD,HSPC,Droplet,0.0,0.0,0.0,0.0,1.0,3.0,MQ,YES,146.776,0.44,0.31884551510214804,98.98254512641543
23SD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.0,50.0,MQ,YES,125.959,0.339,0.32799707442522047,89.91134819030762
24SD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.0,50.0,PBS,YES,102.376,0.385,0.3275844345986843,90.56150264231364
01SM,ESM,Micromixer,5.0,9.576,0.0,0.0,0.25,3.0,MQ,YES,116.839,0.082,0.13637299947440623,119.82254600524902
02SM,ESM,Micromixer,20.0,9.576,0.0,0.0,1.0,3.0,MQ,NO,1929.916,0.842,0.8393832740187644,2230.562351074219
03SM,ESM,Droplet,20.0,9.576,0.0,3.0,0.25,50.0,MQ,YES,133.051,0.186,0.13167113322764634,145.64517761230468
04SM,ESM,Micromixer,5.0,0.0,0.0,0.0,1.0,3.0,PBS,YES,91.433,0.1,0.13497100170701742,99.69331307335504
05SM,ESM,Micromixer,20.0,0.0,0.0,3.192,1.0,50.0,MQ,NO,700.845,0.681,0.8395419472455978,2097.44646484375
06SM,ESM,Micromixer,20.0,0.0,0.0,0.0,0.25,50.0,PBS,YES,122.961,0.236,0.1319874928891659,144.70444297790527
07SM,ESM,Droplet,20.0,11.25,0.0,0.0,1.0,3.0,PBS,YES,163.558,0.316,0.12987211283296346,158.11663780212402
08SM,ESM,Droplet,5.0,3.75,0.0,3.3520000000000003,1.0,50.0,MQ,YES,69.723,0.067,0.12840077877044678,90.39518123626709
09SM,ESM,Droplet,5.0,9.576,0.0,3.192,1.0,50.0,PBS,NO,1794.372,0.936,0.7857448506355286,1571.572621307373
10SM,ESM,Micromixer,5.0,10.056,0.0,3.8548,0.25,50.0,PBS,NO,301.615,0.521,0.7756084567308426,1585.9504008483887
11SM,ESM,Droplet,20.0,0.0,0.0,0.0,0.25,3.0,PBS,NO,1242.327,0.826,0.8358398354053498,2213.2672729492188
12SM,ESM,Droplet,5.0,9.576,0.0,0.0,0.25,3.0,MQ,NO,2100.262,0.999,0.775774293243885,1567.3145994567872
13SM,ESM,Droplet,20.0,0.0,0.0,0.0,1.0,50.0,PBS,NO,1787.444,0.994,0.8396263378858566,2068.6632653808592
14SM,ESM,Droplet,5.0,9.576,0.0,0.0,0.25,50.0,PBS,YES,133.599,0.269,0.13418923962861298,117.93976142883301
15SM,ESM,Micromixer,5.0,11.25,0.0,3.3520000000000003,1.0,3.0,PBS,NO,2254.269,1.0,0.7881091913580894,1586.114037322998
16SM,ESM,Droplet,20.0,0.0,0.0,2.514,0.25,50.0,MQ,NO,731.331,0.991,0.8358420777320862,2098.137861328125
17SM,ESM,Droplet,5.0,9.576,0.0,0.0,0.25,3.0,PBS,NO,571.168,0.558,0.774339901804924,1577.5900218200684
18SM,ESM,Droplet,5.0,9.576,0.0,2.8492,1.0,3.0,MQ,NO,554.177,0.595,0.7868167012929916,1562.8511094665528
19SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,50.0,MQ,YES,109.153,0.284,0.13444474056363107,118.91851364135742
20SM,ESM,Micromixer,20.0,8.547600000000001,0.0,0.0,0.25,3.0,PBS,NO,6478.919,1.0,0.8360455363988877,2242.7429382324217
21SM,ESM,Micromixer,20.0,0.0,0.0,1.25,0.25,3.0,MQ,YES,108.176,0.106,0.13483398035168648,170.86930458068846
22SM,ESM,Droplet,20.0,0.0,0.0,1.0,1.0,3.0,MQ,YES,116.98,0.128,0.12791663382202387,158.11663780212402
23SM,ESM,Micromixer,5.0,9.576,0.0,3.192,1.0,50.0,MQ,YES,70.824,0.118,0.1286224341392517,89.79498554229737
24SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,50.0,PBS,YES,85.425,0.145,0.12464728809893132,136.4985910797119
01CD,HSPC,Micromixer,0.0,8.547600000000001,0.0,0.0,0.71,2.0,MQ,YES,111.287,0.294,0.37065470933914185,108.95153391520182
02CD,HSPC,Micromixer,0.0,10.056,0.0,0.0,0.71,23.0,MQ,YES,104.721,0.372,0.3733986185491085,104.17013560540337
03CD,HSPC,Micromixer,0.0,11.5644,0.0,3.75,2.04,2.0,MQ,YES,77.048,0.221,0.31262223109602927,95.93315223245638
04CD,HSPC,Micromixer,0.0,10.056,0.0,2.8492,2.04,23.0,MQ,YES,79.661,0.268,0.32695723995566367,84.16378047943115
05CD,HSPC,Micromixer,0.0,9.576,0.0,3.3520000000000003,0.71,2.0,MQ,YES,92.827,0.188,0.3590484722703695,106.68757364908853
06CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,0.71,23.0,MQ,YES,83.507,0.278,0.3601867036521435,100.12023066765923
07CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,2.04,2.0,MQ,YES,72.548,0.268,0.3127949383854866,94.95306072379431
08CD,HSPC,Micromixer,0.0,9.0,0.0,3.192,2.04,23.0,MQ,YES,74.122,0.309,0.3267774622142315,82.33266356157715
09CD,HSPC,Micromixer,0.0,9.576,0.0,2.8492,1.37,1.0,MQ,YES,133.264,0.39,0.3165969240665436,132.5830128479004
10CD,HSPC,Micromixer,0.0,10.056,0.0,3.8548,1.37,50.0,MQ,YES,81.069,0.312,0.3271273662149906,83.72055477142334
11CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,0.25,7.0,MQ,YES,108.6,0.284,0.35443057760596275,118.63857570648193
12CD,HSPC,Micromixer,0.0,11.5644,0.0,3.3520000000000003,2.5,7.0,MQ,YES,77.533,0.291,0.31544486090540885,82.34712343097581
13CD,HSPC,Micromixer,0.0,9.576,0.0,0.0,1.37,7.0,MQ,YES,86.352,0.269,0.31795998245477675,86.01396587371826
14CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,0.0,1.37,7.0,MQ,YES,68.453,0.282,0.3187890800833702,83.34737339281496
15CD,HSPC,Micromixer,0.0,0.0,0.0,3.192,1.37,7.0,MQ,YES,70.038,0.234,0.31825611397624015,83.31660006752651
16CD,HSPC,Micromixer,0.0,9.576,0.0,3.0,1.37,7.0,MQ,YES,68.102,0.246,0.31825611397624015,83.31660006752651
17CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.37,7.0,MQ,YES,69.696,0.243,0.31825611397624015,83.31660006752651
18CD,HSPC,Micromixer,0.0,3.75,0.0,3.3520000000000003,1.37,7.0,MQ,YES,68.133,0.235,0.31825611397624015,83.31660006752651
19CD,HSPC,Micromixer,0.0,11.25,0.0,0.0,1.37,7.0,MQ,YES,64.529,0.234,0.31825611397624015,83.31660006752651
20CD,HSPC,Micromixer,0.0,9.576,0.0,3.3520000000000003,1.37,7.0,MQ,YES,68.966,0.232,0.31825611397624015,83.31660006752651
21CD,HSPC,Micromixer,0.0,0.0,0.0,2.8492,0.71,2.0,MQ,YES,87.575,0.327,0.37065470933914185,108.95153391520182
22CD,HSPC,Micromixer,0.0,11.5644,0.0,1.25,0.71,23.0,MQ,YES,109.953,0.476,0.3733986185491085,104.17013560540337
23CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,2.04,2.0,MQ,YES,86.444,0.343,0.31262223109602927,95.93315223245638
24CD,HSPC,Micromixer,0.0,9.576,0.0,0.0,2.04,23.0,MQ,YES,94.499,0.355,0.32695723995566367,84.16378047943115
25CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,0.71,2.0,MQ,YES,93.444,0.183,0.3590484722703695,106.68757364908853
26CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,0.71,23.0,MQ,YES,85.915,0.258,0.3601867036521435,100.12023066765923
27CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,2.04,2.0,MQ,YES,62.883,0.198,0.3127949383854866,94.95306072379431
28CD,HSPC,Micromixer,0.0,9.576,0.0,0.0,2.04,23.0,MQ,YES,71.617,0.292,0.3267774622142315,82.33266356157715
29CD,HSPC,Micromixer,0.0,9.576,0.0,2.8492,1.37,1.0,MQ,YES,139.797,0.387,0.3165969240665436,132.5830128479004
30CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.37,50.0,MQ,YES,92.98,0.361,0.3271273662149906,83.72055477142334
31CD,HSPC,Micromixer,0.0,7.542000000000001,0.0,3.3520000000000003,0.25,7.0,MQ,YES,124.162,0.316,0.35443057760596275,118.63857570648193
32CD,HSPC,Micromixer,0.0,10.056,0.0,3.192,2.5,7.0,MQ,YES,73.083,0.334,0.31544486090540885,82.34712343097581
33CD,HSPC,Micromixer,0.0,11.5644,0.0,3.192,1.37,7.0,MQ,YES,96.016,0.284,0.31795998245477675,86.01396587371826
34CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.37,7.0,MQ,YES,67.366,0.273,0.3187890800833702,83.34737339281496
35CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.37,7.0,MQ,YES,71.926,0.295,0.31825611397624015,83.31660006752651
36CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.37,7.0,MQ,YES,81.85,0.335,0.31825611397624015,83.31660006752651
37CD,HSPC,Micromixer,0.0,9.576,0.0,0.0,1.37,7.0,MQ,YES,78.159,0.326,0.31825611397624015,83.31660006752651
38CD,HSPC,Micromixer,0.0,8.547600000000001,0.0,0.0,1.37,7.0,MQ,YES,72.999,0.295,0.31825611397624015,83.31660006752651
39CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,1.37,7.0,MQ,YES,73.901,0.327,0.31825611397624015,83.31660006752651
40CD,HSPC,Micromixer,0.0,8.547600000000001,0.0,3.3520000000000003,1.37,7.0,MQ,YES,76.205,0.354,0.31825611397624015,83.31660006752651
41CD,HSPC,Micromixer,0.0,10.056,0.0,3.3520000000000003,0.71,2.0,MQ,YES,130.717,0.402,0.37065470933914185,108.95153391520182
42CD,HSPC,Micromixer,0.0,11.5644,0.0,3.75,0.71,23.0,MQ,YES,102.022,0.354,0.3733986185491085,104.17013560540337
43CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,2.04,2.0,MQ,YES,93.195,0.262,0.31262223109602927,95.93315223245638
44CD,HSPC,Micromixer,0.0,9.576,0.0,3.192,2.04,23.0,MQ,YES,93.161,0.376,0.32695723995566367,84.16378047943115
45CD,HSPC,Micromixer,0.0,9.576,0.0,0.0,0.71,2.0,MQ,YES,96.056,0.164,0.3590484722703695,106.68757364908853
46CD,HSPC,Micromixer,0.0,9.576,0.0,3.192,0.71,23.0,MQ,YES,77.87,0.242,0.3601867036521435,100.12023066765923
47CD,HSPC,Micromixer,0.0,8.547600000000001,0.0,1.0,2.04,2.0,MQ,YES,67.582,0.145,0.3127949383854866,94.95306072379431
48CD,HSPC,Micromixer,0.0,0.0,0.0,0.0,2.04,23.0,MQ,YES,73.816,0.265,0.3267774622142315,82.33266356157715
49CD,HSPC,Micromixer,0.0,10.056,0.0,3.192,1.37,1.0,MQ,YES,147.172,0.392,0.3165969240665436,132.5830128479004
50CD,HSPC,Micromixer,0.0,0.0,0.0,3.8548,1.37,50.0,MQ,YES,94.633,0.38,0.3271273662149906,83.72055477142334
