ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,ESM,Micromixer,0.0,3.0,1.0,1.0,0.25,3.0,MQ,YES,117.567,0.327,0.2641410757228732,116.21151561737061
02SD,ESM,Micromixer,0.0,11.25,0.0,3.75,1.0,3.0,MQ,YES,124.403,0.403,0.2434009861573577,99.75796193822225
03SD,ESM,Droplet,0.0,9.0,3.0,3.0,0.25,50.0,MQ,NO,169.247,0.531,0.7036346927285194,922.2732200622559
04SD,ESM,Micromixer,0.0,3.0,1.0,1.0,1.0,3.0,PBS,YES,73.088,0.238,0.24342830143868924,98.85589326555768
05SD,ESM,Micromixer,0.0,11.25,0.0,3.75,1.0,50.0,MQ,NO,141.591,0.597,0.7072657209634781,924.5521055603027
06SD,ESM,Micromixer,0.0,9.0,3.0,3.0,0.25,50.0,PBS,YES,135.642,0.428,0.26425791047513486,111.24065166473389
07SD,ESM,Droplet,0.0,9.0,3.0,3.0,1.0,3.0,PBS,NO,242.045,0.591,0.7073064944148064,930.1972190856934
08SD,ESM,Droplet,0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,19.897,0.443,0.2462958289310336,90.12265441894532
09SD,ESM,Droplet,0.0,3.75,0.0,1.25,1.0,50.0,PBS,NO,593.99,0.61,0.7098347479104996,936.3379965209961
10SD,ESM,Micromixer,0.0,3.75,0.0,1.25,0.25,50.0,PBS,YES,138.894,0.49,0.26508005369454624,118.86449794769287
11SD,ESM,Droplet,0.0,11.25,0.0,3.75,0.25,3.0,PBS,YES,325.634,0.489,0.2703194360807538,119.75855662027996
12SD,ESM,Droplet,0.0,3.75,0.0,1.25,0.25,3.0,MQ,NO,277.332,0.735,0.7065684720873833,928.8501994323731
13SD,ESM,Droplet,0.0,11.25,0.0,3.75,1.0,50.0,PBS,YES,52.067,0.26,0.2479941526800394,93.74602439880371
14SD,ESM,Droplet,0.0,3.0,1.0,1.0,0.25,50.0,PBS,YES,101.454,0.35,0.26562247786670923,113.23313251495361
15SD,ESM,Micromixer,0.0,3.75,0.0,1.25,1.0,3.0,PBS,YES,77.448,0.233,0.24437900982797145,100.62654081004005
16SD,ESM,Droplet,0.0,11.25,0.0,3.75,0.25,50.0,MQ,YES,177.522,0.431,0.26915467221289874,119.08861793518066
17SD,ESM,Droplet,0.0,3.0,1.0,1.0,0.25,3.0,PBS,NO,255.405,0.783,0.7063651657104493,949.5879270935059
18SD,ESM,Droplet,0.0,3.75,0.0,1.25,1.0,3.0,MQ,NO,198.619,0.519,0.7101793876290321,928.419313659668
19SD,ESM,Micromixer,0.0,3.75,0.0,1.25,0.25,50.0,MQ,YES,131.205,0.38,0.2644118173792958,119.61266292572022
20SD,ESM,Micromixer,0.0,11.25,0.0,3.75,0.25,3.0,PBS,NO,351.504,0.558,0.7032493314146996,935.107488861084
21SD,ESM,Micromixer,0.0,9.0,3.0,3.0,0.25,3.0,MQ,YES,135.609,0.369,0.26285064794123175,113.75191596984864
22SD,ESM,Droplet,0.0,9.0,3.0,3.0,1.0,3.0,MQ,YES,146.776,0.44,0.24051849246025087,96.90024085344676
23SD,ESM,Micromixer,0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,125.959,0.339,0.24609859492629765,89.5894382095337
24SD,ESM,Micromixer,0.0,9.0,3.0,3.0,1.0,50.0,PBS,YES,102.376,0.385,0.24558556888252497,87.908612798055
01SM,ESM,Micromixer,5.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,116.839,0.082,0.13547586515545845,104.4409785715739
02SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,3.0,MQ,NO,1929.916,0.842,0.8393832740187644,2230.562351074219
03SM,ESM,Droplet,20.0,0.0,20.0,0.0,0.25,50.0,MQ,YES,133.051,0.186,0.13128574073314667,146.18507179260254
04SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.0,3.0,PBS,YES,91.433,0.1,0.10347598999738693,96.29872920466693
05SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,50.0,MQ,NO,700.845,0.681,0.8395419472455978,2097.44646484375
06SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.25,50.0,PBS,YES,122.961,0.236,0.13124678701162337,145.22609481811523
07SM,ESM,Droplet,20.0,0.0,20.0,0.0,1.0,3.0,PBS,YES,163.558,0.316,0.09180967405438423,159.78640747070312
08SM,ESM,Droplet,5.0,0.0,5.0,0.0,1.0,50.0,MQ,YES,69.723,0.067,0.08927895206958056,85.03793067614238
09SM,ESM,Droplet,5.0,0.0,0.0,0.0,1.0,50.0,PBS,NO,1794.372,0.936,0.7857448506355286,1571.572621307373
10SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,50.0,PBS,NO,301.615,0.521,0.7756084567308426,1585.9504008483887
11SM,ESM,Droplet,20.0,0.0,0.0,0.0,0.25,3.0,PBS,NO,1242.327,0.826,0.8358398354053498,2213.2672729492188
12SM,ESM,Droplet,5.0,0.0,0.0,0.0,0.25,3.0,MQ,NO,2100.262,0.999,0.775774293243885,1567.3145994567872
13SM,ESM,Droplet,20.0,0.0,0.0,0.0,1.0,50.0,PBS,NO,1787.444,0.994,0.8396263378858566,2068.6632653808592
14SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,50.0,PBS,YES,133.599,0.269,0.13373214077204465,101.83241027832031
15SM,ESM,Micromixer,5.0,0.0,0.0,0.0,1.0,3.0,PBS,NO,2254.269,1.0,0.7881091913580894,1586.114037322998
16SM,ESM,Droplet,20.0,0.0,0.0,0.0,0.25,50.0,MQ,NO,731.331,0.991,0.8358420777320862,2098.137861328125
17SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,3.0,PBS,NO,571.168,0.558,0.7735632079839706,1593.796899871826
18SM,ESM,Droplet,5.0,0.0,0.0,0.0,1.0,3.0,MQ,NO,554.177,0.595,0.7868167012929916,1562.8511094665528
19SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,50.0,MQ,YES,109.153,0.284,0.13444474056363107,118.91851364135742
20SM,ESM,Micromixer,20.0,0.0,0.0,0.0,0.25,3.0,PBS,NO,6478.919,1.0,0.8360455363988877,2242.7429382324217
21SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.25,3.0,MQ,YES,108.176,0.106,0.13663654521107674,171.04890853881835
22SM,ESM,Droplet,20.0,0.0,20.0,0.0,1.0,3.0,MQ,YES,116.98,0.128,0.09148795507848263,159.78640747070312
23SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.0,50.0,MQ,YES,70.824,0.118,0.08678624220192432,84.70359755970185
24SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.0,50.0,PBS,YES,85.425,0.145,0.07228265732526779,136.94225372314452
01CD,ESM,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,MQ,YES,111.287,0.294,0.2742963960021734,106.17135176340739
02CD,ESM,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,104.721,0.372,0.27404308058321475,100.35485364841281
03CD,ESM,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,YES,77.048,0.221,0.23663625463843346,95.62504519513442
04CD,ESM,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,79.661,0.268,0.24275945235043764,83.6633489227295
05CD,ESM,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,YES,92.827,0.188,0.16843328811228275,95.0873065310403
06CD,ESM,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,YES,83.507,0.278,0.1931805946305394,86.02172695954641
07CD,ESM,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,2.0,MQ,YES,72.548,0.268,0.16016855761408805,93.38228374274397
08CD,ESM,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,MQ,YES,74.122,0.309,0.1883986745402217,78.65539378719964
09CD,ESM,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,133.264,0.39,0.2903684211522341,132.34411628723146
10CD,ESM,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,81.069,0.312,0.2239781016111374,80.06146757536641
11CD,ESM,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,108.6,0.284,0.23058256059885024,102.04078834533692
12CD,ESM,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,YES,77.533,0.291,0.2161833429336548,78.33678509063533
