ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.5,3.0,MQ,YES,117.567,0.327,0.3156388531625271,95.11907782170209
02SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,2.5,3.0,MQ,YES,124.403,0.403,0.3161465296149254,95.883374674257
03SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,2.5,50.0,MQ,NO,169.247,0.531,0.66633076608181,541.9044720458984
04SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.5,3.0,PBS,YES,73.088,0.238,0.3158378756046295,95.24254541666623
05SD,HSPC,Droplet,0.0,11.25,0.0,3.75,2.5,50.0,MQ,NO,141.591,0.597,0.6654566496610641,535.4650378417969
06SD,HSPC,Droplet,0.0,9.0,3.0,3.0,2.5,50.0,PBS,YES,135.642,0.428,0.32531831055879595,81.59719105311802
07SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,2.5,3.0,PBS,NO,242.045,0.591,0.666782733798027,548.3035803222656
08SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.5,50.0,MQ,YES,19.897,0.443,0.32815256223082545,83.90541710444859
09SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.5,50.0,PBS,NO,593.99,0.61,0.6706178107857704,558.4266172790527
10SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.5,50.0,PBS,YES,138.894,0.49,0.32799558982253074,83.38648792811802
11SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,2.5,3.0,PBS,YES,325.634,0.489,0.3160613937675953,96.18215313189859
12SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.5,3.0,MQ,NO,277.332,0.735,0.6706556418538093,551.7245722961426
13SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,2.5,50.0,PBS,YES,52.067,0.26,0.3288338354229927,86.1424481201172
14SD,HSPC,Droplet,0.0,3.0,1.0,1.0,2.5,50.0,PBS,YES,101.454,0.35,0.32837425246834756,84.55822292872837
15SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.5,3.0,PBS,YES,77.448,0.233,0.3167803332209587,95.88393193005837
16SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,2.5,50.0,MQ,YES,177.522,0.431,0.32860208362340926,85.46097206115722
17SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.5,3.0,PBS,NO,255.405,0.783,0.67140011459589,577.6007940673828
18SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.5,3.0,MQ,NO,198.619,0.519,0.6706556418538093,551.7245722961426
19SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.5,50.0,MQ,YES,131.205,0.38,0.32786760970950124,82.95111660548619
20SD,HSPC,Droplet,0.0,11.25,0.0,3.75,2.5,3.0,PBS,NO,351.504,0.558,0.6659435802698135,542.3732914733887
21SD,HSPC,Droplet,0.0,9.0,3.0,3.0,2.5,3.0,MQ,YES,135.609,0.369,0.31372140154242517,92.99965463498904
22SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,2.5,3.0,MQ,YES,146.776,0.44,0.3134295320510864,93.17595891622378
23SD,HSPC,Droplet,0.0,3.0,1.0,1.0,2.5,50.0,MQ,YES,125.959,0.339,0.3273105461895466,82.78001377650669
24SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,2.5,50.0,PBS,YES,102.376,0.385,0.32531831055879595,81.59719105311802
01SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.5,3.0,MQ,YES,116.839,0.082,0.08951023641973734,94.48215076305385
02SM,ESM,Micromixer,20.0,0.0,0.0,0.0,2.5,3.0,MQ,NO,1929.916,0.842,0.8393593329191208,2535.4946630859376
03SM,ESM,Micromixer,20.0,0.0,20.0,0.0,2.5,50.0,MQ,YES,133.051,0.186,0.0608837740495801,137.1078140258789
04SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.5,3.0,PBS,YES,91.433,0.1,0.09016509458422661,94.49893312585554
05SM,ESM,Micromixer,20.0,0.0,0.0,0.0,2.5,50.0,MQ,NO,700.845,0.681,0.8396281260251999,2428.8178125
06SM,ESM,Micromixer,20.0,0.0,20.0,0.0,2.5,50.0,PBS,YES,122.961,0.236,0.06115214535966516,136.61064735412597
07SM,ESM,Micromixer,20.0,0.0,20.0,0.0,2.5,3.0,PBS,YES,163.558,0.316,0.07268391758203506,158.37848358154298
08SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.5,50.0,MQ,YES,69.723,0.067,0.08685156444087624,80.91104133605957
09SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.5,50.0,PBS,NO,1794.372,0.936,0.7918936738371849,1938.002689666748
10SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.5,50.0,PBS,NO,301.615,0.521,0.7939792114496231,1947.6432676696777
11SM,ESM,Micromixer,20.0,0.0,0.0,0.0,2.5,3.0,PBS,NO,1242.327,0.826,0.8392254561185837,2517.5043853759767
12SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.5,3.0,MQ,NO,2100.262,0.999,0.7924601054191589,1931.0687724304198
13SM,ESM,Droplet,20.0,0.0,0.0,0.0,2.5,50.0,PBS,NO,1787.444,0.994,0.8394923824071884,2407.555262451172
14SM,ESM,Droplet,5.0,0.0,5.0,0.0,2.5,50.0,PBS,YES,133.599,0.269,0.08754877103492617,80.88314880371094
15SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.5,3.0,PBS,NO,2254.269,1.0,0.7939684668183327,1950.398743133545
16SM,ESM,Micromixer,20.0,0.0,0.0,0.0,2.5,50.0,MQ,NO,731.331,0.991,0.8395598429441452,2418.5746691894533
17SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.5,3.0,PBS,NO,571.168,0.558,0.7915853178501129,1959.6239274597167
18SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.5,3.0,MQ,NO,554.177,0.595,0.7924601054191589,1931.0687724304198
19SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.5,50.0,MQ,YES,109.153,0.284,0.12406527787446976,82.99600212097168
20SM,ESM,Micromixer,20.0,0.0,0.0,0.0,2.5,3.0,PBS,NO,6478.919,1.0,0.8392635142803192,2535.1199658203127
21SM,ESM,Micromixer,20.0,0.0,20.0,0.0,2.5,3.0,MQ,YES,108.176,0.106,0.072208331823349,158.37848358154298
22SM,ESM,Micromixer,20.0,0.0,20.0,0.0,2.5,3.0,MQ,YES,116.98,0.128,0.07218430183827877,158.37848358154298
23SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.5,50.0,MQ,YES,70.824,0.118,0.08378512324765325,80.62537540435791
24SM,ESM,Micromixer,20.0,0.0,20.0,0.0,2.5,50.0,PBS,YES,85.425,0.145,0.06115214535966516,136.61064735412597
01CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.5,2.0,MQ,YES,111.287,0.294,0.3118341721594334,95.37231320411307
02CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.5,23.0,MQ,YES,104.721,0.372,0.3263040865957737,83.6879861831665
03CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.5,2.0,MQ,YES,77.048,0.221,0.3118341721594334,95.37231320411307
04CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.5,23.0,MQ,YES,79.661,0.268,0.3263040865957737,83.6879861831665
05CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.5,2.0,MQ,YES,92.827,0.188,0.20911937192082405,92.31772635247877
06CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.5,23.0,MQ,YES,83.507,0.278,0.26588137313723564,77.93541612484755
07CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.5,2.0,MQ,YES,72.548,0.268,0.20911937192082405,92.31772635247877
