ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.04,3.5002575415843395,MQ,YES,117.567,0.327,0.3542949119210243,116.05334686279296
02SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,3.5002575415843395,MQ,YES,124.403,0.403,0.3200223070383072,96.92978437351047
03SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,0.25,3.5002575415843395,MQ,NO,169.247,0.531,0.6666895896196365,464.03708541870117
04SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,3.5002575415843395,PBS,YES,73.088,0.238,0.3186213193833828,96.16136272218493
05SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,2.5,3.5002575415843395,MQ,NO,141.591,0.597,0.6657461857795716,458.0887390136719
06SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.0,3.5002575415843395,PBS,YES,135.642,0.428,0.35470190525054934,113.16462020874023
07SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,0.25,3.5002575415843395,PBS,NO,242.045,0.591,0.666782733798027,469.9817640686035
08SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.375,3.5002575415843395,MQ,YES,19.897,0.443,0.31789809703826905,95.47601291889615
09SD,HSPC,Droplet,0.0,3.75,0.0,1.25,0.25,3.5002575415843395,PBS,NO,593.99,0.61,0.6707497641444207,480.0929573059082
10SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,0.25,3.5002575415843395,PBS,YES,138.894,0.49,0.3565964536368847,119.71464778900146
11SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.0,3.5002575415843395,PBS,YES,325.634,0.489,0.36503462597727776,119.55039705912273
12SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.37,3.5002575415843395,MQ,NO,277.332,0.735,0.6705323231220245,471.7848719787598
13SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,3.5002575415843395,PBS,YES,52.067,0.26,0.31986377581954,96.98418170579275
14SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,3.5002575415843395,PBS,YES,101.454,0.35,0.35753006175160407,114.60629730224609
15SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,3.5002575415843395,PBS,YES,77.448,0.233,0.32018257409334183,97.66758838176727
16SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.375,3.5002575415843395,MQ,YES,177.522,0.431,0.3633655455708504,119.83714159647624
17SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.0,3.5002575415843395,PBS,NO,255.405,0.783,0.6711967870593071,498.9138703918457
18SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.375,3.5002575415843395,MQ,NO,198.619,0.519,0.6705054926872254,473.40275604248046
