ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,3.0,1.0,2.8492,0.25,3.0,MQ,YES,117.567,0.327,0.3541517771780491,116.6458279800415
02SD,HSPC,Micromixer,0.0,10.056,0.0,2.8492,1.0,3.0,MQ,YES,124.403,0.403,0.3190860445797443,99.54678387251356
03SD,HSPC,Droplet,0.0,0.0,3.0,2.8492,0.25,50.0,MQ,NO,169.247,0.531,0.6664151746034622,462.81881393432616
04SD,HSPC,Micromixer,0.0,0.0,1.0,2.8492,1.0,3.0,PBS,YES,73.088,0.238,0.3182770538330078,99.11457599353793
05SD,HSPC,Micromixer,0.0,11.5644,0.0,2.8492,1.0,50.0,MQ,NO,141.591,0.597,0.665564621090889,457.210691986084
06SD,HSPC,Micromixer,0.0,0.0,3.0,2.8492,0.25,50.0,PBS,YES,135.642,0.428,0.3571316049993038,111.4720741144816
07SD,HSPC,Droplet,0.0,0.0,3.0,2.8492,1.0,3.0,PBS,NO,242.045,0.591,0.666782733798027,469.9817640686035
08SD,HSPC,Droplet,0.0,7.542000000000001,1.0,2.8492,1.0,50.0,MQ,YES,19.897,0.443,0.3278863184154034,90.14182373046874
09SD,HSPC,Droplet,0.0,8.547600000000001,0.0,2.8492,1.0,50.0,PBS,NO,593.99,0.61,0.6685575386881828,475.87499145507815
10SD,HSPC,Micromixer,0.0,9.576,0.0,2.8492,0.25,50.0,PBS,YES,138.894,0.49,0.3581069506704807,118.77360599517823
11SD,HSPC,Droplet,0.0,11.5644,0.0,2.8492,0.25,3.0,PBS,YES,325.634,0.489,0.36133920922875407,119.71952696482342
12SD,HSPC,Droplet,0.0,12.570000000000002,0.0,2.8492,0.25,3.0,MQ,NO,277.332,0.735,0.6686807268857956,469.25518936157226
13SD,HSPC,Droplet,0.0,0.0,0.0,2.8492,1.0,50.0,PBS,YES,52.067,0.26,0.32831417068839075,92.62138019561768
14SD,HSPC,Droplet,0.0,0.0,1.0,2.8492,0.25,50.0,PBS,YES,101.454,0.35,0.3593489097058773,113.88442401885986
15SD,HSPC,Micromixer,0.0,0.0,0.0,2.8492,1.0,3.0,PBS,YES,77.448,0.233,0.3196843312680721,100.47069196542107
16SD,HSPC,Droplet,0.0,8.547600000000001,0.0,2.8492,0.25,50.0,MQ,YES,177.522,0.431,0.3610753555595875,119.30494289398193
17SD,HSPC,Droplet,0.0,0.0,1.0,2.8492,0.25,3.0,PBS,NO,255.405,0.783,0.6690674549341202,486.41576507568357
18SD,HSPC,Droplet,0.0,0.0,0.0,2.8492,1.0,3.0,MQ,NO,198.619,0.519,0.6686094209551812,470.3669662475586
19SD,HSPC,Micromixer,0.0,0.0,0.0,2.8492,0.25,50.0,MQ,YES,131.205,0.38,0.3564589188992977,119.5186061477661
20SD,HSPC,Micromixer,0.0,0.0,0.0,2.8492,0.25,3.0,PBS,NO,351.504,0.558,0.666124621629715,463.9285887145996
21SD,HSPC,Micromixer,0.0,0.0,3.0,2.8492,0.25,3.0,MQ,YES,135.609,0.369,0.35274362221360206,113.82861525217692
22SD,HSPC,Droplet,0.0,0.0,3.0,2.8492,1.0,3.0,MQ,YES,146.776,0.44,0.31579782703270515,96.70580978908325
23SD,HSPC,Micromixer,0.0,3.75,1.0,2.8492,1.0,50.0,MQ,YES,125.959,0.339,0.32693911746144294,89.58027036794027
24SD,HSPC,Micromixer,0.0,3.75,3.0,2.8492,1.0,50.0,PBS,YES,102.376,0.385,0.32539523363113404,87.7896320470174
01SM,ESM,Micromixer,5.0,0.0,5.0,2.8492,0.25,3.0,MQ,YES,116.839,0.082,0.15686707886556783,104.24936552683512
02SM,ESM,Micromixer,20.0,0.0,0.0,2.8492,1.0,3.0,MQ,NO,1929.916,0.842,0.8035955038666726,2027.7530613708495
03SM,ESM,Droplet,20.0,0.0,20.0,2.8492,0.25,50.0,MQ,YES,133.051,0.186,0.15517476476728917,146.18507179260254
04SM,ESM,Micromixer,5.0,11.25,5.0,2.8492,1.0,3.0,PBS,YES,91.433,0.1,0.12837372726529894,96.03320790948933
05SM,ESM,Micromixer,20.0,0.0,0.0,2.8492,1.0,50.0,MQ,NO,700.845,0.681,0.8036584371328354,1911.4282260131836
06SM,ESM,Micromixer,20.0,3.75,20.0,2.8492,0.25,50.0,PBS,YES,122.961,0.236,0.155101261138916,145.22609481811523
07SM,ESM,Droplet,20.0,0.0,20.0,2.8492,1.0,3.0,PBS,YES,163.558,0.316,0.11861548278369329,159.78640747070312
08SM,ESM,Droplet,5.0,8.547600000000001,5.0,2.8492,1.0,50.0,MQ,YES,69.723,0.067,0.12119122486561537,84.83776811135121
09SM,ESM,Droplet,5.0,0.0,0.0,2.8492,1.0,50.0,PBS,NO,1794.372,0.936,0.7609363070130348,1393.3466200256348
10SM,ESM,Micromixer,5.0,8.547600000000001,0.0,2.8492,0.25,50.0,PBS,NO,301.615,0.521,0.7528013333678245,1406.4408731079102
11SM,ESM,Droplet,20.0,0.0,0.0,2.8492,0.25,3.0,PBS,NO,1242.327,0.826,0.8006178224086762,2012.0715631103515
12SM,ESM,Droplet,5.0,0.0,0.0,2.8492,0.25,3.0,MQ,NO,2100.262,0.999,0.752842646241188,1388.2442463684083
13SM,ESM,Droplet,20.0,0.0,0.0,2.8492,1.0,50.0,PBS,NO,1787.444,0.994,0.8034896075725555,1885.367499847412
14SM,ESM,Droplet,5.0,9.576,5.0,2.8492,0.25,50.0,PBS,YES,133.599,0.269,0.1575820932164788,101.71409130096436
15SM,ESM,Micromixer,5.0,0.0,0.0,2.8492,1.0,3.0,PBS,NO,2254.269,1.0,0.7627574056386948,1405.7091595458985
16SM,ESM,Droplet,20.0,10.056,0.0,2.8492,0.25,50.0,MQ,NO,731.331,0.991,0.800657690167427,1911.2308634948731
17SM,ESM,Droplet,5.0,10.056,5.0,2.8492,0.25,3.0,PBS,NO,571.168,0.558,0.7514710667729377,1417.7083409118652
18SM,ESM,Droplet,5.0,10.056,0.0,2.8492,1.0,3.0,MQ,NO,554.177,0.595,0.7616152238845825,1384.5942349243164
19SM,ESM,Micromixer,5.0,0.0,0.0,2.8492,0.25,50.0,MQ,YES,109.153,0.284,0.17430571246892212,119.03560344696045
20SM,ESM,Micromixer,20.0,9.576,0.0,2.8492,0.25,3.0,PBS,NO,6478.919,1.0,0.800893426835537,2039.465908203125
21SM,ESM,Micromixer,20.0,0.0,20.0,2.8492,0.25,3.0,MQ,YES,108.176,0.106,0.15783271163702012,171.04890853881835
22SM,ESM,Droplet,20.0,0.0,20.0,2.8492,1.0,3.0,MQ,YES,116.98,0.128,0.11852937634922883,159.78640747070312
23SM,ESM,Micromixer,5.0,0.0,5.0,2.8492,1.0,50.0,MQ,YES,70.824,0.118,0.11909129545092582,84.51924733469339
24SM,ESM,Micromixer,20.0,0.0,20.0,2.8492,1.0,50.0,PBS,YES,85.425,0.145,0.10621520325541496,136.94225372314452
01CD,HSPC,Micromixer,0.0,0.0,1.3408000000000002,2.8492,0.71,2.0,MQ,YES,111.287,0.294,0.36542452342808246,105.35854690733409
02CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,2.8492,0.71,23.0,MQ,YES,104.721,0.372,0.3677311746776104,99.35214904076715
03CD,HSPC,Micromixer,0.0,0.0,1.3408000000000002,2.8492,2.04,2.0,MQ,YES,77.048,0.221,0.31145923644304274,94.8839542690042
04CD,HSPC,Micromixer,0.0,0.0,1.3408000000000002,2.8492,2.04,23.0,MQ,YES,79.661,0.268,0.32555647686123845,82.74857381162005
05CD,HSPC,Micromixer,0.0,7.542000000000001,5.363200000000001,2.8492,0.71,2.0,MQ,YES,92.827,0.188,0.2129220700263977,94.94294863693
06CD,HSPC,Micromixer,0.0,10.056,5.363200000000001,2.8492,0.71,23.0,MQ,YES,83.507,0.278,0.26918206214904783,86.04019020875296
07CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,2.0,MQ,YES,72.548,0.268,0.2090653008967638,92.4501289258672
08CD,HSPC,Micromixer,0.0,0.0,5.363200000000001,2.8492,2.04,23.0,MQ,YES,74.122,0.309,0.2658942349255085,78.178967104608
09CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,2.8492,1.37,1.0,MQ,YES,133.264,0.39,0.33616858914494513,130.43519134521483
10CD,HSPC,Micromixer,0.0,9.0,3.3520000000000003,2.8492,1.37,50.0,MQ,YES,81.069,0.312,0.2813656222820282,79.85919254395873
11CD,HSPC,Micromixer,0.0,0.0,3.3520000000000003,2.8492,0.25,7.0,MQ,YES,108.6,0.284,0.28479270458221434,103.07460726420084
12CD,HSPC,Micromixer,0.0,0.0,3.3520000000000003,2.8492,2.5,7.0,MQ,YES,77.533,0.291,0.2725969471037388,77.88072330331624
13CD,HSPC,Micromixer,0.0,7.542000000000001,0.0,2.8492,1.37,7.0,MQ,YES,86.352,0.269,0.3178495483100414,84.6765622988637
14CD,HSPC,Micromixer,0.0,9.576,6.704000000000001,2.8492,1.37,7.0,MQ,YES,68.453,0.282,0.25811245188117027,78.19882960209857
15CD,HSPC,Micromixer,0.0,0.0,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,70.038,0.234,0.2744545526583405,78.15724098841946
16CD,HSPC,Micromixer,0.0,0.0,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,68.102,0.246,0.2744545526583405,78.15724098841946
17CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,69.696,0.243,0.2744545526583405,78.15724098841946
18CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,68.133,0.235,0.2744545526583405,78.15724098841946
19CD,HSPC,Micromixer,0.0,11.25,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,64.529,0.234,0.2744545526583405,78.15724098841946
20CD,HSPC,Micromixer,0.0,0.0,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,68.966,0.232,0.2744545526583405,78.15724098841946
21CD,HSPC,Micromixer,0.0,0.0,1.3408000000000002,2.8492,0.71,2.0,MQ,YES,87.575,0.327,0.36542452342808246,105.35854690733409
22CD,HSPC,Micromixer,0.0,3.75,1.3408000000000002,2.8492,0.71,23.0,MQ,YES,109.953,0.476,0.3677311746776104,99.35214904076715
23CD,HSPC,Micromixer,0.0,9.576,1.3408000000000002,2.8492,2.04,2.0,MQ,YES,86.444,0.343,0.31145923644304274,94.8839542690042
24CD,HSPC,Micromixer,0.0,10.056,1.3408000000000002,2.8492,2.04,23.0,MQ,YES,94.499,0.355,0.32555647686123845,82.74857381162005
25CD,HSPC,Micromixer,0.0,0.0,5.363200000000001,2.8492,0.71,2.0,MQ,YES,93.444,0.183,0.2129220700263977,94.94294863693
26CD,HSPC,Micromixer,0.0,0.0,5.363200000000001,2.8492,0.71,23.0,MQ,YES,85.915,0.258,0.26918206214904783,86.04019020875296
27CD,HSPC,Micromixer,0.0,10.056,5.363200000000001,2.8492,2.04,2.0,MQ,YES,62.883,0.198,0.2090653008967638,92.4501289258672
28CD,HSPC,Micromixer,0.0,3.75,5.363200000000001,2.8492,2.04,23.0,MQ,YES,71.617,0.292,0.2658942349255085,78.178967104608
29CD,HSPC,Micromixer,0.0,0.0,3.3520000000000003,2.8492,1.37,1.0,MQ,YES,139.797,0.387,0.33616858914494513,130.43519134521483
30CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,2.8492,1.37,50.0,MQ,YES,92.98,0.361,0.2813656222820282,79.85919254395873
31CD,HSPC,Micromixer,0.0,0.0,3.3520000000000003,2.8492,0.25,7.0,MQ,YES,124.162,0.316,0.28479270458221434,103.07460726420084
32CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,2.8492,2.5,7.0,MQ,YES,73.083,0.334,0.2725969471037388,77.88072330331624
33CD,HSPC,Micromixer,0.0,9.576,0.0,2.8492,1.37,7.0,MQ,YES,96.016,0.284,0.3178495483100414,84.6765622988637
34CD,HSPC,Micromixer,0.0,0.0,6.704000000000001,2.8492,1.37,7.0,MQ,YES,67.366,0.273,0.25811245188117027,78.19882960209857
35CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,71.926,0.295,0.2744545526583405,78.15724098841946
36CD,HSPC,Micromixer,0.0,0.0,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,81.85,0.335,0.2744545526583405,78.15724098841946
37CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,78.159,0.326,0.2744545526583405,78.15724098841946
38CD,HSPC,Micromixer,0.0,0.0,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,72.999,0.295,0.2744545526583405,78.15724098841946
39CD,HSPC,Micromixer,0.0,9.576,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,73.901,0.327,0.2744545526583405,78.15724098841946
40CD,HSPC,Micromixer,0.0,8.547600000000001,3.3520000000000003,2.8492,1.37,7.0,MQ,YES,76.205,0.354,0.2744545526583405,78.15724098841946
