target,feature,adj_set,category,effect_adj (DAG),sensitivity (ML),Permutation Importance (ML),eff_abs,sens,perm,eff_abs_pct,sens_pct,PI_pct,spurious_flag,segno
PDI,AQUEOUS,FRR,indiretta,0.0526252471165638,0.034616023,0.0142901477452237,0.0526252471165638,0.034616023,0.0142901477452237,1.0,0.8571428571428571,0.14285714285714285,False,True
PDI,CHOL,PEG,indiretta,-0.02712410925839,-0.035157364,1.48600201549851,0.02712410925839,0.035157364,1.48600201549851,0.75,1.0,1.0,False,True
PDI,ESM,CHOL,diretta,0.0035085774254512,0.008703893,0.1686535584793066,0.0035085774254512,0.008703893,0.1686535584793066,0.5,0.42857142857142855,0.7142857142857143,False,True
PDI,FRR,,diretta,0.0032597453027117,-0.012593947,0.1350352298163501,0.0032597453027117,0.012593947,0.1350352298163501,0.375,0.5714285714285714,0.5714285714285714,False,False
PDI,HSPC,ESM,non collegata,0.0047349712418225,-0.006543476,0.0180107584975534,0.0047349712418225,0.006543476,0.0180107584975534,0.625,0.2857142857142857,0.2857142857142857,False,False
PDI,PEG,AQUEOUS,diretta,0.0022846732018142,0.027691208,0.5123244984926503,0.0022846732018142,0.027691208,0.5123244984926503,0.25,0.7142857142857143,0.8571428571428571,True,True
PDI,SIZE,,non collegata,0.0001098313515779,,,0.0001098313515779,,,0.125,,,False,False
PDI,TFR,AQUEOUS,diretta,-0.0483026528307076,-0.00592214,0.040181517947184,0.0483026528307076,0.00592214,0.040181517947184,0.875,0.14285714285714285,0.42857142857142855,False,True
SIZE,AQUEOUS,FRR,indiretta,251.91790431501244,44.576935,0.0097018872557017,251.91790431501244,44.576935,0.0097018872557017,0.875,0.8571428571428571,0.2857142857142857,False,True
SIZE,CHOL,AQUEOUS,indiretta,-72.8428409915301,-56.440968,0.657431133100316,72.8428409915301,56.440968,0.657431133100316,0.625,1.0,1.0,False,True
SIZE,ESM,AQUEOUS,diretta,20.937981817036672,14.469381,0.2606280998471504,20.937981817036672,14.469381,0.2606280998471504,0.375,0.42857142857142855,0.8571428571428571,True,True
SIZE,FRR,,diretta,-6.769683757560251,-29.155058,0.059868021031648,6.769683757560251,29.155058,0.059868021031648,0.25,0.5714285714285714,0.42857142857142855,False,True
SIZE,HSPC,ESM,non collegata,-36.16989812610172,-0.7972716,0.0007612174445738,36.16989812610172,0.7972716,0.0007612174445738,0.5,0.14285714285714285,0.14285714285714285,False,True
SIZE,PDI,,non collegata,4255.38118822492,,,4255.38118822492,,,1.0,,,False,False
SIZE,PEG,AQUEOUS,indiretta,-82.39744658595605,-34.825024,0.0685678479503548,82.39744658595605,34.825024,0.0685678479503548,0.75,0.7142857142857143,0.5714285714285714,False,True
SIZE,TFR,AQUEOUS,diretta,-0.7065209713214499,-9.298008,0.0726169858324536,0.7065209713214499,9.298008,0.0726169858324536,0.125,0.2857142857142857,0.7142857142857143,True,True
