Target      | Feature          | DAG_Category | TCE_Value   | Percentuale | Sensitivity| ShuffleDelta| SHAP       | Spurious_Flag 
----------------------------------------------------------------------------------------------------------------------------------
SIZE        | FRR              | direct       | -117.466277 | -1.174663   | 203.194651 | 64.131838   | 96.115311  | False        
SIZE        | AQUEOUS          | indirect     | -505.173743 | -5.051737   | 13.836389  | 5.533929    | 11.878027  | True         
SIZE        | PEG              | indirect     | -594.082958 | -5.940830   | 3.706499   | 10.741455   | 7.233342   | True         
SIZE        | CHOL             | indirect     | 293.591745  | 2.935917    | 1164.643503| 264.207850  | 492.871050 | False        
SIZE        | ESM              | direct       | 738.369125  | 7.383691    | 287.787117 | 147.505514  | 247.156244 | False        
SIZE        | HSPC             | independent  | -407.912322 | -4.079123   | 14.638677  | 8.280399    | 16.151720  | False        
SIZE        | TFR              | direct       | 135.304672  | 1.353047    | 106.110483 | 59.433344   | 80.996957  | False        
SIZE        | SIZE             | target       |             |             |            |             |            | False        
SIZE        | PDI              | independent  | -145.837127 | -1.458371   | 0.000000   | 0.000000    |            | False        
PDI         | FRR              | direct       | 0.000504    | 0.050375    | 203.194651 | 81.063441   | 0.019779   | True         
PDI         | AQUEOUS          | indirect     | -0.112514   | -11.251369  | 13.836389  | 8.177091    | 0.003311   | True         
PDI         | PEG              | direct       | -0.021770   | -2.177047   | 3.706499   | 9.032234    | 0.034840   | True         
PDI         | CHOL             | indirect     | 0.050411    | 5.041053    | 1164.643503| 236.532079  | 0.090153   | True         
PDI         | ESM              | direct       | 0.020890    | 2.089042    | 287.787117 | 137.321395  | 0.033458   | True         
PDI         | HSPC             | independent  | 0.081111    | 8.111052    | 14.638677  | 9.722635    | 0.012698   | False        
PDI         | TFR              | direct       | 0.086610    | 8.660968    | 106.110483 | 62.783523   | 0.013982   | False        
PDI         | SIZE             | independent  | 0.002768    | 0.276846    | 0.000000   | 0.000000    |            | False        
PDI         | PDI              | target       |             |             |            |             |            | False        
