Target       | Feature          | DAG_Category | TCE_Value   | Percentuale 
-------------| -----------------| -------------|             |             
SIZE         |  FRR             |  direct      | -117.466277 | -1.174663   
SIZE         |  AQUEOUS         |  indirect    | -505.173743 | -5.051737   
SIZE         |  PEG             |  indirect    | -594.082958 | -5.940830   
SIZE         |  CHOL            |  indirect    | 293.591745  | 2.935917    
SIZE         |  ESM             |  direct      | 738.369125  | 7.383691    
SIZE         |  HSPC            |  independent | -407.912322 | -4.079123   
SIZE         |  TFR             |  direct      | 135.304672  | 1.353047    
SIZE         |  SIZE            |  target      |             |             
SIZE         |  PDI             |  independent | -145.837127 | -1.458371   
PDI          |  FRR             |  direct      | 0.000504    | 0.050375    
PDI          |  AQUEOUS         |  indirect    | -0.112514   | -11.251369  
PDI          |  PEG             |  direct      | -0.021770   | -2.177047   
PDI          |  CHOL            |  indirect    | 0.050411    | 5.041053    
PDI          |  ESM             |  direct      | 0.020890    | 2.089042    
PDI          |  HSPC            |  independent | 0.081111    | 8.111052    
PDI          |  TFR             |  direct      | 0.086610    | 8.660968    
PDI          |  SIZE            |  independent | 0.002768    | 0.276846    
PDI          |  PDI             |  target      |             |             
