FRR,SIZE,PDI
3.0,117.567,0.327
3.0,124.403,0.403
50.0,169.247,0.531
3.0,73.088,0.238
50.0,141.591,0.597
50.0,135.642,0.428
3.0,242.045,0.591
50.0,19.897,0.443
50.0,593.99,0.61
50.0,138.894,0.49
3.0,325.634,0.489
3.0,277.332,0.735
50.0,52.067,0.26
50.0,101.454,0.35
3.0,77.448,0.233
50.0,177.522,0.431
3.0,255.405,0.783
3.0,198.619,0.519
50.0,131.205,0.38
3.0,351.504,0.558
3.0,135.609,0.369
3.0,146.776,0.44
50.0,125.959,0.339
50.0,102.376,0.385
3.0,116.839,0.082
3.0,1929.916,0.842
50.0,133.051,0.186
3.0,91.433,0.1
50.0,700.845,0.681
50.0,122.961,0.236
3.0,163.558,0.316
50.0,69.723,0.067
50.0,1794.372,0.936
50.0,301.615,0.521
3.0,1242.327,0.826
3.0,2100.262,0.999
50.0,1787.444,0.994
50.0,133.599,0.269
3.0,2254.269,1.0
50.0,731.331,0.991
3.0,571.168,0.558
3.0,554.177,0.595
50.0,109.153,0.284
3.0,6478.919,1.0
3.0,108.176,0.106
3.0,116.98,0.128
50.0,70.824,0.118
50.0,85.425,0.145
2.0,111.287,0.294
23.0,104.721,0.372
2.0,77.048,0.221
23.0,79.661,0.268
2.0,92.827,0.188
23.0,83.507,0.278
2.0,72.548,0.268
23.0,74.122,0.309
1.0,133.264,0.39
50.0,81.069,0.312
7.0,108.6,0.284
7.0,77.533,0.291
7.0,86.352,0.269
7.0,68.453,0.282
7.0,70.038,0.234
7.0,68.102,0.246
7.0,69.696,0.243
7.0,68.133,0.235
7.0,64.529,0.234
7.0,68.966,0.232
2.0,87.575,0.327
23.0,109.953,0.476
2.0,86.444,0.343
23.0,94.499,0.355
2.0,93.444,0.183
23.0,85.915,0.258
2.0,62.883,0.198
23.0,71.617,0.292
1.0,139.797,0.387
50.0,92.98,0.361
7.0,124.162,0.316
7.0,73.083,0.334
7.0,96.016,0.284
7.0,67.366,0.273
7.0,71.926,0.295
7.0,81.85,0.335
7.0,78.159,0.326
7.0,72.999,0.295
7.0,73.901,0.327
7.0,76.205,0.354
2.0,130.717,0.402
23.0,102.022,0.354
2.0,93.195,0.262
23.0,93.161,0.376
2.0,96.056,0.164
23.0,77.87,0.242
2.0,67.582,0.145
23.0,73.816,0.265
1.0,147.172,0.392
50.0,94.633,0.38
7.0,122.904,0.317
7.0,74.457,0.285
7.0,85.58,0.333
7.0,67.136,0.219
7.0,77.267,0.271
7.0,76.796,0.276
7.0,76.921,0.273
7.0,73.733,0.286
7.0,76.425,0.288
7.0,77.503,0.278
3.5002575415843395,70.04,0.171
3.5002575415843395,57.7,0.196
1.0,90.63,0.14
1.0,90.31,0.13
3.5002575415843395,71.77,0.202
3.467368504525317,57.03,0.219
1.0,105.7,0.18
1.0,108.9,0.217
1.0,103.9,0.126
3.467368504525317,119.8,0.164
1.8107928849972788,,0.726
1.8107928849972788,132.463,0.052
1.8107928849972788,4941.821,1.0
1.8107928849972788,118.758,0.04
4.189207115002722,570.792,0.595
4.189207115002722,107.632,0.051
4.189207115002722,194.774,0.204
4.189207115002722,89.206,0.083
3.0,7297.414,1.0
3.0,88.68,0.08
3.0,189.471,0.213
3.0,157.52,0.064
,409.523,0.453
5.0,124.934,0.048
3.0,162.675,0.119
3.0,154.375,0.072
3.0,160.902,0.07
3.0,165.879,0.074
3.0,169.422,0.051
3.0,162.092,0.065
1.8107928849972788,834.01,0.856
1.8107928849972788,124.618,0.03
1.8107928849972788,8973.734,0.832
1.8107928849972788,111.634,0.051
4.189207115002722,622.999,0.643
4.189207115002722,106.201,0.066
4.189207115002722,184.984,0.149
4.189207115002722,84.319,0.059
3.0,4813.381,1.0
3.0,86.863,0.089
3.0,180.646,0.132
3.0,146.835,0.029
,298.881,0.558
5.0,137.567,0.034
3.0,182.155,0.099
3.0,176.58,0.101
3.0,127.517,0.042
3.0,179.011,0.141
3.0,167.896,0.114
3.0,177.175,0.16
1.8107928849972788,,0.74
1.8107928849972788,125.356,0.071
1.8107928849972788,5257.868,1.0
1.8107928849972788,118.454,0.08
4.189207115002722,623.865,0.569
4.189207115002722,107.586,0.059
4.189207115002722,198.087,0.236
4.189207115002722,86.184,0.061
3.0,3062.225,0.973
3.0,85.607,0.066
3.0,190.929,0.271
3.0,147.238,0.042
,543.031,0.573
5.0,130.699,0.037
3.0,196.919,0.179
3.0,168.994,0.087
3.0,181.41,0.143
3.0,163.213,0.091
3.0,175.564,0.162
3.0,162.168,0.086
3.5002575415843395,84.04,0.09
3.5002575415843395,84.46,0.067
1.0,110.4,0.043
1.0,105.3,0.063
3.5002575415843395,98.5,0.054
3.467368504525317,85.85,0.066
1.0,129.1,0.029
1.0,129.3,0.045
1.6,125.56,0.263
1.6,87.316,0.168
4.4,95.927,0.219
4.4,67.343,0.242
3.0,129.236,0.334
3.0,68.868,0.23
1.0,149.89,0.421
4.4,76.973,0.241
3.0,80.278,0.231
3.0,80.541,0.212
3.0,77.848,0.228
3.0,77.339,0.229
3.0,78.537,0.223
1.6,141.851,0.334
1.6,100.593,0.152
4.4,103.514,0.306
4.4,66.039,0.243
3.0,148.899,0.356
3.0,66.672,0.27
1.0,158.663,0.4
4.4,76.545,0.261
3.0,81.475,0.248
3.0,83.866,0.251
3.0,85.223,0.262
3.0,80.004,0.233
3.0,83.696,0.257
1.6,136.684,0.307
1.6,107.924,0.174
4.4,102.589,0.262
4.4,63.026,0.246
3.0,131.852,0.295
3.0,65.3,0.272
1.0,157.64,0.409
4.4,75.772,0.254
3.0,80.386,0.256
3.0,76.14,0.247
3.0,78.939,0.251
3.0,155.532,0.297
3.0,75.29,0.214
1.727,91.341,0.2
1.727,96.467,0.2
1.727,83.115,0.203
1.6,230.059,0.349
1.6,298.002,0.263
4.4,157.882,0.088
4.4,125.303,0.065
3.0,183.962,0.16
3.0,155.385,0.054
1.0,232.108,0.322
5.0,125.924,0.058
3.0,169.717,0.119
3.0,164.343,0.091
3.0,162.206,0.121
3.0,160.342,0.095
3.0,158.912,0.087
1.6,189.764,0.195
1.6,229.416,0.244
4.4,140.386,0.047
4.4,117.314,0.046
3.0,167.216,0.071
3.0,137.968,0.05
1.0,240.863,0.252
5.0,115.891,0.07
3.0,139.586,0.08
3.0,141.538,0.064
3.0,139.883,0.062
3.0,139.657,0.065
3.0,146.755,0.081
1.6,220.699,0.271
1.6,303.927,0.274
4.4,159.526,0.071
4.4,125.978,0.027
3.0,191.239,0.132
3.0,158.28,0.059
1.0,236.083,0.26
5.0,130.988,0.044
3.0,160.969,0.082
3.0,158.593,0.085
3.0,161.035,0.061
3.0,171.769,0.111
3.0,161.298,0.103
5.0,114.922,0.056
5.0,109.23,0.05
5.0,107.303,0.055
3.0,81.0,0.112
10.0,79.0,0.109
7.0,98.0,0.152
4.7,118.0,0.205
3.0,160.0,0.239
