FRR,TFR,SIZE
3.0,0.25,117.567
3.0,1.0,124.403
50.0,0.25,169.247
3.0,1.0,73.088
50.0,1.0,141.591
50.0,0.25,135.642
3.0,1.0,242.045
50.0,1.0,19.897
50.0,1.0,593.99
50.0,0.25,138.894
3.0,0.25,325.634
3.0,0.25,277.332
50.0,1.0,52.067
50.0,0.25,101.454
3.0,1.0,77.448
50.0,0.25,177.522
3.0,0.25,255.405
3.0,1.0,198.619
50.0,0.25,131.205
3.0,0.25,351.504
3.0,0.25,135.609
3.0,1.0,146.776
50.0,1.0,125.959
50.0,1.0,102.376
3.0,0.25,116.839
3.0,1.0,1929.916
50.0,0.25,133.051
3.0,1.0,91.433
50.0,1.0,700.845
50.0,0.25,122.961
3.0,1.0,163.558
50.0,1.0,69.723
50.0,1.0,1794.372
50.0,0.25,301.615
3.0,0.25,1242.327
3.0,0.25,2100.262
50.0,1.0,1787.444
50.0,0.25,133.599
3.0,1.0,2254.269
50.0,0.25,731.331
3.0,0.25,571.168
3.0,1.0,554.177
50.0,0.25,109.153
3.0,0.25,6478.919
3.0,0.25,108.176
3.0,1.0,116.98
50.0,1.0,70.824
50.0,1.0,85.425
2.0,0.71,111.287
23.0,0.71,104.721
2.0,2.04,77.048
23.0,2.04,79.661
2.0,0.71,92.827
23.0,0.71,83.507
2.0,2.04,72.548
23.0,2.04,74.122
1.0,1.37,133.264
50.0,1.37,81.069
7.0,0.25,108.6
7.0,2.5,77.533
7.0,1.37,86.352
7.0,1.37,68.453
7.0,1.37,70.038
7.0,1.37,68.102
7.0,1.37,69.696
7.0,1.37,68.133
7.0,1.37,64.529
7.0,1.37,68.966
2.0,0.71,87.575
23.0,0.71,109.953
2.0,2.04,86.444
23.0,2.04,94.499
2.0,0.71,93.444
23.0,0.71,85.915
2.0,2.04,62.883
23.0,2.04,71.617
1.0,1.37,139.797
50.0,1.37,92.98
7.0,0.25,124.162
7.0,2.5,73.083
7.0,1.37,96.016
7.0,1.37,67.366
7.0,1.37,71.926
7.0,1.37,81.85
7.0,1.37,78.159
7.0,1.37,72.999
7.0,1.37,73.901
7.0,1.37,76.205
2.0,0.71,130.717
23.0,0.71,102.022
2.0,2.04,93.195
23.0,2.04,93.161
2.0,0.71,96.056
23.0,0.71,77.87
2.0,2.04,67.582
23.0,2.04,73.816
1.0,1.37,147.172
50.0,1.37,94.633
7.0,0.25,122.904
7.0,2.5,74.457
7.0,1.37,85.58
7.0,1.37,67.136
7.0,1.37,77.267
7.0,1.37,76.796
7.0,1.37,76.921
7.0,1.37,73.733
7.0,1.37,76.425
7.0,1.37,77.503
3.5002575415843395,1.375,70.04
3.5002575415843395,2.5,57.7
1.0,1.375,90.63
1.0,2.5,90.31
3.5002575415843395,1.375,71.77
3.467368504525317,2.5,57.03
1.0,1.375,105.7
1.0,2.5,108.9
1.0,0.25,103.9
3.467368504525317,0.25,119.8
1.8107928849972788,0.7060709978109694,
1.8107928849972788,0.7060709978109694,132.463
1.8107928849972788,2.0439290021890306,4941.821
1.8107928849972788,2.0439290021890306,118.758
4.189207115002722,0.7060709978109694,570.792
4.189207115002722,0.7060709978109694,107.632
4.189207115002722,2.0439290021890306,194.774
4.189207115002722,2.0439290021890306,89.206
3.0,1.375,7297.414
3.0,1.375,88.68
3.0,0.25,189.471
3.0,2.5,157.52
,1.375,409.523
5.0,1.375,124.934
3.0,1.375,162.675
3.0,1.375,154.375
3.0,1.375,160.902
3.0,1.375,165.879
3.0,1.375,169.422
3.0,1.375,162.092
1.8107928849972788,0.7060709978109694,834.01
1.8107928849972788,0.7060709978109694,124.618
1.8107928849972788,2.0439290021890306,8973.734
1.8107928849972788,2.0439290021890306,111.634
4.189207115002722,0.7060709978109694,622.999
4.189207115002722,0.7060709978109694,106.201
4.189207115002722,2.0439290021890306,184.984
4.189207115002722,2.0439290021890306,84.319
3.0,1.375,4813.381
3.0,1.375,86.863
3.0,0.25,180.646
3.0,2.5,146.835
,1.375,298.881
5.0,1.375,137.567
3.0,1.375,182.155
3.0,1.375,176.58
3.0,1.375,127.517
3.0,1.375,179.011
3.0,1.375,167.896
3.0,1.375,177.175
1.8107928849972788,0.7060709978109694,
1.8107928849972788,0.7060709978109694,125.356
1.8107928849972788,2.0439290021890306,5257.868
1.8107928849972788,2.0439290021890306,118.454
4.189207115002722,0.7060709978109694,623.865
4.189207115002722,0.7060709978109694,107.586
4.189207115002722,2.0439290021890306,198.087
4.189207115002722,2.0439290021890306,86.184
3.0,1.375,3062.225
3.0,1.375,85.607
3.0,0.25,190.929
3.0,2.5,147.238
,1.375,543.031
5.0,1.375,130.699
3.0,1.375,196.919
3.0,1.375,168.994
3.0,1.375,181.41
3.0,1.375,163.213
3.0,1.375,175.564
3.0,1.375,162.168
3.5002575415843395,1.375,84.04
3.5002575415843395,2.5,84.46
1.0,1.375,110.4
1.0,2.5,105.3
3.5002575415843395,1.375,98.5
3.467368504525317,2.5,85.85
1.0,1.375,129.1
1.0,2.5,129.3
1.6,0.58,125.56
1.6,2.17,87.316
4.4,0.58,95.927
4.4,2.17,67.343
3.0,0.25,129.236
3.0,2.5,68.868
1.0,1.375,149.89
4.4,1.375,76.973
3.0,1.375,80.278
3.0,1.375,80.541
3.0,1.375,77.848
3.0,1.375,77.339
3.0,1.375,78.537
1.6,0.58,141.851
1.6,2.17,100.593
4.4,0.58,103.514
4.4,2.17,66.039
3.0,0.25,148.899
3.0,2.5,66.672
1.0,1.375,158.663
4.4,1.375,76.545
3.0,1.375,81.475
3.0,1.375,83.866
3.0,1.375,85.223
3.0,1.375,80.004
3.0,1.375,83.696
1.6,0.58,136.684
1.6,2.17,107.924
4.4,0.58,102.589
4.4,2.17,63.026
3.0,0.25,131.852
3.0,2.5,65.3
1.0,1.375,157.64
4.4,1.375,75.772
3.0,1.375,80.386
3.0,1.375,76.14
3.0,1.375,78.939
3.0,1.375,155.532
3.0,1.375,75.29
1.727,2.17,91.341
1.727,2.17,96.467
1.727,2.17,83.115
1.6,0.58,230.059
1.6,2.17,298.002
4.4,0.58,157.882
4.4,2.17,125.303
3.0,0.25,183.962
3.0,2.5,155.385
1.0,1.375,232.108
5.0,1.375,125.924
3.0,1.375,169.717
3.0,1.375,164.343
3.0,1.375,162.206
3.0,1.375,160.342
3.0,1.375,158.912
1.6,0.58,189.764
1.6,2.17,229.416
4.4,0.58,140.386
4.4,2.17,117.314
3.0,0.25,167.216
3.0,2.5,137.968
1.0,1.375,240.863
5.0,1.375,115.891
3.0,1.375,139.586
3.0,1.375,141.538
3.0,1.375,139.883
3.0,1.375,139.657
3.0,1.375,146.755
1.6,0.58,220.699
1.6,2.17,303.927
4.4,0.58,159.526
4.4,2.17,125.978
3.0,0.25,191.239
3.0,2.5,158.28
1.0,1.375,236.083
5.0,1.375,130.988
