TFR,FRR,PDI
0.25,3.0,0.327
1.0,3.0,0.403
0.25,50.0,0.531
1.0,3.0,0.238
1.0,50.0,0.597
0.25,50.0,0.428
1.0,3.0,0.591
1.0,50.0,0.443
1.0,50.0,0.61
0.25,50.0,0.49
0.25,3.0,0.489
0.25,3.0,0.735
1.0,50.0,0.26
0.25,50.0,0.35
1.0,3.0,0.233
0.25,50.0,0.431
0.25,3.0,0.783
1.0,3.0,0.519
0.25,50.0,0.38
0.25,3.0,0.558
0.25,3.0,0.369
1.0,3.0,0.44
1.0,50.0,0.339
1.0,50.0,0.385
0.25,3.0,0.082
1.0,3.0,0.842
0.25,50.0,0.186
1.0,3.0,0.1
1.0,50.0,0.681
0.25,50.0,0.236
1.0,3.0,0.316
1.0,50.0,0.067
1.0,50.0,0.936
0.25,50.0,0.521
0.25,3.0,0.826
0.25,3.0,0.999
1.0,50.0,0.994
0.25,50.0,0.269
1.0,3.0,1.0
0.25,50.0,0.991
0.25,3.0,0.558
1.0,3.0,0.595
0.25,50.0,0.284
0.25,3.0,1.0
0.25,3.0,0.106
1.0,3.0,0.128
1.0,50.0,0.118
1.0,50.0,0.145
0.71,2.0,0.294
0.71,23.0,0.372
2.04,2.0,0.221
2.04,23.0,0.268
0.71,2.0,0.188
0.71,23.0,0.278
2.04,2.0,0.268
2.04,23.0,0.309
1.37,1.0,0.39
1.37,50.0,0.312
0.25,7.0,0.284
2.5,7.0,0.291
1.37,7.0,0.269
1.37,7.0,0.282
1.37,7.0,0.234
1.37,7.0,0.246
1.37,7.0,0.243
1.37,7.0,0.235
1.37,7.0,0.234
1.37,7.0,0.232
0.71,2.0,0.327
0.71,23.0,0.476
2.04,2.0,0.343
2.04,23.0,0.355
0.71,2.0,0.183
0.71,23.0,0.258
2.04,2.0,0.198
2.04,23.0,0.292
1.37,1.0,0.387
1.37,50.0,0.361
0.25,7.0,0.316
2.5,7.0,0.334
1.37,7.0,0.284
1.37,7.0,0.273
1.37,7.0,0.295
1.37,7.0,0.335
1.37,7.0,0.326
1.37,7.0,0.295
1.37,7.0,0.327
1.37,7.0,0.354
0.71,2.0,0.402
0.71,23.0,0.354
2.04,2.0,0.262
2.04,23.0,0.376
0.71,2.0,0.164
0.71,23.0,0.242
2.04,2.0,0.145
2.04,23.0,0.265
1.37,1.0,0.392
1.37,50.0,0.38
0.25,7.0,0.317
2.5,7.0,0.285
1.37,7.0,0.333
1.37,7.0,0.219
1.37,7.0,0.271
1.37,7.0,0.276
1.37,7.0,0.273
1.37,7.0,0.286
1.37,7.0,0.288
1.37,7.0,0.278
1.375,3.5002575415843395,0.171
2.5,3.5002575415843395,0.196
1.375,1.0,0.14
2.5,1.0,0.13
1.375,3.5002575415843395,0.202
2.5,3.467368504525317,0.219
1.375,1.0,0.18
2.5,1.0,0.217
0.25,1.0,0.126
0.25,3.467368504525317,0.164
0.7060709978109694,1.8107928849972788,0.726
0.7060709978109694,1.8107928849972788,0.052
2.0439290021890306,1.8107928849972788,1.0
2.0439290021890306,1.8107928849972788,0.04
0.7060709978109694,4.189207115002722,0.595
0.7060709978109694,4.189207115002722,0.051
2.0439290021890306,4.189207115002722,0.204
2.0439290021890306,4.189207115002722,0.083
1.375,3.0,1.0
1.375,3.0,0.08
0.25,3.0,0.213
2.5,3.0,0.064
1.375,,0.453
1.375,5.0,0.048
1.375,3.0,0.119
1.375,3.0,0.072
1.375,3.0,0.07
1.375,3.0,0.074
1.375,3.0,0.051
1.375,3.0,0.065
0.7060709978109694,1.8107928849972788,0.856
0.7060709978109694,1.8107928849972788,0.03
2.0439290021890306,1.8107928849972788,0.832
2.0439290021890306,1.8107928849972788,0.051
0.7060709978109694,4.189207115002722,0.643
0.7060709978109694,4.189207115002722,0.066
2.0439290021890306,4.189207115002722,0.149
2.0439290021890306,4.189207115002722,0.059
1.375,3.0,1.0
1.375,3.0,0.089
0.25,3.0,0.132
2.5,3.0,0.029
1.375,,0.558
1.375,5.0,0.034
1.375,3.0,0.099
1.375,3.0,0.101
1.375,3.0,0.042
1.375,3.0,0.141
1.375,3.0,0.114
1.375,3.0,0.16
0.7060709978109694,1.8107928849972788,0.74
0.7060709978109694,1.8107928849972788,0.071
2.0439290021890306,1.8107928849972788,1.0
2.0439290021890306,1.8107928849972788,0.08
0.7060709978109694,4.189207115002722,0.569
0.7060709978109694,4.189207115002722,0.059
2.0439290021890306,4.189207115002722,0.236
2.0439290021890306,4.189207115002722,0.061
1.375,3.0,0.973
1.375,3.0,0.066
0.25,3.0,0.271
2.5,3.0,0.042
1.375,,0.573
1.375,5.0,0.037
1.375,3.0,0.179
1.375,3.0,0.087
1.375,3.0,0.143
1.375,3.0,0.091
1.375,3.0,0.162
1.375,3.0,0.086
1.375,3.5002575415843395,0.09
2.5,3.5002575415843395,0.067
1.375,1.0,0.043
2.5,1.0,0.063
1.375,3.5002575415843395,0.054
2.5,3.467368504525317,0.066
1.375,1.0,0.029
2.5,1.0,0.045
0.58,1.6,0.263
2.17,1.6,0.168
0.58,4.4,0.219
2.17,4.4,0.242
0.25,3.0,0.334
2.5,3.0,0.23
1.375,1.0,0.421
1.375,4.4,0.241
1.375,3.0,0.231
1.375,3.0,0.212
1.375,3.0,0.228
1.375,3.0,0.229
1.375,3.0,0.223
0.58,1.6,0.334
2.17,1.6,0.152
0.58,4.4,0.306
2.17,4.4,0.243
0.25,3.0,0.356
2.5,3.0,0.27
1.375,1.0,0.4
1.375,4.4,0.261
1.375,3.0,0.248
1.375,3.0,0.251
1.375,3.0,0.262
1.375,3.0,0.233
1.375,3.0,0.257
0.58,1.6,0.307
2.17,1.6,0.174
0.58,4.4,0.262
2.17,4.4,0.246
0.25,3.0,0.295
2.5,3.0,0.272
1.375,1.0,0.409
1.375,4.4,0.254
1.375,3.0,0.256
1.375,3.0,0.247
1.375,3.0,0.251
1.375,3.0,0.297
