ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
0.0,3.0,1.0,1.0,0.25,3.0,MQ,YES,117.567,0.327
0.0,11.25,0.0,3.75,1.0,3.0,MQ,YES,124.403,0.403
0.0,9.0,3.0,3.0,0.25,50.0,MQ,NO,169.247,0.531
0.0,3.0,1.0,1.0,1.0,3.0,PBS,YES,73.088,0.238
0.0,11.25,0.0,3.75,1.0,50.0,MQ,NO,141.591,0.597
0.0,9.0,3.0,3.0,0.25,50.0,PBS,YES,135.642,0.428
0.0,9.0,3.0,3.0,1.0,3.0,PBS,NO,242.045,0.591
0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,19.897,0.443
0.0,3.75,0.0,1.25,1.0,50.0,PBS,NO,593.99,0.61
0.0,3.75,0.0,1.25,0.25,50.0,PBS,YES,138.894,0.49
0.0,11.25,0.0,3.75,0.25,3.0,PBS,YES,325.634,0.489
0.0,3.75,0.0,1.25,0.25,3.0,MQ,NO,277.332,0.735
0.0,11.25,0.0,3.75,1.0,50.0,PBS,YES,52.067,0.26
0.0,3.0,1.0,1.0,0.25,50.0,PBS,YES,101.454,0.35
0.0,3.75,0.0,1.25,1.0,3.0,PBS,YES,77.448,0.233
0.0,11.25,0.0,3.75,0.25,50.0,MQ,YES,177.522,0.431
0.0,3.0,1.0,1.0,0.25,3.0,PBS,NO,255.405,0.783
0.0,3.75,0.0,1.25,1.0,3.0,MQ,NO,198.619,0.519
0.0,3.75,0.0,1.25,0.25,50.0,MQ,YES,131.205,0.38
0.0,11.25,0.0,3.75,0.25,3.0,PBS,NO,351.504,0.558
0.0,9.0,3.0,3.0,0.25,3.0,MQ,YES,135.609,0.369
0.0,9.0,3.0,3.0,1.0,3.0,MQ,YES,146.776,0.44
0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,125.959,0.339
0.0,9.0,3.0,3.0,1.0,50.0,PBS,YES,102.376,0.385
5.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,116.839,0.082
20.0,0.0,0.0,0.0,1.0,3.0,MQ,NO,1929.916,0.842
20.0,0.0,20.0,0.0,0.25,50.0,MQ,YES,133.051,0.186
5.0,0.0,5.0,0.0,1.0,3.0,PBS,YES,91.433,0.1
20.0,0.0,0.0,0.0,1.0,50.0,MQ,NO,700.845,0.681
