ML,CHIP,ESM,HSPC,CHOL,PEG,AQUEOUS,TFR,FRR,SIZE,PDI
HSPC,Micromixer,0.0,3.0,1.0,1.0,MQ,0.25,3.0,117.567,0.327
HSPC,Micromixer,0.0,11.25,0.0,3.75,MQ,1.0,3.0,124.403,0.403
HSPC,Droplet,0.0,9.0,3.0,3.0,MQ,0.25,50.0,169.247,0.531
HSPC,Micromixer,0.0,3.0,1.0,1.0,PBS,1.0,3.0,73.088,0.238
HSPC,Micromixer,0.0,11.25,0.0,3.75,MQ,1.0,50.0,141.591,0.597
HSPC,Micromixer,0.0,9.0,3.0,3.0,PBS,0.25,50.0,135.642,0.428
HSPC,Droplet,0.0,9.0,3.0,3.0,PBS,1.0,3.0,242.045,0.591
HSPC,Droplet,0.0,3.0,1.0,1.0,MQ,1.0,50.0,19.897,0.443
HSPC,Droplet,0.0,3.75,0.0,1.25,PBS,1.0,50.0,593.99,0.61
HSPC,Micromixer,0.0,3.75,0.0,1.25,PBS,0.25,50.0,138.894,0.49
HSPC,Droplet,0.0,11.25,0.0,3.75,PBS,0.25,3.0,325.634,0.489
HSPC,Droplet,0.0,3.75,0.0,1.25,MQ,0.25,3.0,277.332,0.735
HSPC,Droplet,0.0,11.25,0.0,3.75,PBS,1.0,50.0,52.067,0.26
HSPC,Droplet,0.0,3.0,1.0,1.0,PBS,0.25,50.0,101.454,0.35
HSPC,Micromixer,0.0,3.75,0.0,1.25,PBS,1.0,3.0,77.448,0.233
HSPC,Droplet,0.0,11.25,0.0,3.75,MQ,0.25,50.0,177.522,0.431
HSPC,Droplet,0.0,3.0,1.0,1.0,PBS,0.25,3.0,255.405,0.783
HSPC,Droplet,0.0,3.75,0.0,1.25,MQ,1.0,3.0,198.619,0.519
HSPC,Micromixer,0.0,3.75,0.0,1.25,MQ,0.25,50.0,131.205,0.38
HSPC,Micromixer,0.0,11.25,0.0,3.75,PBS,0.25,3.0,351.504,0.558
HSPC,Micromixer,0.0,9.0,3.0,3.0,MQ,0.25,3.0,135.609,0.369
HSPC,Droplet,0.0,9.0,3.0,3.0,MQ,1.0,3.0,146.776,0.44
HSPC,Micromixer,0.0,3.0,1.0,1.0,MQ,1.0,50.0,125.959,0.339
HSPC,Micromixer,0.0,9.0,3.0,3.0,PBS,1.0,50.0,102.376,0.385
ESM,Micromixer,5.0,0.0,5.0,0.0,MQ,0.25,3.0,116.839,0.082
ESM,Micromixer,20.0,0.0,0.0,0.0,MQ,1.0,3.0,1929.916,0.842
ESM,Droplet,20.0,0.0,20.0,0.0,MQ,0.25,50.0,133.051,0.186
ESM,Micromixer,5.0,0.0,5.0,0.0,PBS,1.0,3.0,91.433,0.1
