Experiment SizeDay1 SizeMonth5 SizeVariancePercentage PDIDay1 PDIMonth5 PDIVariancepercentage 
Surface-response1 55.89 71.8 28.5 0.13 0.129 0.77 
Surface-response2 48.25 62.63 29.8 0.123 0.131 6.50 
Surface-response3 52.47 61.99 18.1 0.141 0.147 4.26 
Surface-response4 53.37 62.97 18.0 0.147 0.129 12.24 
Surface-response5 45.23 49.84 10.2 0.119 0.126 5.88 
Surface-response6 51.45 58.61 13.9 0.137 0.137 0.00 
Surface-response7 45.52 49.21 8.1 0.14 0.101 27.86 
Surface-response8 47.11 54.1 14.8 0.139 0.156 12.23 
Surface-response9 51.1 56.14 9.9 0.125 0.125 0.00 
Surface-response10 45.23 47.14 4.2 0.161 0.187 16.15 
Surface-response11 50.8 56.38 11.0 0.123 0.129 4.88 
Surface-response12 47.96 51.05 6.4 0.156 0.161 3.21 
Surface-response13 50.42 62.9 24.8 0.125 0.143 14.40 
Surface-response14 48.09 50.11 4.2 0.143 0.138 3.50 
Surface-response15 50.15 57.16 14.0 0.166 0.193 16.27 
Surface-response16 48.6 54.11 11.3 0.102 0.117 14.71 
Surface-response17 45.74 48.63 6.3 0.147 0.126 14.29 
Surface-response18 48.24 51.24 6.2 0.112 0.121 8.04 
Surface-response19 48.96 54.82 12.0 0.118 0.122 3.39 
Surface-response20 48.58 54.56 12.3 0.131 0.126 3.82 
Surface-response21 48.58 51.5 6.0 0.135 0.152 12.59 
Surface-response22 50.28 51.99 3.4 0.13 0.129 0.77 
Surface-response23 45.37 46.96 3.5 0.104 0.127 22.12 
Surface-response24 47.14 47.87 1.5 0.146 0.123 15.75 
Surface-response25 49.54 51.77 4.5 0.16 0.163 1.88
