ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,SIZE,PDI
0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,124.162,0.316
0.0,9.576,3.192,3.192,0.25,3.0,MQ,129.236,0.334
0.0,9.576,3.192,3.192,1.375,3.0,MQ,80.004,0.233
24.779,0.0,10.121,0.0,0.58,4.4,MQ,157.882,0.088
15.0,0.0,5.0,0.0,1.375,3.0,MQ,127.517,0.042
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,83.507,0.278
24.779,0.0,10.121,0.0,1.375,3.0,MQ,158.912,0.087
0.0,9.576,3.192,3.192,0.58,4.4,MQ,102.589,0.262
12.0,0.0,8.0,0.0,1.375,3.5002575415843395,MQ,98.5,0.054
24.779,0.0,10.121,0.0,2.5,5.0,MQ,107.303,0.055
24.779,0.0,10.121,0.0,2.17,1.6,MQ,303.927,0.274
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,132.463,0.052
24.779,0.0,10.121,0.0,1.375,3.0,MQ,160.342,0.095
0.0,13.943547534248028,8.598257683523885,12.8,2.5,4.0,PBS,97.7,0.262
0.0,9.576,3.192,3.192,0.25,3.0,MQ,131.852,0.295
24.779,0.0,10.121,0.0,1.375,3.0,MQ,139.883,0.062
15.0,0.0,5.0,0.0,0.25,3.0,MQ,190.929,0.271
0.0,9.576,3.192,3.192,1.375,3.0,MQ,83.696,0.257
0.0,9.576,3.192,3.192,0.58,4.4,MQ,102.589,0.262
0.0,9.576,3.192,3.192,1.375,3.0,MQ,155.532,0.297
0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,MQ,130.717,0.402
24.779,0.0,10.121,0.0,0.58,4.4,MQ,157.882,0.088
24.779,0.0,10.121,0.0,1.375,5.0,MQ,130.988,0.044
24.779,0.0,10.121,0.0,1.375,3.0,MQ,160.342,0.095
15.0,0.0,5.0,0.0,1.375,5.0,MQ,130.699,0.037
15.0,0.0,5.0,0.0,1.375,3.0,MQ,169.422,0.051
0.0,15.77363814811808,7.695440626753877,12.79764984945341,2.5,8.0,PBS,94.2,0.245
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,64.529,0.234
24.779,0.0,10.121,0.0,1.375,3.0,MQ,161.298,0.103
24.779,0.0,10.121,0.0,0.58,1.6,MQ,189.764,0.195
0.0,9.576,3.192,3.192,2.17,1.6,MQ,107.924,0.174
0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,93.195,0.262
0.0,2.612616887691889,1.0310812245632734,1.918327084973226,1.0,5.0,PBS,74.3,0.191
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,64.529,0.234
24.779,0.0,10.121,0.0,1.375,3.0,MQ,139.657,0.065
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,76.205,0.354
0.0,9.576,3.192,3.192,1.375,3.0,MQ,83.866,0.251
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,72.999,0.295
0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,108.6,0.284
24.779,0.0,10.121,0.0,0.25,3.0,MQ,167.216,0.071
24.779,0.0,10.121,0.0,2.5,5.0,MQ,109.23,0.05
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,83.507,0.278
0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,108.6,0.284
24.779,0.0,10.121,0.0,0.58,1.6,MQ,220.699,0.271
0.0,8.547600000000001,5.363200000000001,2.8492,2.5,1.0,MQ,108.9,0.217
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,132.463,0.052
0.0,9.576,3.192,3.192,1.375,3.0,MQ,78.537,0.223
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,64.529,0.234
0.0,11.756775994613504,1.5466218368449105,2.877490627459839,2.5,5.0,PBS,147.8,0.206
0.0,9.576,3.192,3.192,1.375,3.0,MQ,83.696,0.257
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,76.921,0.273
0.0,9.576,3.192,3.192,2.5,3.0,MQ,66.672,0.27
24.779,0.0,10.121,0.0,1.375,3.0,MQ,139.657,0.065
0.0,9.576,3.192,3.192,1.375,4.4,MQ,76.545,0.261
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,81.85,0.335
0.0,9.576,3.192,3.192,2.17,4.4,MQ,63.026,0.246
24.779,0.0,10.121,0.0,1.375,1.0,MQ,232.108,0.322
0.0,9.576,3.192,3.192,0.58,1.6,MQ,141.851,0.334
24.779,0.0,10.121,0.0,2.17,4.4,MQ,117.314,0.046
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,147.172,0.392
0.0,9.576,3.192,3.192,0.58,4.4,MQ,95.927,0.219
0.0,9.576,3.192,3.192,1.375,1.0,MQ,157.64,0.409
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,92.98,0.361
0.0,9.576,3.192,3.192,1.375,3.0,MQ,80.541,0.212
0.0,9.576,3.192,3.192,2.17,1.727,MQ,91.341,0.2
0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,MQ,74.122,0.309
0.0,9.576,3.192,3.192,1.375,4.4,MQ,76.973,0.241
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,139.797,0.387
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,76.205,0.354
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,570.792,0.595
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,68.102,0.246
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,93.444,0.183
15.0,0.0,5.0,0.0,1.375,3.0,MQ,181.41,0.143
0.0,8.547600000000001,5.363200000000001,2.8492,2.04,2.0,MQ,72.548,0.268
0.0,9.0,3.0,3.0,1.0,50.0,PBS,102.376,0.385
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,81.069,0.312
0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,122.904,0.317
24.779,0.0,10.121,0.0,1.375,3.0,MQ,164.343,0.091
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,73.901,0.327
24.779,0.0,10.121,0.0,1.375,1.0,MQ,232.108,0.322
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,76.425,0.288
0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,86.444,0.343
0.0,9.576,3.192,3.192,1.375,4.4,MQ,76.545,0.261
24.779,0.0,10.121,0.0,0.25,3.0,MQ,167.216,0.071
24.779,0.0,10.121,0.0,2.5,5.0,MQ,109.23,0.05
0.0,17.429434417810032,6.878606146819108,12.8,2.5,6.0,PBS,89.3,0.244
24.779,0.0,10.121,0.0,1.375,3.0,MQ,169.717,0.119
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,64.529,0.234
0.0,8.547600000000001,5.363200000000001,2.8492,1.375,1.0,MQ,105.7,0.18
24.779,0.0,10.121,0.0,2.5,5.0,MQ,109.23,0.05
0.0,11.756775994613504,1.5466218368449105,2.877490627459839,2.5,5.0,PBS,147.8,0.206
0.0,9.576,3.192,3.192,2.17,4.4,MQ,66.039,0.243
0.0,7.542000000000001,6.704000000000001,2.514,1.375,1.0,MQ,90.63,0.14
24.779,0.0,10.121,0.0,0.58,1.6,MQ,189.764,0.195
0.0,9.576,3.192,3.192,1.375,3.0,MQ,83.696,0.257
0.0,9.576,3.192,3.192,1.375,3.0,MQ,81.475,0.248
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,94.633,0.38
0.0,9.576,3.192,3.192,1.375,4.4,MQ,75.772,0.254
0.0,9.576,3.192,3.192,2.17,1.6,MQ,100.593,0.152
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,147.172,0.392
24.779,0.0,10.121,0.0,0.58,4.4,MQ,157.882,0.088
0.0,9.576,3.192,3.192,0.25,3.0,MQ,131.852,0.295
0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,74.457,0.285
0.0,9.576,3.192,3.192,1.375,3.0,MQ,77.339,0.229
24.779,0.0,10.121,0.0,0.58,1.6,MQ,189.764,0.195
0.0,9.576,3.192,3.192,0.58,1.6,MQ,125.56,0.263
0.0,9.576,3.192,3.192,2.17,4.4,MQ,66.039,0.243
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,85.915,0.258
0.0,9.576,3.192,3.192,0.58,1.6,MQ,125.56,0.263
24.779,0.0,10.121,0.0,0.58,4.4,MQ,157.882,0.088
0.0,9.576,3.192,3.192,1.375,1.0,MQ,149.89,0.421
24.779,0.0,10.121,0.0,2.5,5.0,MQ,109.23,0.05
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,73.901,0.327
0.0,9.576,3.192,3.192,1.375,4.4,MQ,75.772,0.254
0.0,9.576,3.192,3.192,2.5,3.0,MQ,65.3,0.272
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,118.454,0.08
0.0,9.576,3.192,3.192,0.25,3.0,MQ,129.236,0.334
0.0,9.576,3.192,3.192,0.58,1.6,MQ,136.684,0.307
0.0,9.576,3.192,3.192,0.25,3.0,MQ,129.236,0.334
24.779,0.0,10.121,0.0,1.375,3.0,MQ,161.035,0.061
24.779,0.0,10.121,0.0,2.17,4.4,MQ,125.978,0.027
0.0,9.576,3.192,3.192,1.375,3.0,MQ,83.866,0.251
0.0,9.576,3.192,3.192,1.375,3.0,MQ,78.939,0.251
24.779,0.0,10.121,0.0,1.375,1.0,MQ,240.863,0.252
0.0,9.576,3.192,3.192,1.375,3.0,MQ,80.386,0.256
0.0,10.972990928305936,1.5466218368449105,5.754981254919678,1.0,2.5,PBS,138.8,0.236
15.0,0.0,5.0,0.0,2.5,3.0,MQ,157.52,0.064
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,68.966,0.232
0.0,9.576,3.192,3.192,0.58,4.4,MQ,95.927,0.219
15.0,0.0,5.0,0.0,1.375,3.0,MQ,160.902,0.07
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,184.984,0.149
0.0,13.943547534248028,8.598257683523885,12.8,2.5,8.0,PBS,92.9,0.248
0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,67.366,0.273
0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,93.161,0.376
15.0,0.0,5.0,0.0,1.375,3.0,MQ,182.155,0.099
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,89.206,0.083
15.0,0.0,5.0,0.0,1.375,3.0,MQ,169.422,0.051
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,72.999,0.295
0.0,9.576,3.192,3.192,1.375,3.0,MQ,83.866,0.251
0.0,17.429434417810032,6.878606146819108,12.8,2.5,6.0,PBS,89.3,0.244
0.0,9.576,3.192,3.192,0.58,1.6,MQ,136.684,0.307
0.0,9.576,3.192,3.192,1.375,3.0,MQ,83.696,0.257
24.779,0.0,10.121,0.0,2.17,4.4,MQ,125.978,0.027
0.0,9.576,3.192,3.192,1.375,3.0,MQ,78.939,0.251
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,184.984,0.149
0.0,9.576,3.192,3.192,1.375,3.0,MQ,83.696,0.257
24.779,0.0,10.121,0.0,1.375,3.0,MQ,164.343,0.091
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,76.205,0.354
0.0,9.576,3.192,3.192,0.58,1.6,MQ,136.684,0.307
0.0,9.576,3.192,3.192,1.375,4.4,MQ,76.973,0.241
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,73.901,0.327
0.0,9.576,3.192,3.192,0.58,1.6,MQ,136.684,0.307
