ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
TTS1,ESM,Telos,24.92834,0.0,10.0495,0.0,17.5,5.0,MQ,YES,111.0,0.055
TTS2,ESM,Telos,24.92834,0.0,10.0495,0.0,52.5,5.0,MQ,YES,94.0,0.017
TTD0,HSPC,Telos,0.0,9.58,3.2238,3.16,15.19,1.7,PBS,YES,112.038,0.233
TTD01,HSPC,Telos,0.0,9.58,3.2238,3.16,15.19,1.7,PBS,YES,100.914,0.242
TTD1,HSPC,Telos,0.0,9.58,3.2238,3.16,17.5,1.727,PBS,YES,120.0,0.415
TTD2,HSPC,Telos,0.0,9.58,3.2238,3.16,35.0,1.727,PBS,YES,93.0,0.145
TTD3,HSPC,Telos,0.0,9.58,3.2238,3.16,35.0,1.727,PBS,YES,90.0,0.142
TTD6,HSPC,Telos,0.0,9.58,3.28,3.2,35.0,1.727,PBS,YES,109.0,0.231
1,ESM,Micromixer,24.92834,0.0,10.0495,0.0,2.5,5.0,MQ,YES,110.485,0.0536666666666666
2,HSPC,Micromixer,0.0,9.58,3.2238,3.16,2.17,1.7,PBS,YES,90.30766666666666,0.2009999999999999
TTS1,ESM,Telos,24.93675361835069,0.0,9.88202453538167,0.00892471928192869,17.967530655847522,4.998722962427539,MQ,YES,111.1565329714134,0.058607044557013536
TTS2,ESM,Telos,24.509178598602094,0.0,10.15376737414763,0.013841521734422189,51.77828673488062,5.029999989238988,MQ,YES,93.33683248390805,0.013073441198461292
TTD0,HSPC,Telos,0.0,9.375925126155431,3.1986732439457923,3.0197735209349927,14.540365456116032,1.6328486741920119,PBS,YES,112.81107234641935,0.2293675109566161
TTD01,HSPC,Telos,0.0,9.646902133964653,3.340249062946085,3.19795028256485,15.813531343141593,1.6691879062236874,PBS,YES,100.8084012529935,0.24765663090032441
TTD1,HSPC,Telos,0.0,9.785179641496251,3.444178394573084,3.2608529217497657,17.94697333354447,1.7988048240254608,PBS,YES,119.85270162510768,0.4156966957989661
TTD2,HSPC,Telos,0.0,9.70724656431793,3.487230204004189,3.3170899228485995,35.971291871339076,1.6601759193047776,PBS,YES,93.51260817212112,0.1431077594424765
TTD3,HSPC,Telos,0.0,9.441474567560046,3.057347156812273,3.2427739397789463,34.50004461356219,1.7052516454287239,PBS,YES,89.74620474073485,0.14220173669353114
TTD6,HSPC,Telos,0.0,8.924659680863812,3.2889978137005693,3.280271644549168,35.63701163535249,1.7377307462836402,PBS,YES,108.88948625893624,0.23223373142876122
1,ESM,Micromixer,24.820235381435435,0.0,9.995575226496454,0.0,3.092326389743013,5.013035420981554,MQ,YES,111.4129481732489,0.06267651863863524
2,HSPC,Micromixer,0.0,9.520464805948276,2.919509451794321,3.1997372879086923,1.9482364134044312,1.672222103617852,PBS,YES,91.07742708445885,0.20644152440329105
