2025-07-11 08:27:26,586 - 
| Combinazione                                          | Archi                                                               | Nodi                          |   Score Medio |
|-------------------------------------------------------|---------------------------------------------------------------------|-------------------------------|---------------|
| ('DAG1', 'DAG2')                                      | [('TFR', 'FRR'), ('FRR', 'SIZE'), ('SIZE', 'PDI')]                  | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.717799 |
| ('DAG1', 'DAG2.1')                                    | [('FRR', 'SIZE'), ('FRR', 'TFR'), ('TFR', 'SIZE'), ('SIZE', 'PDI')] | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.723058 |
| ('DAG1', 'DAG2.2')                                    | [('FRR', 'SIZE'), ('FRR', 'TFR'), ('SIZE', 'PDI')]                  | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.717799 |
| ('DAG1', 'DAG3')                                      | [('FRR', 'PDI'), ('TFR', 'FRR'), ('FRR', 'SIZE'), ('SIZE', 'PDI')]  | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.745569 |
| ('DAG1', 'DAG3.1')                                    | [('FRR', 'SIZE'), ('FRR', 'TFR'), ('TFR', 'PDI'), ('SIZE', 'PDI')]  | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.742821 |
| ('DAG1', 'DAG3.2')                                    | [('FRR', 'PDI'), ('FRR', 'SIZE'), ('FRR', 'TFR'), ('SIZE', 'PDI')]  | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.745569 |
| ('DAG1', 'DAG3.3')                                    | [('TFR', 'FRR'), ('FRR', 'SIZE'), ('TFR', 'PDI'), ('SIZE', 'PDI')]  | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.742821 |
| ('DAG1.2', 'DAG2')                                    | [('TFR', 'FRR'), ('FRR', 'PDI'), ('PDI', 'SIZE'), ('FRR', 'SIZE')]  | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.70226  |
| ('DAG1.2', 'DAG2.1')                                  | [('FRR', 'PDI'), ('PDI', 'SIZE'), ('FRR', 'TFR'), ('TFR', 'SIZE')]  | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.707519 |
| ('DAG1.2', 'DAG2.2')                                  | [('FRR', 'PDI'), ('PDI', 'SIZE'), ('FRR', 'TFR'), ('FRR', 'SIZE')]  | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.70226  |
| ('DAG1.2', 'DAG3')                                    | [('TFR', 'FRR'), ('FRR', 'PDI'), ('PDI', 'SIZE')]                   | ['SIZE', 'PDI', 'TFR', 'FRR'] |      0.73003  |
