2025-07-10 12:26:05,620 - 
| Combinazione                                          | Archi                                                             | Nodi                          |   Score Medio |
|-------------------------------------------------------|-------------------------------------------------------------------|-------------------------------|---------------|
| ('DAG2', 'DAG3') + NO CORREL TRA SIZE e PDI           | [('FRR', 'PDI'), ('FRR', 'SIZE'), ('TFR', 'FRR')]                 | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.800614 |
| ('DAG2', 'DAG3.1') CICLO + NO CORREL TRA SIZE e PDI   | [('TFR', 'PDI'), ('FRR', 'TFR'), ('FRR', 'SIZE'), ('TFR', 'FRR')] | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.797867 |
| ('DAG2', 'DAG3.2') CICLO + NO CORREL TRA SIZE e PDI   | [('FRR', 'PDI'), ('FRR', 'TFR'), ('FRR', 'SIZE'), ('TFR', 'FRR')] | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.800614 |
| ('DAG2', 'DAG3.3') + NO CORREL TRA SIZE e PDI         | [('TFR', 'PDI'), ('FRR', 'SIZE'), ('TFR', 'FRR')]                 | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.797867 |
| ('DAG2.1', 'DAG3') CICLO + NO CORREL TRA SIZE e PDI   | [('FRR', 'PDI'), ('FRR', 'TFR'), ('TFR', 'SIZE'), ('TFR', 'FRR')] | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.805873 |
| ('DAG2.1', 'DAG3.1') + NO CORREL TRA SIZE e PDI       | [('TFR', 'PDI'), ('FRR', 'TFR'), ('TFR', 'SIZE')]                 | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.803126 |
| ('DAG2.1', 'DAG3.2') + NO CORREL TRA SIZE e PDI       | [('FRR', 'PDI'), ('FRR', 'TFR'), ('TFR', 'SIZE')]                 | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.805873 |
| ('DAG2.1', 'DAG3.3') CICLO + NO CORREL TRA SIZE e PDI | [('TFR', 'PDI'), ('FRR', 'TFR'), ('TFR', 'SIZE'), ('TFR', 'FRR')] | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.803126 |
| ('DAG2.2', 'DAG3') CICLO + NO CORREL TRA SIZE e PDI   | [('FRR', 'PDI'), ('FRR', 'TFR'), ('FRR', 'SIZE'), ('TFR', 'FRR')] | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.800614 |
| ('DAG2.2', 'DAG3.1') + NO CORREL TRA SIZE e PDI       | [('TFR', 'PDI'), ('FRR', 'TFR'), ('FRR', 'SIZE')]                 | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.797867 |
| ('DAG2.2', 'DAG3.2') + NO CORREL TRA SIZE e PDI       | [('FRR', 'PDI'), ('FRR', 'TFR'), ('FRR', 'SIZE')]                 | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.800614 |
| ('DAG2.2', 'DAG3.3') CICLO + NO CORREL TRA SIZE e PDI | [('TFR', 'PDI'), ('FRR', 'TFR'), ('FRR', 'SIZE'), ('TFR', 'FRR')] | ['FRR', 'SIZE', 'PDI', 'TFR'] |      0.797867 |
