2025-06-26 12:05:56,268 - 
+--------------------+------------+-----------+---------------------+------------------------------+----------------------+----------------------------------+-----------------------+
|     frr_value      | size_value | pdi_value | prob. marginale_frr | p_condizionata_size_dato_frr |      p_empirica      | p_condizionata_pdi_dato_size_frr |  prob. fattorizzata   |
+--------------------+------------+-----------+---------------------+------------------------------+----------------------+----------------------------------+-----------------------+
|        1.0         |     L      |    HDM    |       0.0666        |     0.16666666666666666      |         0.0          |               0.0                |          0.0          |
|        1.0         |     L      |    MD     |       0.0666        |     0.16666666666666666      |         0.0          |        0.0277569392348087        | 0.0003081020255063766 |
|        1.0         |     L      |    PLD    |       0.0666        |     0.16666666666666666      | 0.011111111111111112 |        0.9722430607651912        | 0.010791897974493623  |
|        1.0         |     M      |    HDM    |       0.0666        |      0.7222222222222221      |         0.0          |        0.4386949293433084        | 0.021101226101413132  |
|        1.0         |     M      |    MD     |       0.0666        |      0.7222222222222221      | 0.011111111111111112 |       0.24625935162094761        |  0.01184507481296758  |
|        1.0         |     M      |    PLD    |       0.0666        |      0.7222222222222221      | 0.022222222222222223 |        0.3156691604322527        | 0.015183686616791352  |
|        1.0         |     S      |    HDM    |       0.0666        |      0.1111111111111111      |         0.0          |        0.1057142857142857        | 0.0007822857142857142 |
|        1.0         |     S      |    MD     |       0.0666        |      0.1111111111111111      | 0.007407407407407408 |        0.4522077922077922        | 0.0033463376623376626 |
|        1.0         |     S      |    PLD    |       0.0666        |      0.1111111111111111      |         0.0          |        0.4425974025974026        | 0.003275220779220779  |
|        1.6         |     L      |    HDM    |       0.0444        |     0.41666666666666663      |         0.0          |               0.0                |          0.0          |
|        1.6         |     L      |    MD     |       0.0444        |     0.41666666666666663      | 0.003703703703703704 |        0.0277569392348087        | 0.000513503375843961  |
|        1.6         |     L      |    PLD    |       0.0444        |     0.41666666666666663      | 0.014814814814814815 |        0.9722430607651912        | 0.017986496624156037  |
|        1.6         |     M      |    HDM    |       0.0444        |             0.5              |         0.0          |        0.4386949293433084        | 0.009739027431421446  |
|        1.6         |     M      |    MD     |       0.0444        |             0.5              | 0.011111111111111112 |       0.24625935162094761        | 0.005466957605985037  |
|        1.6         |     M      |    PLD    |       0.0444        |             0.5              | 0.011111111111111112 |        0.3156691604322527        | 0.0070078553615960095 |
|        1.6         |     S      |    HDM    |       0.0444        |     0.08333333333333333      |         0.0          |        0.1057142857142857        | 0.0003911428571428571 |
|        1.6         |     S      |    MD     |       0.0444        |     0.08333333333333333      | 0.003703703703703704 |        0.4522077922077922        | 0.0016731688311688313 |
|        1.6         |     S      |    PLD    |       0.0444        |     0.08333333333333333      |         0.0          |        0.4425974025974026        | 0.0016376103896103896 |
|       1.727        |     L      |    HDM    |       0.0111        |             0.0              |         0.0          |               0.0                |          0.0          |
|       1.727        |     L      |    MD     |       0.0111        |             0.0              |         0.0          |        0.0277569392348087        |          0.0          |
|       1.727        |     L      |    PLD    |       0.0111        |             0.0              |         0.0          |        0.9722430607651912        |          0.0          |
|       1.727        |     M      |    HDM    |       0.0111        |             0.0              |         0.0          |        0.4386949293433084        |          0.0          |
|       1.727        |     M      |    MD     |       0.0111        |             0.0              |         0.0          |       0.24625935162094761        |          0.0          |
|       1.727        |     M      |    PLD    |       0.0111        |             0.0              |         0.0          |        0.3156691604322527        |          0.0          |
